	SP90989	SP117290	SP116797	SP84743	SP84982	SP9816	SP124439	SP107363	SP97194	SP5559	SP28659	SP107439	SP102581	SP23925	SP2293	SP53810	SP52667	SP79243	SP116578	SP121761	SP80754	SP96116	SP102133	SP30113	SP67609	SP116276	SP50097	SP116919	SP114898	SP81312	SP92364	SP125584	SP22031	SP26649	SP84384	SP112907	SP102045	SP85818	SP80615	SP79427	SP111031	SP112290	SP54113	SP29559	SP103894	SP93227	SP77956	SP21400	SP116520	SP112985	SP82103	SP49229	SP114980	SP96118	SP110847	SP16886	SP19295	SP105018	SP99013	SP112947	SP80217	SP116545	SP23502	SP25350	SP125778	SP99325	SP94741	SP49114	SP1305	SP2155	SP90125	SP56553	SP94933	SP62616	SP90629	SP18787	SP116365	SP107784	SP48189	SP102973	SP57189	SP27825	SP17905	SP55235	SP123975	SP111119	SP25494	SP21017	SP98953	SP33688	SP107012	SP5052	SP23775	SP56704	SP59448	SP116676	SP111170	SP63546	SP116819	SP116589	SP93540	SP101670	SP94348	SP103080	SP107076	SP110242	SP125752	SP84392	SP96126	SP95126	SP24135	SP90209	SP59803	SP92659	SP1365	SP57735	SP125746	SP102957	SP3631	SP18310	SP112817	SP112777	DRUP01010025T	CPCT02050439T	CPCT02340026T	CPCT02340014T	DRUP01330020T	CPCT02070336T	CPCT02050424T	CPCT02340081T	CPCT02020865T	DRUP01030028T	CPCT02020597TII	DRUP01340014T	WIDE01010510T	CPCT02100089T	CPCT02080153T	CPCT02020815T	CPCT02120078T	CPCT02450014T	CPCT02020413T	CPCT02070357T	CPCT02070053T	CPCT02010605T	CPCT02100101T	CPCT02040317T	CPCT02030278T	CPCT02250003T	DRUP01030015T	CPCT02050117T	CPCT02070466TII	WIDE01010470T	CPCT02210064T	CPCT02010648T	DRUP01050003T	CPCT02100090T	CPCT02050149T	WIDE01010075T	CPCT02030532T	CPCT02050104T	CPCT02150052T	CPCT02100092T	CPCT02340022T	DRUP01070080T	CPCT02340010T	CPCT02100141T	CPCT02060054T	CPCT02050370T	CPCT02010373T	WIDE01010071T	CPCT02130184T	CPCT02070373T	CPCT02140057T	CPCT02070069TII	DRUP01070015T	CPCT02100044T	CPCT02010408T	CPCT02060291T	DRUP01230001T	WIDE01010539T	CPCT02010486T	CPCT02160034T	WIDE01010016T	CPCT02080120T	CPCT02220045T	CPCT02310006T	CPCT02010786T	CPCT02050170T	CPCT02010530T	DRUP01050017T	CPCT02140107T	CPCT02220047T	CPCT02020476T	CPCT02050385T	CPCT02040113T	CPCT02080273T	CPCT02080045T	CPCT02070436T	CPCT02130170T	DRUP01010022T	CPCT02240008T	CPCT02020436T	CPCT02010523T	CPCT02060033T	CPCT02060246T	CPCT02010772T	CPCT02040329T	CPCT02030430T	CPCT02010715T	CPCT02080110T	CPCT02010662T	CPCT02140012T	CPCT02090019T	CPCT02220023T	CPCT02080294T	CPCT02060224T	DRUP01070038T	WIDE01010565T	WIDE01010404T	CPCT02010579T	DRUP01020002T	CPCT02050390T	CPCT02050349T	CPCT02130140T	CPCT02380029T	DRUP01010078T	DRUP01070009T	CPCT02080157T	CPCT02050192T	WIDE01010208T	CPCT02360007T	CPCT02060265T	CPCT02070192T	CPCT02070058T	CPCT02010505T	CPCT02050211T	CPCT02030451T	CPCT02050089T	CPCT02120032T	WIDE01010228T	CPCT02040299T	CPCT02080078T	CPCT02160058T	CPCT02180009T	CPCT02190055T	CPCT02040280TII	CPCT02130146T	DRUP01010106T	CPCT02020789T	CPCT02020599T	CPCT02060225T	CPCT02010635T	WIDE01010028T	CPCT02110059T	CPCT02180068T	CPCT02020428T	CPCT02390002T	DRUP01340015T	CPCT02010794T	CPCT02090032T	CPCT02370012T	CPCT02070353T
C[Del(T):R2]G	11	1	0	4	9	1	2	0	11	2	4	0	0	1	2	74	7	0	5	0	1	0	2	37	0	0	2	0	2	1	16	0	0	0	15	0	0	0	2	0	1	5	31	3	3	36	0	3	2	0	0	2	2	1	0	0	1	7	1	3	0	0	3	0	2	25	4	9	2	1	1	26	1	2	1	0	0	0	0	7	31	0	10	30	1	4	7	5	7	0	7	1	5	17	0	5	3	1	0	1	11	1	4	5	13	22	0	22	0	4	6	10	3	2	1	7	3	9	1	16	4	0	20	0	1	5	22	5	5	0	10	1	0	0	1	0	1	64	1	1	10	4	0	0	0	16	1	3	0	3	2	3	1	1	1	0	0	2	3	8	9	1	0	17	2	2	8	3	46	0	3	1	17	2	8	0	0	4	9	3	0	2	2	2	4	0	10	1	9	8	2	1	3	3	17	7	7	1	2	6	3	1	0	0	4	0	16	0	0	1	2	0	3	49	0	1	5	8	0	0	0	6	23	14	21	76	1	9	1	3	8	11	7	2	0	12	1	2	1	0	4	1	1	3	6	40	7	30	0	2	2	1	2	1	3	1	14	1	6	3	4	0
C[Del(T):R3]A	11	2	0	13	15	1	6	0	22	2	6	1	1	1	1	22	6	0	5	2	3	0	3	10	1	0	5	0	2	1	28	0	0	2	14	3	3	0	9	0	2	4	11	6	10	75	1	5	3	0	2	2	2	3	1	2	3	8	0	0	0	0	13	0	5	73	10	8	4	6	1	9	9	4	3	1	0	0	0	8	19	3	42	13	1	6	2	28	1	0	16	3	2	4	3	3	2	2	0	2	20	7	3	10	7	25	2	26	1	1	5	15	3	1	4	10	7	5	1	28	16	1	33	1	3	4	40	14	35	1	5	0	2	1	2	1	2	29	2	11	9	11	3	2	4	10	6	3	2	3	2	17	3	3	6	1	1	3	3	11	17	1	4	53	3	3	5	11	21	2	4	2	8	3	19	2	1	6	24	1	0	2	3	1	8	0	19	5	13	18	2	4	6	0	8	21	6	9	1	6	4	3	1	1	3	0	6	7	0	3	9	2	1	24	0	0	7	4	0	1	3	10	6	19	28	35	0	10	0	1	24	6	16	1	0	22	2	6	3	2	5	2	2	5	6	17	7	14	5	1	1	2	2	0	8	0	12	1	6	3	6	2
C[Del(T):R3]C	6	0	0	2	17	2	2	0	18	1	4	2	0	5	1	10	1	0	1	2	0	1	4	5	2	1	5	0	1	3	22	0	2	3	32	2	5	0	9	0	2	6	7	4	4	53	0	5	1	0	2	1	2	3	2	1	1	8	1	0	0	0	3	2	3	36	7	8	3	2	0	13	10	2	4	3	0	0	0	9	7	1	32	7	1	3	2	27	1	2	15	3	7	1	2	2	2	0	1	4	12	4	9	10	2	30	0	20	4	2	3	25	3	1	3	1	15	8	0	35	8	0	33	6	1	8	94	18	5	0	13	2	3	1	1	1	2	18	1	31	9	13	2	3	2	6	2	1	1	1	6	7	1	2	3	1	2	9	7	15	6	1	5	37	1	2	5	3	19	1	2	5	7	3	25	2	2	5	12	3	1	0	0	1	2	2	25	2	12	10	2	1	2	1	5	23	5	5	2	9	3	1	1	3	3	0	4	2	2	1	0	2	5	10	1	0	7	5	1	1	1	1	5	24	29	14	0	11	0	1	15	7	9	1	0	26	2	2	5	3	3	4	0	6	7	16	5	3	1	3	6	2	4	0	8	0	7	2	2	2	6	3
C[Del(T):R3]G	7	0	0	6	11	0	2	1	12	0	3	0	0	1	0	27	6	0	1	2	0	1	5	18	6	0	8	0	4	1	25	0	0	0	13	1	6	0	8	0	5	3	26	4	3	44	1	3	1	0	1	0	2	2	0	1	2	11	1	0	0	0	3	0	6	33	9	8	5	1	1	9	6	8	6	1	0	0	0	5	14	0	16	17	0	4	4	14	0	0	8	8	4	11	5	4	1	2	0	2	14	2	7	3	8	20	1	12	0	3	6	22	1	1	2	10	4	6	1	12	4	1	24	1	0	0	18	16	10	0	8	0	0	1	3	0	3	56	1	2	5	8	0	1	6	5	5	3	3	0	2	5	1	3	5	2	1	5	5	6	21	4	0	44	0	2	7	2	20	1	3	7	12	1	13	0	1	4	11	3	0	1	3	2	9	1	18	0	9	5	5	3	5	2	12	8	6	11	4	5	1	2	1	0	5	0	10	4	2	1	0	2	5	28	0	1	1	9	1	2	4	7	9	16	17	39	0	7	1	0	8	7	10	3	0	14	2	4	4	2	5	5	5	7	9	23	7	9	1	0	1	1	2	0	4	0	9	1	4	1	3	0
C[Del(T):R4]A	100	1	0	7	109	2	21	1	12	1	9	1	0	2	0	28	3	0	1	6	0	5	8	8	5	0	5	0	1	11	139	0	1	2	173	2	2	0	31	0	3	5	21	2	4	606	1	3	2	1	3	1	1	21	2	3	7	13	0	0	0	0	8	1	9	215	100	6	3	0	2	8	41	3	5	1	0	1	0	4	23	0	70	12	1	9	8	169	1	2	35	4	3	3	5	13	4	4	0	4	122	5	66	1	8	228	0	176	1	6	1	304	0	5	2	7	66	5	1	234	16	1	246	5	2	5	209	10	46	0	9	1	1	1	0	0	2	29	3	98	1	11	1	1	8	10	1	0	0	0	2	40	5	0	14	1	1	49	15	14	13	1	6	290	1	2	3	10	20	3	4	4	17	2	96	3	0	14	42	4	1	6	0	0	14	1	174	14	13	69	3	1	4	5	9	85	2	13	7	67	3	0	0	2	5	6	8	6	0	2	2	7	1	23	1	0	27	0	1	1	1	7	11	116	163	40	3	41	0	1	74	10	62	2	0	148	4	8	10	6	11	0	1	13	3	26	25	10	9	0	2	0	3	1	9	0	8	0	14	4	4	2
C[Del(T):R4]C	125	1	0	1	133	3	0	1	19	1	5	1	0	2	0	16	4	0	0	0	1	2	11	7	3	0	2	0	1	12	167	0	0	0	211	1	4	0	23	0	3	1	12	3	5	329	0	6	0	0	0	3	4	35	2	4	2	11	2	0	0	0	6	3	2	244	101	3	3	1	0	8	55	2	4	3	2	0	1	11	12	1	66	11	2	3	8	211	3	0	54	1	1	4	1	6	4	2	0	2	170	1	79	6	2	291	0	249	1	3	0	214	0	2	4	9	61	5	1	274	14	0	314	5	1	8	369	3	12	0	13	2	1	0	1	1	2	21	1	66	5	9	1	1	0	10	1	2	2	0	5	31	9	2	8	0	0	55	8	7	9	0	12	367	2	6	5	4	16	0	3	5	16	2	84	2	0	0	26	3	0	5	3	3	4	0	173	22	6	76	1	2	4	0	8	82	3	2	4	86	5	1	0	1	2	4	2	11	1	4	4	1	3	20	1	2	31	3	0	3	1	5	8	131	177	33	1	40	1	1	71	6	76	2	0	184	1	3	20	4	4	0	4	4	4	12	28	7	2	2	3	0	3	2	10	0	6	1	4	1	4	3
C[Del(T):R4]G	75	0	0	5	96	3	0	0	10	1	2	0	0	0	0	27	8	0	1	2	1	1	8	18	4	0	6	0	3	4	100	0	2	0	144	2	11	0	16	0	4	3	20	1	0	297	0	6	2	0	2	1	2	25	3	2	1	21	0	3	0	0	8	3	3	194	73	4	3	4	2	10	30	4	5	0	0	1	0	8	27	1	30	16	2	10	7	163	3	1	39	13	2	16	3	4	4	2	0	4	128	5	74	10	4	203	1	181	5	2	5	148	0	1	1	12	61	5	0	210	8	0	230	10	3	3	155	12	4	0	10	3	0	2	3	0	2	59	3	41	4	17	2	0	9	16	3	0	1	1	2	11	3	1	8	4	0	59	5	8	20	2	1	306	1	3	3	2	31	5	7	6	26	4	72	0	0	1	26	3	0	1	3	0	15	1	150	6	11	62	2	2	3	2	20	36	3	9	5	57	5	0	1	2	2	0	10	6	0	2	0	4	3	37	0	1	25	2	1	2	1	9	16	102	113	49	1	29	1	1	50	4	60	4	1	131	3	0	6	2	16	2	4	4	8	34	15	18	4	2	7	0	3	2	7	1	17	3	3	1	7	0
C[Del(T):R5]A	222	2	0	8	223	1	6	1	6	1	2	0	0	1	1	9	2	0	1	2	1	1	8	9	2	0	3	0	1	30	288	0	2	0	391	2	5	0	27	0	2	2	5	1	6	768	1	21	0	0	1	0	1	119	3	12	9	8	1	0	0	0	8	0	2	525	206	5	3	4	2	4	97	4	3	3	0	1	0	4	11	0	83	10	3	6	3	388	2	0	109	1	1	4	1	5	8	0	0	0	391	2	159	3	2	527	2	452	3	1	2	527	0	4	4	8	170	5	1	587	20	0	606	3	1	9	443	9	13	0	4	2	1	1	1	0	1	25	1	119	3	8	1	2	4	8	2	1	2	0	3	82	7	1	14	1	0	105	21	2	13	3	8	778	1	7	4	5	10	1	3	0	8	0	217	9	0	8	70	4	1	7	3	1	4	0	378	54	1	152	2	3	3	3	12	177	2	8	3	192	0	3	0	2	0	3	11	17	0	0	3	8	4	18	0	0	49	1	1	2	0	6	7	247	352	28	0	87	1	0	139	0	142	1	1	351	1	14	34	5	5	3	6	6	7	19	21	9	4	2	3	2	3	1	8	0	18	3	3	1	8	0
C[Del(T):R5]C	263	1	0	5	304	0	1	1	5	0	1	0	0	1	0	6	2	0	1	1	1	4	19	6	1	0	4	0	2	22	359	0	3	0	502	2	3	0	21	0	5	3	4	3	3	433	1	20	1	0	0	1	0	105	1	3	2	6	1	0	0	0	8	1	2	539	242	2	1	2	1	10	141	1	0	2	2	1	1	2	14	0	52	5	5	6	8	521	2	3	116	2	4	1	7	7	6	0	0	1	400	0	214	3	1	594	2	521	4	3	0	341	0	3	2	8	178	2	3	637	12	0	709	5	1	1	1140	2	10	0	4	1	1	0	2	1	0	8	2	140	4	7	1	0	9	7	1	0	0	1	4	59	1	1	7	1	0	162	17	1	7	0	6	826	3	1	4	2	17	1	1	1	4	1	236	2	2	0	57	7	1	5	3	1	1	0	423	44	3	203	3	0	6	2	12	196	2	5	1	205	3	1	2	0	3	3	4	19	0	1	3	0	1	13	0	0	82	4	0	1	2	3	5	276	428	16	0	91	0	1	160	4	188	0	0	464	0	6	54	1	4	2	2	2	3	14	40	8	0	0	2	2	1	3	15	0	9	0	2	1	5	0
C[Del(T):R5]G	175	1	0	5	172	2	0	0	6	0	0	0	0	1	0	8	6	0	2	0	2	1	13	15	2	0	2	0	1	5	218	0	1	0	303	2	2	0	18	0	6	3	5	2	4	296	0	2	0	0	2	0	0	67	3	0	1	5	0	0	0	0	2	2	1	394	180	1	2	3	2	11	96	1	1	1	0	1	0	3	14	2	27	8	2	7	2	358	0	0	85	5	2	9	0	2	4	1	1	3	312	3	159	3	3	428	0	421	5	3	0	254	0	1	0	8	143	3	0	584	5	0	516	4	0	1	360	3	2	0	4	1	1	0	2	1	0	30	0	97	2	4	0	0	5	6	1	0	2	0	0	10	5	0	5	2	0	81	5	6	10	2	2	648	2	1	2	1	19	0	2	0	7	0	144	1	1	0	35	3	0	10	3	1	3	1	308	30	2	164	1	1	8	3	5	137	3	3	1	158	2	0	0	0	2	2	6	17	0	2	4	2	6	22	0	0	53	1	0	4	1	0	7	194	306	25	2	57	0	1	93	5	120	0	2	302	0	7	12	1	8	1	4	2	3	16	27	5	3	2	2	1	2	0	7	0	8	1	2	1	3	0
C[Del(T):R6]A	450	2	0	12	473	1	4	0	3	1	4	0	0	1	0	9	0	0	0	0	1	2	30	7	0	0	2	0	2	101	505	0	17	2	750	1	3	0	75	0	14	0	10	0	3	1314	1	66	0	0	2	0	1	185	12	22	22	7	0	0	0	0	14	1	0	883	399	0	3	1	0	5	211	2	6	3	0	1	0	2	13	1	217	4	10	34	3	732	1	0	175	2	4	5	13	4	7	0	0	0	752	4	338	5	4	1011	2	901	11	2	1	1142	0	9	3	10	341	3	1	1195	20	2	1193	2	0	4	871	2	8	0	1	1	0	0	2	0	1	17	6	315	3	7	1	6	12	5	0	0	1	1	0	262	16	0	42	1	0	173	38	10	13	0	36	1122	1	14	2	2	7	1	1	3	3	0	420	3	0	0	111	10	0	15	3	0	3	0	740	82	6	341	5	0	8	5	5	399	1	0	2	385	2	2	1	0	4	2	3	28	0	0	8	2	0	8	0	1	126	1	1	3	2	4	5	438	614	18	2	162	1	3	264	3	283	1	0	717	1	24	45	7	4	3	1	5	2	12	34	4	2	1	2	1	3	5	22	1	5	1	4	0	5	4
C[Del(T):R6]C	211	2	0	6	293	1	1	1	3	3	0	0	0	1	1	2	1	0	1	1	2	2	24	7	3	0	2	0	2	50	233	0	3	0	609	1	0	0	49	0	10	3	4	0	3	581	0	29	0	0	3	0	5	59	6	12	11	7	2	0	0	1	16	0	1	504	162	2	1	1	3	2	107	3	3	5	1	0	1	2	6	1	78	3	15	17	1	436	1	0	105	1	1	4	10	4	2	0	0	1	299	1	173	1	3	516	3	448	3	2	2	571	2	8	2	3	161	0	0	536	15	0	592	2	0	3	2213	1	4	0	4	4	1	0	3	1	0	10	1	236	3	3	1	4	13	3	0	0	0	0	0	95	13	1	15	1	0	83	25	4	4	1	30	511	3	6	1	5	8	0	1	0	3	1	254	3	0	1	93	8	0	9	2	1	1	0	399	56	3	242	2	0	5	2	6	330	1	1	0	149	0	1	2	1	2	4	5	34	1	0	6	4	1	12	0	1	77	2	0	3	0	2	4	223	250	11	1	87	0	0	111	5	190	1	0	374	0	10	86	2	4	1	1	4	2	6	94	4	1	1	0	1	2	6	20	0	5	1	1	2	5	1
C[Del(T):R6]G	182	0	0	6	199	1	1	0	3	1	0	1	0	0	0	7	0	0	0	3	2	0	8	8	2	0	1	0	0	10	199	0	2	0	411	1	2	0	9	0	13	1	4	1	0	557	0	19	2	0	2	1	1	97	3	4	4	5	0	0	0	1	6	0	3	429	203	0	2	0	1	3	113	5	3	1	0	1	0	3	8	2	72	6	9	9	1	373	2	1	89	2	2	3	9	3	3	2	0	0	397	2	144	1	2	455	2	466	1	2	0	465	0	0	3	4	171	3	0	632	4	0	576	4	1	1	420	2	4	0	3	0	0	0	1	1	1	9	0	164	0	7	0	0	8	5	0	2	1	0	2	45	12	1	17	2	1	76	18	4	9	1	7	578	0	6	6	0	10	1	2	1	6	0	189	2	0	1	67	3	0	7	3	1	1	1	292	46	4	230	0	2	0	2	6	166	2	2	0	170	1	0	0	1	0	1	3	24	0	0	6	2	0	7	1	1	79	1	0	2	1	1	3	219	266	20	0	67	0	2	122	3	133	1	0	294	0	5	13	0	3	1	1	2	3	7	21	3	0	0	1	0	2	3	9	0	5	0	2	0	3	0
C[Del(T):R7]A	816	3	0	25	958	0	3	2	3	0	2	0	0	5	0	0	0	0	1	1	6	12	71	3	2	0	1	0	0	305	858	0	41	0	1814	0	2	0	170	0	27	2	6	0	5	1709	4	185	0	0	9	1	0	281	18	68	86	10	0	0	0	0	20	1	4	2148	871	1	2	0	2	3	519	1	3	19	0	4	1	0	12	2	298	5	29	54	5	1868	2	0	471	1	1	4	26	9	21	2	0	1	1799	1	766	2	1	2133	5	2183	26	4	2	1988	0	30	0	7	866	0	0	2795	24	0	2472	10	0	5	1935	3	4	0	3	1	2	1	6	3	2	11	4	898	1	6	1	14	50	3	2	1	3	0	5	698	45	2	80	2	0	365	112	17	13	2	100	2314	5	26	0	1	6	1	0	5	1	1	1083	25	1	1	377	30	0	60	9	1	1	2	1662	246	2	965	2	1	15	1	5	1221	1	3	3	863	2	3	3	1	0	4	3	116	0	3	9	13	0	1	1	0	295	3	3	19	1	2	2	1028	1383	12	4	373	0	9	573	2	698	0	0	1704	0	42	84	10	4	2	2	3	3	8	90	3	2	9	2	2	4	12	43	0	1	0	1	0	18	3
C[Del(T):R7]C	816	3	0	21	1314	2	0	4	0	1	4	0	0	17	0	6	0	0	0	0	6	8	63	7	2	0	1	0	2	110	814	0	5	2	2753	3	1	0	78	0	23	0	2	1	5	1473	1	65	2	0	5	0	2	225	18	24	23	9	1	1	0	0	24	4	4	2246	730	0	6	2	1	8	426	0	3	13	0	1	5	1	6	2	147	2	32	48	4	2196	1	0	520	1	7	5	39	4	19	0	0	1	1402	2	649	2	2	1891	5	1937	19	6	3	1396	1	5	4	3	610	1	0	2296	16	2	2342	4	0	1	10136	2	3	0	0	2	0	1	3	8	1	8	5	1351	1	11	0	8	35	3	1	0	1	0	4	296	29	1	19	3	1	335	59	8	19	5	50	2165	6	23	2	1	13	0	2	4	6	4	1165	12	0	0	365	23	0	39	1	2	3	0	1617	269	4	1008	2	0	14	5	4	1733	2	2	3	730	1	1	1	2	9	2	0	136	0	2	14	10	0	3	0	1	280	1	1	11	2	2	3	1072	1315	6	0	438	0	17	461	2	706	2	0	1537	0	33	377	7	4	3	3	1	1	7	215	4	1	3	10	0	2	7	50	0	3	0	2	1	17	3
C[Del(T):R7]G	1037	8	0	22	1040	1	0	1	5	1	2	0	0	3	0	2	3	0	0	0	2	4	59	2	2	0	0	0	0	51	942	0	9	3	2170	0	1	0	54	0	34	0	4	0	3	1791	0	40	1	0	3	0	4	324	20	25	17	4	0	0	0	0	17	2	2	2364	1014	4	1	2	1	5	574	1	3	13	0	2	0	1	13	1	168	4	23	56	4	1976	0	1	484	3	2	1	27	8	9	0	0	1	2215	1	907	0	0	2586	2	2433	25	5	0	1792	0	11	2	7	1011	0	0	3423	12	1	2867	3	0	3	2432	0	4	0	3	2	0	0	2	0	2	4	3	850	0	8	0	11	27	2	0	0	2	0	2	184	34	0	30	1	0	408	61	8	20	1	24	2797	2	29	3	0	5	0	0	2	4	1	1021	9	0	1	332	16	0	41	4	1	2	0	1933	236	3	1307	3	0	5	2	3	996	2	2	3	982	0	1	0	4	3	2	2	116	1	4	6	7	3	6	2	1	382	1	3	11	1	3	1	1096	1531	3	3	422	0	6	640	6	708	1	0	1760	1	28	81	4	3	2	0	4	2	3	101	3	0	3	2	1	4	13	42	1	4	0	1	2	15	2
C[Del(T):R8]A	1545	3	0	35	1481	0	0	2	0	0	4	0	0	3	0	0	1	0	0	0	14	17	122	3	0	0	1	0	2	188	1403	1	30	3	2379	3	2	0	105	0	43	1	1	0	3	1866	3	98	0	0	10	1	1	109	28	30	49	4	1	0	0	0	28	0	2	3397	1660	2	2	0	1	1	1011	4	1	17	0	2	2	1	9	2	114	2	47	51	9	3451	2	1	826	0	3	1	39	15	24	2	1	0	3203	0	1494	0	1	3585	8	3183	47	5	3	2114	1	25	0	0	1646	0	0	4607	0	2	4151	11	1	7	3504	0	7	0	1	4	2	2	4	10	2	5	12	1540	0	5	1	16	81	0	0	1	3	1	4	463	71	1	68	4	2	622	107	17	34	3	55	4008	10	40	0	3	6	1	1	10	4	3	1879	24	0	2	767	43	1	83	9	1	3	0	2985	436	2	1932	3	2	18	2	6	2430	2	5	4	1686	1	3	0	2	8	0	5	274	0	7	18	22	2	3	0	0	598	1	4	22	2	5	1	1956	2588	11	4	817	0	11	1201	4	1286	0	1	2972	0	89	163	15	4	4	4	2	1	10	144	4	0	8	7	4	5	25	63	1	1	2	1	3	24	1
C[Del(T):R8]C	1333	8	0	25	1975	1	2	0	1	3	5	0	0	9	0	1	1	0	2	0	10	4	102	3	1	0	1	0	1	90	1171	0	14	6	3315	0	0	0	57	0	51	0	2	1	3	1228	2	29	1	0	9	1	6	83	27	10	11	5	0	0	0	0	24	3	1	3126	1153	0	1	1	0	3	765	1	7	22	0	3	1	1	6	2	48	1	52	73	1	3534	1	4	758	0	2	5	27	10	23	0	0	1	2206	1	1133	0	0	2995	8	2889	25	4	4	1284	1	8	0	1	1142	1	0	3627	0	0	3607	3	0	7	11078	3	2	0	1	1	1	0	6	6	1	9	2	1854	0	7	0	14	57	2	1	0	0	0	6	231	59	2	23	2	1	563	71	7	24	0	49	3312	4	37	5	6	7	0	2	7	5	1	1821	20	0	2	648	29	0	88	8	1	1	0	2914	512	2	1749	1	0	25	8	2	3076	3	3	1	1313	1	1	2	0	7	1	3	245	0	6	22	18	2	6	1	0	442	3	1	15	1	1	0	2078	2118	6	1	730	0	14	802	4	1337	1	1	2648	1	58	501	14	8	6	0	1	1	7	284	4	0	2	5	2	2	15	72	1	1	0	1	0	16	5
C[Del(T):R8]G	1940	4	0	20	1521	0	0	1	0	1	0	0	0	6	0	1	0	0	0	1	9	6	114	6	0	0	0	0	1	27	1595	0	10	1	2560	2	1	0	28	0	37	0	0	0	2	1318	1	24	0	0	11	1	1	166	36	7	7	3	0	0	0	0	23	1	0	3788	1919	1	1	1	1	2	999	0	4	9	1	3	0	0	1	3	36	4	47	53	3	3411	3	1	761	0	2	2	24	10	21	1	0	1	3812	0	1678	0	0	4018	3	3442	19	6	0	1605	0	3	2	1	1645	0	0	5161	0	19	4643	2	0	1	3881	1	0	0	2	2	0	1	5	4	2	2	6	1406	1	4	0	14	69	2	0	1	1	1	0	109	55	1	17	0	0	690	57	8	22	2	10	4201	3	32	3	2	1	0	2	6	2	1	1636	19	0	0	609	31	0	57	5	0	1	0	3262	441	1	2350	1	1	16	5	0	1739	1	2	0	1736	0	0	1	2	2	0	1	255	1	3	10	11	2	0	0	0	676	2	1	13	1	0	1	1921	2886	3	4	770	0	12	1245	1	1190	1	0	3030	0	62	116	16	8	6	1	2	0	5	157	0	2	3	3	1	7	13	54	0	1	0	2	1	18	2
C[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
