"TCGA-EW-A2FV-01A-11D-A17D-09"	"TCGA-D8-A27V-01A-12D-A17D-09"	"TCGA-13-0889-01A-01W-0420-08"
"G[Del(T):R2]C"	45	34	0
"G[Del(T):R2]G"	40	50	0
"G[Del(T):R3]A"	17	13	0
"G[Del(T):R3]C"	53	40	0
"G[Del(T):R3]G"	65	62	0
"G[Del(T):R4]A"	36	25	0
"G[Del(T):R4]C"	66	52	0
"G[Del(T):R4]G"	54	55	0
"G[Del(T):R5]A"	21	9	0
"G[Del(T):R5]C"	50	47	0
"G[Del(T):R5]G"	46	42	0
"G[Del(T):R6]A"	9	9	0
"G[Del(T):R6]C"	29	14	0
"G[Del(T):R6]G"	23	18	0
"G[Del(T):R7]A"	2	2	0
"G[Del(T):R7]C"	8	10	0
"G[Del(T):R7]G"	8	5	0
"G[Del(T):R8]A"	0	0	0
"G[Del(T):R8]C"	0	0	0
"G[Del(T):R8]G"	0	0	0
"G[Del(T):R(9,)]A"	0	0	0
"G[Del(T):R(9,)]C"	0	0	0
"G[Del(T):R(9,)]G"	0	0	0
"A[Ins(C):R0]A"	0	0	28
"A[Ins(C):R0]G"	0	0	69
"A[Ins(C):R0]T"	0	0	35
"A[Ins(C):R1]A"	0	0	21
"A[Ins(C):R1]G"	0	0	11
"A[Ins(C):R1]T"	0	0	10
"A[Ins(C):R2]A"	0	0	9
"A[Ins(C):R2]G"	0	0	3
"A[Ins(C):R2]T"	0	0	7
"A[Ins(C):R3]A"	0	0	2
"A[Ins(C):R3]G"	0	0	2
"A[Ins(C):R3]T"	0	0	1
"A[Ins(C):R4]A"	0	0	0
"A[Ins(C):R4]G"	0	0	0
"A[Ins(C):R4]T"	0	0	1
"A[Ins(C):R5]A"	0	0	0
"A[Ins(C):R5]G"	0	0	0
"A[Ins(C):R5]T"	0	0	0
"A[Ins(C):R6]A"	0	0	0
"A[Ins(C):R6]G"	0	0	0
"A[Ins(C):R6]T"	0	0	0
"A[Ins(C):R7]A"	0	0	0
"A[Ins(C):R7]G"	0	0	0
"A[Ins(C):R7]T"	0	0	0
"A[Ins(C):R8]A"	0	0	0
"A[Ins(C):R8]G"	0	0	0
"A[Ins(C):R8]T"	0	0	0
"A[Ins(C):R(9,)]A"	0	0	0
"A[Ins(C):R(9,)]G"	0	0	0
"A[Ins(C):R(9,)]T"	0	0	0
"G[Ins(C):R0]A"	0	0	44
"G[Ins(C):R0]G"	0	0	52
"G[Ins(C):R0]T"	0	0	26
"G[Ins(C):R1]A"	0	0	18
"G[Ins(C):R1]G"	0	0	12
"G[Ins(C):R1]T"	0	0	19
"G[Ins(C):R2]A"	0	0	10
"G[Ins(C):R2]G"	0	0	0
"G[Ins(C):R2]T"	0	0	6
"G[Ins(C):R3]A"	0	0	1
"G[Ins(C):R3]G"	0	0	0
"G[Ins(C):R3]T"	0	0	2
"G[Ins(C):R4]A"	0	0	1
"G[Ins(C):R4]G"	0	0	0
"G[Ins(C):R4]T"	0	0	0
"G[Ins(C):R5]A"	0	0	0
"G[Ins(C):R5]G"	0	0	0
"G[Ins(C):R5]T"	0	0	0
"G[Ins(C):R6]A"	0	0	0
"G[Ins(C):R6]G"	0	0	0
"G[Ins(C):R6]T"	0	0	0
"G[Ins(C):R7]A"	0	0	0
"G[Ins(C):R7]G"	0	0	0
"G[Ins(C):R7]T"	0	0	0
"G[Ins(C):R8]A"	0	0	0
"G[Ins(C):R8]G"	0	0	0
"G[Ins(C):R8]T"	0	0	0
"G[Ins(C):R(9,)]A"	0	0	0
"G[Ins(C):R(9,)]G"	0	0	0
"G[Ins(C):R(9,)]T"	0	0	0
"T[Ins(C):R0]A"	0	0	22
"T[Ins(C):R0]G"	0	0	72
"T[Ins(C):R0]T"	0	0	36
"T[Ins(C):R1]A"	0	0	23
"T[Ins(C):R1]G"	0	0	15
"T[Ins(C):R1]T"	0	0	28
"T[Ins(C):R2]A"	0	0	14
"T[Ins(C):R2]G"	0	0	1
"T[Ins(C):R2]T"	0	0	10
"T[Ins(C):R3]A"	0	0	3
"T[Ins(C):R3]G"	0	0	0
"T[Ins(C):R3]T"	0	0	0
"T[Ins(C):R4]A"	0	0	2
"T[Ins(C):R4]G"	0	0	1
"T[Ins(C):R4]T"	0	0	0
"T[Ins(C):R5]A"	0	0	0
"T[Ins(C):R5]G"	0	0	0
"T[Ins(C):R5]T"	0	0	0
"T[Ins(C):R6]A"	0	0	0
"T[Ins(C):R6]G"	0	0	0
"T[Ins(C):R6]T"	0	0	0
"T[Ins(C):R7]A"	0	0	0
"T[Ins(C):R7]G"	0	0	0
"T[Ins(C):R7]T"	0	0	0
"T[Ins(C):R8]A"	0	0	0
"T[Ins(C):R8]G"	0	0	0
"T[Ins(C):R8]T"	0	0	0
"T[Ins(C):R(9,)]A"	0	0	0
"T[Ins(C):R(9,)]G"	0	0	0
"T[Ins(C):R(9,)]T"	0	0	0
"A[Ins(T):R0]A"	0	0	23
"A[Ins(T):R0]C"	0	0	31
"A[Ins(T):R0]G"	0	0	17
"A[Ins(T):R1]A"	0	0	1
"A[Ins(T):R1]C"	0	0	7
"A[Ins(T):R1]G"	0	0	7
"A[Ins(T):R2]A"	0	0	1
"A[Ins(T):R2]C"	0	0	2
"A[Ins(T):R2]G"	0	0	2
"A[Ins(T):R3]A"	0	0	0
"A[Ins(T):R3]C"	0	0	1
"A[Ins(T):R3]G"	0	0	0
"A[Ins(T):R4]A"	0	0	1
"A[Ins(T):R4]C"	0	0	1
"A[Ins(T):R4]G"	0	0	0
"A[Ins(T):R5]A"	0	0	0
"A[Ins(T):R5]C"	0	0	0
"A[Ins(T):R5]G"	0	0	0
"A[Ins(T):R6]A"	0	0	0
"A[Ins(T):R6]C"	0	0	0
"A[Ins(T):R6]G"	0	0	0
"A[Ins(T):R7]A"	0	0	0
"A[Ins(T):R7]C"	0	0	0
"A[Ins(T):R7]G"	0	0	0
"A[Ins(T):R8]A"	0	0	0
"A[Ins(T):R8]C"	0	0	0
"A[Ins(T):R8]G"	0	0	0
"A[Ins(T):R(9,)]A"	0	0	0
"A[Ins(T):R(9,)]C"	0	0	0
"A[Ins(T):R(9,)]G"	0	0	0
"C[Ins(T):R0]A"	0	0	42
"C[Ins(T):R0]C"	0	0	50
"C[Ins(T):R0]G"	0	0	9
"C[Ins(T):R1]A"	0	0	9
"C[Ins(T):R1]C"	0	0	13
"C[Ins(T):R1]G"	0	0	13
"C[Ins(T):R2]A"	0	0	5
"C[Ins(T):R2]C"	0	0	12
"C[Ins(T):R2]G"	0	0	9
"C[Ins(T):R3]A"	0	0	0
"C[Ins(T):R3]C"	0	0	6
"C[Ins(T):R3]G"	0	0	3
"C[Ins(T):R4]A"	0	0	1
"C[Ins(T):R4]C"	0	0	0
"C[Ins(T):R4]G"	0	0	0
"C[Ins(T):R5]A"	0	0	1
"C[Ins(T):R5]C"	0	0	2
"C[Ins(T):R5]G"	0	0	0
"C[Ins(T):R6]A"	0	0	0
"C[Ins(T):R6]C"	0	0	0
"C[Ins(T):R6]G"	0	0	0
"C[Ins(T):R7]A"	0	0	0
"C[Ins(T):R7]C"	0	0	0
"C[Ins(T):R7]G"	0	0	0
"C[Ins(T):R8]A"	0	0	0
"C[Ins(T):R8]C"	0	0	0
"C[Ins(T):R8]G"	0	0	0
"C[Ins(T):R(9,)]A"	0	0	0
"C[Ins(T):R(9,)]C"	0	0	0
"C[Ins(T):R(9,)]G"	0	0	0
"G[Ins(T):R0]A"	0	0	49
"G[Ins(T):R0]C"	0	0	76
"G[Ins(T):R0]G"	0	0	29
"G[Ins(T):R1]A"	0	0	11
"G[Ins(T):R1]C"	0	0	13
"G[Ins(T):R1]G"	0	0	13
"G[Ins(T):R2]A"	0	0	1
"G[Ins(T):R2]C"	0	0	2
"G[Ins(T):R2]G"	0	0	0
"G[Ins(T):R3]A"	0	0	1
"G[Ins(T):R3]C"	0	0	1
"G[Ins(T):R3]G"	0	0	1
"G[Ins(T):R4]A"	0	0	0
"G[Ins(T):R4]C"	0	0	1
"G[Ins(T):R4]G"	0	0	1
"G[Ins(T):R5]A"	0	0	0
"G[Ins(T):R5]C"	0	0	0
"G[Ins(T):R5]G"	0	0	0
"G[Ins(T):R6]A"	0	0	0
"G[Ins(T):R6]C"	0	0	0
"G[Ins(T):R6]G"	0	0	0
"G[Ins(T):R7]A"	0	0	0
"G[Ins(T):R7]C"	0	0	0
"G[Ins(T):R7]G"	0	0	0
"G[Ins(T):R8]A"	0	0	0
"G[Ins(T):R8]C"	0	0	0
"G[Ins(T):R8]G"	0	0	0
"G[Ins(T):R(9,)]A"	0	0	0
"G[Ins(T):R(9,)]C"	0	0	0
"G[Ins(T):R(9,)]G"	0	0	0
"Del2:U1:R1"	0	0	0
"Del3:U1:R1"	0	0	0
"Del4:U1:R1"	0	0	0
"Del5:U1:R1"	0	0	0
"Del6:U1:R1"	0	0	0
"Del7:U1:R1"	0	0	0
"Del8:U1:R1"	0	0	0
"Del9:U1:R1"	0	0	0
"Del(10,):U1:R1"	0	0	0
"Del2:U(2,):R1"	0	0	0
"Del3:U(2,):R1"	0	0	0
"Del4:U(2,):R1"	0	0	0
"Del5:U(2,):R1"	0	0	0
"Del6:U(2,):R1"	0	0	0
"Del7:U(2,):R1"	0	0	0
"Del8:U(2,):R1"	0	0	0
"Del9:U(2,):R1"	0	0	0
"Del(10,):U(2,):R1"	1	1	0
"Del2:U1:R3"	0	0	0
"Del2:U1:R4"	0	0	0
"Del2:U1:R(5,9)"	0	0	0
"Del2:U2:R2"	0	0	0
"Del2:U2:R3"	0	0	0
"Del2:U2:R4"	0	0	0
"Del2:U2:R(5,9)"	0	0	0
"Del3:U1:R4"	0	0	0
"Del3:U1:R(5,9)"	0	0	0
"Del3:U3:R2"	0	0	0
"Del3:U3:R3"	0	1	0
"Del3:U3:R4"	0	0	0
"Del3:U3:R(5,9)"	0	0	0
"Del4:U1:R(5,9)"	0	0	0
"Del4:U2:R3"	0	0	0
"Del4:U2:R4"	0	0	0
"Del4:U2:R(5,9)"	0	0	0
"Del4:U4:R2"	0	0	0
"Del4:U4:R3"	0	0	0
"Del4:U4:R4"	0	0	0
"Del4:U4:R(5,9)"	0	0	0
"Del5:U1:R(5,9)"	0	0	0
"Del5:U5:R2"	0	0	0
"Del5:U5:R3"	0	0	0
"Del5:U5:R4"	0	0	0
"Del5:U5:R(5,9)"	0	0	0
"Del(6,):U1:R(7,9)"	0	0	0
"Del(6,):U2:R(4,9)"	0	0	0
"Del(6,):U3:R(3,9)"	0	0	0
"Del(6,):U(4,):R(2,9)"	0	0	0
"Ins(2,4):M"	0	0	0
"Ins(5,):M"	0	0	0
"Ins2:U1:R0"	0	0	0
"Ins3:U1:R0"	0	0	0
"Ins4:U1:R0"	0	0	0
"Ins2:U2:R0"	0	0	0
"Ins3:U3:R0"	0	0	0
"Ins4:U2:R0"	0	0	0
"Ins4:U4:R0"	0	0	0
"Ins(5,):R0"	0	0	0
"Ins2:U1:R1"	0	0	0
"Ins2:U1:R2"	0	0	0
"Ins2:U1:R3"	0	0	0
"Ins2:U1:R4"	0	0	0
"Ins2:U1:R(5,9)"	0	0	0
"Ins2:U2:R1"	0	0	0
"Ins2:U2:R2"	0	0	0
"Ins2:U2:R3"	0	0	0
"Ins2:U2:R4"	0	0	0
"Ins2:U2:R(5,9)"	0	0	0
"Ins3:U1:R1"	0	0	0
"Ins3:U1:R2"	0	0	0
"Ins3:U1:R3"	0	0	0
"Ins3:U1:R4"	0	0	0
"Ins3:U1:R(5,9)"	0	0	0
"Ins3:U3:R1"	0	0	0
"Ins3:U3:R2"	0	0	0
"Ins3:U3:R3"	0	0	0
"Ins3:U3:R4"	0	0	0
"Ins3:U3:R(5,9)"	0	0	0
"Ins4:U1:R1"	0	0	0
"Ins4:U1:R2"	0	0	0
"Ins4:U1:R3"	0	0	0
"Ins4:U1:R4"	0	0	0
"Ins4:U1:R(5,9)"	0	0	0
"Ins4:U2:R1"	0	0	0
"Ins4:U2:R2"	0	0	0
"Ins4:U2:R3"	0	0	0
"Ins4:U2:R4"	0	0	0
"Ins4:U2:R(5,9)"	0	0	0
"Ins4:U4:R1"	0	0	0
"Ins4:U4:R2"	0	0	0
"Ins4:U4:R3"	0	0	0
"Ins4:U4:R4"	0	0	0
"Ins4:U4:R(5,9)"	0	0	0
"Ins(5,):U1:R1"	0	0	0
"Ins(5,):U1:R2"	0	0	0
"Ins(5,):U1:R3"	0	0	0
"Ins(5,):U1:R4"	0	0	0
"Ins(5,):U1:R(5,9)"	0	0	0
"Ins(5,):U2:R1"	0	0	0
"Ins(5,):U2:R2"	0	0	0
"Ins(5,):U2:R3"	0	0	0
"Ins(5,):U2:R4"	0	0	0
"Ins(5,):U2:R(5,9)"	0	0	0
"Ins(5,):U(3,):R1"	0	0	0
"Ins(5,):U(3,):R2"	0	0	0
"Ins(5,):U(3,):R3"	0	0	0
"Ins(5,):U(3,):R4"	0	0	0
"Ins(5,):U(3,):R(5,9)"	0	0	0
"Del2:M1"	0	0	0
"Del3:M1"	0	0	0
"Del3:M2"	0	0	0
"Del4:M1"	0	0	0
"Del4:M2"	0	0	0
"Del4:M3"	0	0	0
"Del5:M1"	0	0	0
"Del5:M2"	0	0	0
"Del5:M3"	0	0	0
"Del5:M4"	0	0	0
"Del6:M1"	0	0	0
"Del6:M2"	0	0	0
"Del6:M3"	0	0	0
"Del6:M4"	0	0	0
"Del6:M5"	0	0	0
"Del(7,):M1"	2	3	0
"Del(7,):M2"	2	1	0
"Del(7,):M3"	1	1	0
"Del(7,):M4"	0	2	0
"Del(7,):M5"	0	1	0
"Del(7,):M(6,)"	0	0	0
"Complex(0,1)"	0	0	0
"Complex(2,5)"	0	0	0
"Complex(6,10)"	0	0	0
"Complex(11,20)"	0	0	0
"Complex(21,)"	0	0	0
