hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12
A[Del(C):R1]A	0.00311315413941196	0.000975555824769775	0.00177554036482132	0.00561277379030781	0.00451011159247631	0.00429014261276208	0.00624489922272773	0.00875480145020156	0.00405951056229407	0.0100857939362444	0.00178734972529182	0.000841065940263642
A[Del(C):R1]G	0.000114360088418526	0.000388977730479408	0.000387258015160011	0.000377874870712176	0.00117421027848873	0.000739557633951981	0.000304149220185504	0.00177031910288967	0.00144360788472091	0.00245140072879551	0.000164583885358345	0.000658804302762496
A[Del(C):R1]T	0.000198999053386135	0.000971434099389669	0.000454767058935833	0.00467860394423783	0.00241102351793561	0.00495112998478453	0.00133613039668017	0.00866434420533087	0.00227487627540964	0.00484414498977935	0.000131712000429974	0.00193109532942162
A[Del(C):R2]A	0.000434330453046891	0.00094290529430776	0.00258661163794649	0.0023831998212468	0.00110037521300523	0.000959795063999519	0.00156780024471827	0.00288515641710407	0.00204523242973242	0.0178748790948024	0.000649449993070356	0.00118498387862536
A[Del(C):R2]G	4.26568987846642e-05	0.00088665586559102	0.000575839890253751	0.000168374225290864	0.000307280697375398	0.000536134583809712	0.000117987747337856	0.000450169692612901	0.00170645484403003	0.00311872227177095	3.21056224824312e-05	0.000431225086395486
A[Del(C):R2]T	0.000203416625114012	0.000216915900396162	0.00084908522474137	0.00604659715928616	0.000861802614483141	0.00083243215363323	0.0010063427386759	0.00357851858773521	0.00108459095086839	0.00652029930672754	0.000253919250520404	0.000552095566276782
A[Del(C):R3]A	0.000356388177828796	0.000260800152972584	0.00155267883266769	0.00194190372797648	0.001173299567311	0.00149376337800548	0.00101653533546178	0.00136137706375792	0.000718695284311251	0.012114969882064	0.000851596218329193	0.000798155857775027
A[Del(C):R3]G	4.63569044479164e-05	9.94063179907898e-05	0.000486333517607155	0.000589948671196289	0.000196207663735751	0.000275803969775378	6.50170409735461e-05	0.000303128227950451	0.000639325291565668	0.00194549546155732	0.000130442636378113	0.000435756844282072
A[Del(C):R3]T	0.000237373703075457	0.00106995141778867	0.000832601815176401	0.00214311211684267	0.00029503669154145	0.000403682658666369	0.000495066448535225	0.00128288226890567	0.000732188183078	0.00664532193500032	0.000134150108212511	0.000727417949514093
A[Del(C):R4]A	0.00113870434156065	4.56622517599969e-05	0.00294848811979407	0.0012685742581356	0.000920762730730363	0.000456429609125841	0.000299038115579914	0.00141657297500357	0.00321845320583338	0.0101783752173576	0.000392930094248578	0.00115630634824931
A[Del(C):R4]G	0.000173415953593254	0.000223058079393967	0.000385682609644067	0.00025522702083526	0.000194487431511146	0.000329169854464493	0.000305049437914414	0.000267291981277186	0.000956540695905514	0.00228545825709274	0.000108530626434101	0.00145844714359406
A[Del(C):R4]T	0.000392916385808401	0.000976283188072147	0.000548299467900952	0.000964739280703054	0.00125327350073329	0.000274256634201274	0.000931328542923397	0.000403188650034236	0.000536805717602624	0.0059097717777215	0.000339748384490433	0.00142389248970884
A[Del(C):R5]A	0.00246684790474324	0.000347437204099517	0.000454767058935833	0.000674563174323043	0.00112280569201232	0.000624401482003628	0.000336942019955091	0.00132683969471214	0.00119121130778995	0.00782623678142335	0.00129585815643107	0.00298055132375126
