hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12
A[Del(C):R1]A	0.00481228692329644	0.00193727492796966	0.0272322743581028	0.00742869273712024	0.00472956516714522	0.00322910272138526	0.00191942226113123	0.00448114947399392	0.00251942994047194	0.00343264339032772	0.0137118063013722	0.00807671142655349
A[Del(C):R1]G	0.000626543702875953	0.0004528774736827	0.00258727737651244	0.00126441065130874	0.000112480116362146	0.000737620065975167	0.000168871972116783	0.000843660917416713	0.000506561468146992	0.00155728058185697	0.00134262082503848	9.09929935394975e-05
A[Del(C):R1]T	0.00314864892689072	0.0024468952521373	0.00697695447748253	0.00736650504763664	0.00130933644368885	0.00593743284575163	6.79397296087284e-05	0.003534527237866	0.000213647252153884	0.00193820958334614	0.0115244889835853	0.0222716184187151
A[Del(C):R2]A	0.00131304351016588	0.00108899174122389	0.0265800807710729	0.00549325016133743	0.000395879092669652	0.0013452749346828	0.000302071074603416	0.00365538146994344	0.000783047297852178	0.000886886048206949	0.00310545017423648	0.000797271943393692
A[Del(C):R2]G	6.8101388001021e-05	0.000235269763473147	0.00447037232871104	0.000166953417110412	9.21904931774792e-06	0.000453689583646021	2.52667787928337e-05	0.000213977799170048	1.70933447805286e-05	0.000148494313379598	0.000789612361888475	0.000168986988001924
A[Del(C):R2]T	0.00124779120280367	0.00132599967501822	0.0113172384320345	0.00511189959235296	0.00146332156869492	0.00278430326523962	0.000161964972064851	0.00252740416957689	0.00102315598649125	0.000401530706696937	0.00536378981014903	0.00826303041332484
A[Del(C):R3]A	0.000649394229985938	0.000646823639520072	0.0146292874628645	0.00383559927292445	0.00110262144245952	0.000637321191611849	0.000354295289517526	0.000468137586558811	0.000574582810420079	0.0011850031391559	0.00277713997596379	0.000472296966466915
A[Del(C):R3]G	0.000158143269454255	0.000230840232654658	0.00207597128792303	0.000314418506024505	0.000145846131675334	6.81576441696183e-05	2.06564132466185e-05	0.000336762053363396	0.000263440908688467	0.000338307777091633	0.000588547054548926	7.79939944624264e-05
A[Del(C):R3]T	0.000625611159551735	0.000652879200639019	0.00612161432121572	0.00277858095827635	0.000550057084816257	0.00138002133044438	0.000271187134327204	0.00133072344305652	4.7603205029527e-05	0.000809311368906344	0.00316201565124503	0.00371338073634997
A[Del(C):R4]A	0.000537125660749955	4.54167083920994e-06	0.00706863637942295	0.00204822201634749	0.000442977248389193	0.000506151105269172	0.00104077055100456	0.00114231843692227	0.00011012886093725	0.00104602843394112	0.00206144404365801	0.000537291961852271
A[Del(C):R4]G	4.96209518483216e-05	5.60700103606165e-06	0.00185306445932016	0.000517404896926475	0.000109432815541635	0.000298519409509265	0.000305047771270461	0.000145260970084872	1.49028932754723e-05	0.000618109026191538	0.000324414806548538	9.53259932318545e-05
A[Del(C):R4]T	0.000271148226349707	0.000214467789629358	0.00322280527782424	0.00133761959061765	0.000314412012506123	0.000299626604875613	0.000529675342541327	0.00085395436870156	0.000357943245049467	0.00115224874267388	0.00157574081709408	0.00100958892831919
A[Del(C):R5]A	0.000434346523754552	0.000228597432240234	0.00710588004214967	0.00119917711236588	0.000243051170506819	0.0014716905938641	0.00245148921892707	0.000313186297100313	5.73820063913855e-05	0.00215499044769531	0.00126047469463009	0.000511293963698129
