hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16	hdp.17	hdp.18	hdp.19	hdp.20	hdp.21	hdp.22	hdp.23	hdp.24
A[Del(C):R1]A	0.000696876494796194	0.0121376658596305	0.00989756310272333	0.0248725608344343	0.0113821894288367	0.00421669716364737	0.00212818997450107	0.00162117096121687	0.000209186842565499	0.000570849717695053	0.0128810500373329	0.00164852906229951	0.0257224179210634	0.00311156915397856	0.0100269414412427	0.00696629442115601	0.0107883878038893	0.00129156290614001	0.00296406924341498	0.00722920426482046	0.00131988313318524	0.016740242411462	0.00347118605639773	0.00737022910177146
A[Del(C):R1]G	0.000119366930315329	0.00163938407572879	0.00196853372929027	0.00300931681154382	0.000362165373726056	0.000579404024064899	0.000429252912863332	0.000555746491352966	3.13869813010305e-05	2.99202658695522e-06	0.00288913996826502	0.000166212076649587	0.00177495652090374	0.00018863997336163	0.00112299213078793	0.00101006454252539	0.00171915384673395	0.000145807702830769	0.000193607804198756	0.00174809635552938	0.000416118586907592	0.00199459971835002	6.35820087643515e-05	0.000838425026731099
A[Del(C):R1]T	0.000159615747715187	0.00593128541311163	0.00968415159765345	0.00740337700439135	0.00947478568605823	0.00122323188743698	0.00187793500563455	0.00222192504306121	0.00048496841198083	0.000182417104817592	0.0091965721802193	0.0032074915062585	0.0411839237577626	0.00628356608881331	0.0103392743199486	0.00505168947336644	0.00551082599746804	0.0010842087068978	0.00298542827587705	0.00767916483956705	0.000245200915056458	0.00563124759599051	0.00440469943152233	0.00227670011421505
A[Del(C):R2]A	0.000104281723032871	0.0178120676685435	0.00276113033976815	0.0281782848526509	0.00556959612801927	0.00114625756873814	0.00155184857867339	0.000360863216478268	0.000394792405789282	2.55770014691333e-06	0.00397168102145123	0.00360013655292879	0.00566618799439675	0.00116112470806352	0.00579618508464401	0.00143067523549656	0.00201097718161928	0.000442640797491887	0.000992206507551206	0.00307998156622368	0.00032164053764175	0.00322347870746551	0.000727716407838052	0.0023452632708876
A[Del(C):R2]G	5.90567310479988e-06	0.00191923502154177	0.000497380487582233	0.00471280586460408	0.000674034658146576	0.000356633014862964	0.000147386007076537	9.7047191948002e-05	4.39089391286884e-05	1.68904726682956e-06	0.00065860235453365	5.30106600474364e-05	0.000822984665214496	0.000126906603022587	0.000538076346627416	9.62063451657497e-05	0.000350793040986928	5.59058821803024e-05	9.52195275028191e-05	1.3652527517242e-05	9.32969618046157e-05	0.00014760213111198	3.74366576194873e-05	0.00184267361564084
A[Del(C):R2]T	0.000122460546428076	0.00700300140372596	0.00192942732556238	0.0124018413974339	0.0044453695571804	0.00188965354606904	0.000440558829126584	0.000607282834771463	0.000326511169720706	0.000385392327797167	0.00594307032761402	0.000654081928939481	0.0138148258511715	0.0019972024924029	0.00758552272625722	0.0038203571424075	0.00186455771348282	0.000318424031910883	0.000897832287777746	0.00145547400000248	0.000180464795496048	0.00752547494526092	0.00117315325454002	0.00249200704059854
A[Del(C):R3]A	0.000236687550201167	0.0112689116878534	0.000595677880239915	0.015939002951811	0.00277899305703562	0.00170513510781668	0.000146679387310083	0.000330885359287883	0.000493983027627916	0.000390266435624304	0.00225421490626678	0.000901264097051519	0.0030548101628022	0.00183079059314798	0.00451369749796948	0.000323842898373014	0.000423440953010955	0.000221082352258469	0.000970935239279619	0.00559567457377143	0.00110920218347281	0.00105698309478191	0.000619283897219468	0.00150451144019703
A[Del(C):R3]G	0.000100464770936411	0.00129595155087537	0.000170923571009469	0.0026645684128813	0.000596721186202418	0.000181483450829377	0.000184613711614415	0.000208267218375306	8.93700637330341e-05	2.41292466689937e-06	0.000507079216009177	8.92049765437247e-06	0.000504051869136417	0.000204257467808348	0.000719275513341734	0.000116991316577709	0.000470245051001449	6.80208775276355e-05	7.72602026298706e-05	1.25545969826387e-05	8.9708961259526e-05	0.0004345138106978	6.93819232942932e-05	0.00039803859733432
A[Del(C):R3]T	0.000211813745705905	0.00462432304846233	0.00126052084307951	0.00677349278516797	0.0035848034691627	0.000478355070832061	0.000639118983499945	0.00045776079117169	0.000191590432221269	2.31640768022339e-06	0.00319478482336402	0.000423392133602293	0.00347420195324212	0.000956387973229825	0.00564702648745123	0.00059961665140148	0.000908142117380659	0.000349609330127916	0.000399507214232625	1.61348052476497e-05	0.000195550503523533	0.00487297267158952	0.000297310347387826	0.000940804400948033
A[Del(C):R4]A	0.00107558647091979	0.00508353960381111	0.00120073311350279	0.00770071022654268	0.00258054983668063	0.00104299468748177	0.000221060415357793	0.000680636094221439	0.000701766933321186	2.36466617356138e-06	0.00155222486119736	0.0003888930130285	0.00245826455853464	0.000479196197709793	0.00275917557801444	0.000968738461576153	0.000571264976257941	0.000419949046282275	0.000914812349051655	1.40344163988432e-05	0.000819692593355792	0.000714855662489317	0.00106537654821071	0.00238854182453385
