hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12
A[Del(C):R1]A	0.00130990910144922	0.0312687424007035	0.00804813278362698	0.00228342359652253	0.0019074665952588	0.00243929671623827	0.00463838703646661	0.00737112739458511	0.0035806689478984	0.00201740689459564	0.00378211670403591	0.0546323896683716
A[Del(C):R1]G	0.000217317223364627	0.00260108670541881	0.00116061592395599	0.000699701505889186	7.08850320126112e-05	0.000961868905055849	0.000790775655025384	0.00133539847788292	0.00169424418614447	0.000493426684237144	0.00314640658571511	0.00189493249560228
A[Del(C):R1]T	0.000964264531024334	0.00716919532118904	0.0061822232193258	0.00311517623444145	0.000141850090155173	0.0043265883744184	0.00163552677912814	0.00701864225293511	0.0011676851338609	0.00226035298174464	0.000597175100432947	0.0145875646614602
A[Del(C):R2]A	0.000859413285234567	0.0268992948789118	0.00267406902020982	0.00315830912212478	0.00021032527870738	0.00282335215474683	0.000725392935821889	0.0031427426905127	0.00130359308037607	0.00328203252949321	0.0309042158579153	0.0160293597201202
A[Del(C):R2]G	0.000132320567633756	0.00435633231724365	0.000327207027134587	0.000260459246498059	3.55240520632365e-05	0.000453584606987837	0.000441588419753025	0.000191029587205221	0.00102324082045718	0.000355880019459128	0.00770755052621216	0.000556573793101903
A[Del(C):R2]T	0.000286380822804586	0.0111737719395173	0.002542629104254	0.00217009383268604	0.00014264431174676	0.00241884982792627	0.00142783615614219	0.00708643706860965	0.00244499518986958	0.00115596125821963	0.0119969206592622	0.00899675418869295
A[Del(C):R3]A	0.00106467384993947	0.0146390149635071	0.000797565946329218	0.000854865438157499	0.000275058868202644	0.0037676742664956	0.00065777301885659	0.00257276741964004	0.00419135614228102	0.00108806695199019	0.0192382322748539	0.00703219609585076
A[Del(C):R3]G	0.000210445910303324	0.00220522140300616	0.000179879211432294	0.000758066829539268	4.82210280397638e-05	0.000246569001783766	0.000258556141328503	0.00137919381318833	0.000642473928980797	0.000752613826143862	0.0027810581528955	0.000846788194472503
A[Del(C):R3]T	0.000756449791989848	0.00629061441248298	0.00118558633939321	0.00110808267391414	0.000198301730164024	0.000661684701500471	0.00103369599661205	0.00184549892677479	0.000459054361493797	0.00130531198856898	0.00791324962298747	0.00352814946088001
A[Del(C):R4]A	0.000867612131731206	0.00658312041358667	0.00127779716518771	0.00160181611139155	0.00104775041097872	0.00109315303775752	0.00164268089504775	0.00319572158472054	0.00245195906812077	0.00135788612458881	0.00986371819935769	0.00165443219291087
A[Del(C):R4]G	0.000127398073655527	0.00149933771419334	0.000135559088653897	0.000286906893628202	0.000244763693271851	0.000194745035162251	0.000378676451923831	0.000512966181750807	0.000592603575052917	0.000365842315934224	0.00265876706645088	0.00037739185529633
A[Del(C):R4]T	0.000159357113577824	0.00294496862371202	0.000503000170586244	0.000510671818223681	0.00071129036212612	0.000305825985014527	0.000274413202387444	0.00130013427238527	0.00114645653725647	0.00202109043278811	0.00448971576282415	0.00123949078540454
A[Del(C):R5]A	0.000146211877501119	0.00651021209033111	0.000630129379407404	0.00100938001080006	0.00240888314684462	0.00114585434404439	0.000402966027623418	0.00109004384529981	0.000569353207343297	0.000583003635735913	0.010287401190869	0.00124906942296973
A[Del(C):R5]G	7.82766814811964e-05	0.000854903283960918	7.82666458860473e-05	0.000510880934035364	0.00065975504436481	0.000170995937832053	0.00025433988400818	0.000262730718851745	0.000225315157611098	0.00119790336354756	0.0012489157861951	0.000287369901576213
A[Del(C):R5]T	0.000215227685737407	0.0026740946558386	0.000288791367173116	0.000561178789792648	0.00261695712442452	0.00114028567422402	0.000647386029248214	0.00054477003546778	0.000541385373721581	0.00116374691849008	0.00526858057211312	0.000259495958515298
A[Del(C):R6]A	0.000218920883754513	0.00264731500347998	0.000230737515904245	0.000354869532424969	0.00414266284157066	0.00100141011636241	0.000305967524665197	0.000305130351410285	9.61464481132102e-05	0.00226177616695536	0.00385279241297242	0.000850817902514553
A[Del(C):R6]G	3.86206027008169e-05	0.00035315565465172	3.10758711814385e-05	0.000116939763111848	0.00106154812372382	8.95861280511117e-05	8.61812830110361e-05	0.000143897779061164	2.35873295604838e-06	0.000133863126585543	0.000489379810394652	0.000253526818795256
A[Del(C):R6]T	9.30946096864252e-05	0.000958191423009708	0.000111246038320039	0.000904844117149583	0.00178474878986978	0.000539027742174779	0.000631418337530722	0.000216565166455515	0.00328391787790412	0.000824275387342877	0.0022071366568052	0.000161867122769279
A[Del(C):R7]A	0.000158807514735595	0.000658172628021712	0.000119704293624864	0.000218999285308192	0.00465207747637062	0.000743204178739581	0.000392370068993335	0.000227524323527035	0.000472532835528359	0.000260191743231938	0.00151043347791352	0.000173115826501631
A[Del(C):R7]G	6.11488450984816e-05	5.88427790695216e-05	3.86568514742168e-05	7.9122819483395e-05	0.0010049258619662	9.96389783832889e-05	0.000137182016602933	9.2413690753812e-05	4.15586282732334e-06	0.00014231852107281	0.000276875346589338	4.72143867386661e-05
A[Del(C):R7]T	5.10463156555689e-05	0.000195482081738165	3.29013598857507e-05	0.000332406091812143	0.000724299892987549	0.000359489927878658	0.000162541022001844	9.42058061151683e-05	0.000204311202240572	0.000220342557331551	0.000274243363432094	0.000164528454016301
A[Del(C):R8]A	0.000368879060610153	0.000116863310569341	0.000448779372671894	0.000209379957970804	0.00362376737526201	0.000307568479072104	0.00039094416272757	0.000170184890559768	0.000476239415887864	0.00101514963913465	0.000611382505737665	7.94736003159291e-05
A[Del(C):R8]G	2.353451274165e-05	5.92652241230348e-06	2.47174008111077e-05	1.57056980668806e-05	0.000441345616605423	6.85787171751437e-05	0.000209227159910262	0.000131716349761622	8.98564935637479e-07	0.000273753861122406	2.30381397265031e-05	1.59895367229988e-05
A[Del(C):R8]T	0.00012626701516862	2.19231515673115e-05	0.000107280566095776	0.000199441453868215	0.000644815826822682	0.000133136294217416	0.000238347607699899	7.32785235083623e-05	0.00027451158783725	0.000916196408600492	0.000133558228448998	3.85084934285698e-05
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	0.000383205801444308	0.0173507059352491	0.00274687575234165	0.00154657651882135	2.09396673614555e-05	0.00206010320170854	0.000709707966898471	0.00745044295186837	0.0041333987039324	0.00116943965933299	0.00619231052993844	0.0261254484316215
G[Del(C):R1]G	0.000182079175857048	0.00386985287431724	0.000527280116202666	0.000506676605611013	0.000282809323392026	0.000492382516633477	0.000683254947209447	0.000934443635514953	0.0012707954602253	0.00207726439022332	0.00519517011997166	0.00231786867147012
G[Del(C):R1]T	0.00055883847493936	0.0101264601365276	0.00456030015177118	0.00380062484685018	4.18536659642476e-05	0.00266485830714606	0.00211305787061476	0.00520428649218648	0.000874977606076995	0.00200284017537995	0.00338093153329066	0.0154493726768167
G[Del(C):R2]A	0.000476417234073042	0.0325601601639415	0.00265616646194512	0.000844409647573381	4.63456987303516e-05	0.00178990695532588	0.00154174885756329	0.00471381672630818	0.00197291163680904	0.00177111213636257	0.0375407249256625	0.0191287978085801
G[Del(C):R2]G	0.00012953805755329	0.00643619881125411	0.000189302232788103	0.000362738890601437	1.32163908577171e-05	0.000870613394585939	0.000251266810159548	0.000272120742657561	0.00135346343430395	0.00121380955119687	0.00723450956340196	0.00363733946435095
G[Del(C):R2]T	0.000216252541549487	0.0194477167115921	0.000889296753720905	0.000826018462240684	5.78226537068748e-05	0.00196595978150684	0.00137050489042211	0.00625158384389007	0.00326684514412701	0.00607842403501973	0.0213190337401114	0.0135412628204246
G[Del(C):R3]A	0.000343523171995221	0.0225747999099355	0.00140145983716882	0.00273256033563484	0.000125801076282595	0.00207931937743441	0.000713457116993802	0.00149965369641756	0.00138379000088172	0.00232540091755262	0.0240547415635683	0.014741609409795
