hdp.1	hdp.2
A[Del(C):R1]A	0.0232047711702024	0
A[Del(C):R1]G	0.00107100179633776	0
A[Del(C):R1]T	0.018918532731109	2.02079396995079e-05
A[Del(C):R2]A	0.00678283287650644	2.02079396995079e-05
A[Del(C):R2]G	0.00142800239511702	0
A[Del(C):R2]T	0.0148665759349645	0.0293116165341363
A[Del(C):R3]A	0.0052072107337942	0.0293823443230845
A[Del(C):R3]G	0.000357000598779254	0
A[Del(C):R3]T	0.00713965497498631	1.0103969849754e-05
A[Del(C):R4]A	0.00178491374374658	0
A[Del(C):R4]G	0	0
A[Del(C):R4]T	0.0032127376385642	1.0103969849754e-05
A[Del(C):R5]A	0.00107091254618807	0
A[Del(C):R5]G	0.000356911348629559	0
A[Del(C):R5]T	0.000713911947408814	0
A[Del(C):R6]A	0.000357000598779254	0
A[Del(C):R6]G	0	0
A[Del(C):R6]T	0.000356822098479865	0
A[Del(C):R7]A	0	0
A[Del(C):R7]G	0	0
A[Del(C):R7]T	0	0
A[Del(C):R8]A	0.000539963405653622	0.029402552262784
A[Del(C):R8]G	0	0
A[Del(C):R8]T	0	0
A[Del(C):R(9,)]A	0	0
A[Del(C):R(9,)]G	0	0
A[Del(C):R(9,)]T	0	0
G[Del(C):R1]A	0.010351678612353	0
G[Del(C):R1]G	0.00214200359267553	0
G[Del(C):R1]T	0.01238211951791	0.0096796031160643
G[Del(C):R2]A	0.00356991673764285	0
G[Del(C):R2]G	0.00107091254618807	0
G[Del(C):R2]T	0.00713795922214211	1.0103969849754e-05
G[Del(C):R3]A	0.00321291613886359	0
G[Del(C):R3]G	0.00107064479573898	0
G[Del(C):R3]T	0.00428391793520136	1.0103969849754e-05
G[Del(C):R4]A	0.00142791314496732	0
G[Del(C):R4]G	0.000714001197558509	0
G[Del(C):R4]T	0.00178464599329749	0
G[Del(C):R5]A	0.00107082329603837	0
G[Del(C):R5]G	0	0
G[Del(C):R5]T	0.000713911947408814	0
G[Del(C):R6]A	0.000357000598779254	0
G[Del(C):R6]G	0	0
G[Del(C):R6]T	0.000713911947408814	0
G[Del(C):R7]A	0	0
G[Del(C):R7]G	0	0
G[Del(C):R7]T	0	0
G[Del(C):R8]A	0	0
G[Del(C):R8]G	0	0
G[Del(C):R8]T	0	0
G[Del(C):R(9,)]A	0	0
G[Del(C):R(9,)]G	0	0
G[Del(C):R(9,)]T	0	0
T[Del(C):R1]A	0.00999351776162767	0
T[Del(C):R1]G	0.00142782389481763	1.0103969849754e-05
T[Del(C):R1]T	0.0123632877363244	0.0292914085944368
T[Del(C):R2]A	0.00773557822449858	0.00970991502561356
T[Del(C):R2]G	0.00107100179633776	0
T[Del(C):R2]T	0.0103529281144487	0
T[Del(C):R3]A	0.00499533087841872	1.0103969849754e-05
T[Del(C):R3]G	0.00142800239511702	0
T[Del(C):R3]T	0.00642592152787688	1.0103969849754e-05
T[Del(C):R4]A	0.00142791314496732	0
T[Del(C):R4]G	0.000350217587402448	0
T[Del(C):R4]T	0.00249891494130509	0
T[Del(C):R5]A	0.000356911348629559	0
T[Del(C):R5]G	0.000714001197558509	0
T[Del(C):R5]T	0.000714001197558509	0
T[Del(C):R6]A	0.000356286597581696	0
T[Del(C):R6]G	0	0
T[Del(C):R6]T	0	0
T[Del(C):R7]A	0	0
T[Del(C):R7]G	0	0
T[Del(C):R7]T	0	0
T[Del(C):R8]A	0.000356822098479865	0
T[Del(C):R8]G	0	0
T[Del(C):R8]T	0	0
T[Del(C):R(9,)]A	0	0
T[Del(C):R(9,)]G	0	0
T[Del(C):R(9,)]T	0	0
A[Del(T):R1]A	0.0103515893622033	0
