C.H.All.1	C.P.All.18	C.PH.All.4	C.PH.All.12	C.PH.All.6	C.H.MSI.4	C.H.All.8	C.P.Kidney.2	C.H.All.10	C.H.Lung.3	C.H.All.12	C.H.All.13	C.H.MSI.9	C.PH.Breast.5	C.PH.MSI.9	C.PH.All.29	C.H.MSI.6	C.PH.All.23	C.H.All.21	C.H.Colon.7	C.H.All.23	C.PH.All.32	C.PH.Prostate.7	C.PH.All.11	C.H.All.30	C.PH.All.34	C.H.All.32	C.H.Ovary.1	C.PH.Biliary.3	C.H.Kidney.1	C.H.Bladder.3	C.PH.Other.4	C.H.Bladder.9	C.H.Colon.13	C.PH.Other.3	C.PH.Breast.10	C.H.Prostate.2	C.PH.Liver.4	C.H.MSI.3	C.H.CNS.2	C.PH.CNS.2	C.PH.Colon.14	C.H.Colon.12	C.PH.MSI.8	C.PH.Lung.9	C.PH.MSI.16	C.PH.Prostate.13	C.PH.Skin.7	C.P.All.2	C.P.All.3	C.P.Other.12	C.P.All.10	C.P.All.11	C.P.Other.13	C.P.All.13	C.P.Other.8	C.P.Other.20	C.P.Other.25	C.P.Other.6	C.P.Other.10	C.P.Head.3	C.PH.Ovary.1	C.PH.Pancreas.6	C.P.Colon.6	C.PH.All.2	C.P.Other.7	C.P.Ovary.2	C.P.Uterus.5	C.PH.All.30	C.PH.Ovary.2
A[Del(C):R1]A	0.00228745774806103	0.00129156290614001	0.00242614376316468	0.00171727190631986	0.00464985478350165	0.00564888707244964	0.00459533357465173	0.0105959140753103	0.00139156481798764	0.00804813278362698	0.00312257022980555	0.00379357058543418	0.00226204268304345	0.00654697529720009	0.0288095737777911	0.0220598950908015	0.000451324546682637	0.00901855950154387	0.000802757503330802	0.00562668173299801	0.00233825744862014	0.00754913680856449	0.0045774187940393	0.00147763467250126	0.00130193008275204	0.00422066992367347	0.00217661467620021	0.00578834414549497	0.00350158507373592	0.00225640709857418	0.00515463336049817	0.0040871797813534	0.00474002470787341	0.0107719810003992	0.00767974271257641	0.00800215403859798	0.0291961357397786	0.00488612754812522	0.000199896348435354	0.00286256087522477	0.00121947562248065	0.00364266063595908	0.00687580350498555	0.000372570510748458	0.0035238834923753	0.00100569693191513	0.00380199924361935	0.00159284221921204	0.0121376658596305	0.00989756310272333	0.00216351479433064	0.000570849717695053	0.0128810500373329	0.00191165871658566	0.0257224179210634	0.0145223640031863	0.000985890764381518	0.00697742860738165	0.00116492430382089	0.00363453456032313	0.00584556644968477	0.0146143176520385	0.0153206018922936	0.00180086628884693	0.00260678259749103	7.62790722512793e-05	0.000506876867927616	0.0109738720312748	0.00573823884946917	0.00506519572863677
A[Del(C):R1]G	0.000106744780306596	0.000145807702830769	0.000163453771215473	0.000217492168553271	0.000720219794873279	0.00128206353872641	0.000540262821978356	0.0012021439389785	0.00034958982543489	0.00116061592395599	0.000475211266872256	0.00106609498046381	0.000402631968853369	0.000447521809224778	0.00266815619286767	0.00114129439349266	0.000152431405282361	0.00116452023542841	0.000143044456188547	0.000338356989872315	0.000134034774701193	0.00286444617265254	0.000143504996517527	0.000665995930088693	7.34043837881929e-06	6.91823897798082e-05	0.00278403038518813	0.000344364167204225	0.000499809008909213	0.0001642054015743	0.000331574789998446	0.000824294742774283	0.000793410145658088	0.000971496765000404	0.00134937271859733	0.00143667957668855	0.00370941136951692	0.000509804710464491	1.67777409737606e-05	0.000123227577596757	0.000901924596080252	0.000465560862496743	0.000793053478257998	6.3263963715116e-05	0.00156214541026854	0.000454010448842611	0.000129599616321518	0.000109916160688433	0.00163938407572879	0.00196853372929027	0.000418000067695865	2.99202658695522e-06	0.00288913996826502	0.000162119600468074	0.00177495652090374	0.00155138661853819	0.000130223938605443	0.00170550961298288	0.000408143908177963	7.00206764433712e-05	0.000801402391346195	0.00267342783331049	0.00176702080430253	8.23613633706267e-05	0.000295230015837605	2.62995957090462e-05	0.000131504931933965	0.00226291991191512	0.0004375036071371	0.0011738363648138
A[Del(C):R1]T	9.14250129870325e-05	0.0010842087068978	0.00173918284323857	0.000243327406399701	0.00395888109990617	0.00685430962163092	0.00313348895558707	0.0106171374781343	0.000160779066653269	0.0061822232193258	0.00310445371080335	0.0105939613867514	0.00132350739788587	0.00368862219517535	0.0075866877539272	0.016366371757029	2.44054121722959e-05	0.00796582289203584	0.00105339217088939	0.00422291180963457	0.000425829127464955	0.00238096247536212	0.0060059330992932	0.00203017671281944	0.00166734850787239	0.00443914059266449	0.00136139986965959	0.00741226720859501	0.00178580486461289	0.000489492512593971	0.00382330057326758	0.00221906512706824	0.00548642481378487	0.000442734408551189	0.00743926529730629	0.00409801579882438	0.00554077198615447	0.00460118702081972	0.00019727623810558	0.00149227242320468	0.000459203288842989	0.000376098765820549	0.00688270766909105	0.000256811746751456	0.0011261045365639	0.00044281750776117	0.000652703163979581	0.000260833564846533	0.00593128541311163	0.00968415159765345	0.00191700674662495	0.000182417104817592	0.0091965721802193	0.00339260430734089	0.0411839237577626	0.00514442709701526	0.000969746378901789	0.00756813812391025	0.000126331968760615	0.00465365533591781	0.00352184512741691	0.0173191735395905	0.0148615702620415	0.0105895076486926	0.00296457258124077	4.48376153147549e-05	0.000672744688684633	0.014147677175925	0.00306768156139232	0.000561235850477906
A[Del(C):R2]A	0.000294230268930906	0.000442640797491887	0.000459194309398643	0.000419871704761522	0.000855549505491377	0.00219737365191128	0.00216405501220781	0.00611875866543622	0.000681321897762632	0.00267406902020982	0.00197712869739031	0.00200223630799394	0.00198378200418583	0.00169315577412273	0.025813844537318	0.00995502092157155	0.000104439947293674	0.005726738699086	0.000572159226619119	0.00162401623202772	0.000683783129254641	0.0285939702760875	0.00136224926034499	0.00160041668686612	0.00378887773213522	0.000481765540265237	0.0021199667013114	0.00166566793812764	0.00147728743702211	0.000535265180523053	0.00268481922201755	0.00128046359782892	0.000824784461025094	0.00220587985223052	0.00546100236743189	0.00320643237231956	0.0292306458404791	0.00117930310921273	6.15725927496921e-05	0.000462676856722337	0.000880476189553595	0.000313687160638503	0.00344813552004995	0.000104892171461541	0.00127958824901055	0.00076419762249896	0.00123903815900774	0.000416286698176808	0.0178120676685435	0.00276113033976815	0.0015717703488483	2.55770014691333e-06	0.00397168102145123	0.00356601068890034	0.00566618799439675	0.0021216405161262	0.000703594344092737	0.00285515903150438	0.000306329918527328	0.000722411814935126	0.00218365656493297	0.00431254341789686	0.00476183162481084	0.00455198344011889	0.00107684885304662	0.00010670256425156	0.000194949442681489	0.00361051784686678	0.000548593864748715	0.00226360462767537
A[Del(C):R2]G	6.69152677735579e-06	5.59058821803024e-05	4.88558416137112e-05	2.73009177351117e-05	0.000154523011983347	0.000177580837521899	0.000160813971692699	0.000574735480227652	2.05613173225731e-05	0.000327207027134587	0.00043660406107606	0.000113521616997647	0.000251981282847651	0.000344371566803991	0.00450135926546336	0.000363712614052023	3.64618028377466e-05	0.00066309768465084	0.000261712956680926	7.67979196569904e-05	2.75822038761297e-05	0.00567497611697891	5.9221832331878e-05	0.000421236050030914	0.000106258190512811	2.19909785993385e-05	0.000404969479218723	0.000241627963406942	0.00016579478705849	9.68282335025078e-05	0.000199847324682579	9.87776016703485e-05	0.000492010984919309	8.00133508362166e-05	0.000193038885082508	0.000483279466101043	0.00320785226960383	0.000584369800593005	1.64434510351342e-05	3.0951981813942e-06	0.000392756889488777	3.34684897136278e-05	0.000884268282353566	9.26225998539583e-06	0.000982986826482929	9.16411305131833e-06	0.0001163762363453	2.72629374438837e-05	0.00191923502154177	0.000497380487582233	0.000176716238767695	1.68904726682956e-06	0.00065860235453365	6.40730269830375e-05	0.000822984665214496	0.000315249347432965	6.23678556316795e-05	0.000152796717528847	3.87378573106977e-05	3.74179452348859e-05	0.000215916257848811	0.00115723440976165	0.00054049743166807	0.000151531348749716	9.41706236363576e-05	2.72183659789783e-05	4.93472707583973e-06	0.000578417984339122	0.000383162206285597	0.000188546276625102
A[Del(C):R2]T	0.000157606483107461	0.000318424031910883	0.000944947845953433	0.000234400083441366	0.00226133088339482	0.00231998330150581	0.00209826223988865	0.00745526214268755	0.000765511836049985	0.002542629104254	0.000816416949405095	0.00193316359056369	0.000822541269872439	0.00408754539310501	0.0115860740451791	0.0124756793585777	0.000223804067498464	0.00656192080949314	0.000341182787827714	0.00139666052455525	0.000233520657835468	0.0111586662810979	0.00216843780721188	0.00119834235090337	0.000367734582861238	0.00117650552577972	0.0017955983175667	0.0030322847151332	0.00102159181964473	0.000564087774031414	0.00578660478610359	0.00127068104590281	0.000858318975155074	0.000570401874569439	0.00497994469896596	0.00277048023410168	0.00975890284011485	0.0028882391529729	0.000125638807744273	0.000465219340942768	0.00123898657752716	0.000320687834263756	0.00369614107850991	0.00010876335445684	0.00240714179665782	0.000568690812918208	0.000274697840245146	8.41635142215797e-05	0.00700300140372596	0.00192942732556238	0.000501775264619194	0.000385392327797167	0.00594307032761402	0.000690455835856997	0.0138148258511715	0.00180610312810308	0.000278909914105895	0.00133589067924354	9.04334359256178e-05	0.00121138670388644	0.00224209651976454	0.00782244317043581	0.00854620324266999	0.00225914507755182	0.00105240927442442	9.37600995110485e-05	6.48999780030382e-05	0.00643060987035274	0.00209910730769703	0.00156878773169457
A[Del(C):R3]A	0.000332826745386983	0.000221082352258469	0.000230284970152454	0.000583354621340233	0.000268639464104236	0.00104736046679302	0.000816238765920534	0.00458628614264642	0.000394637371287517	0.000797565946329218	0.000756037545790918	0.000488210814005252	0.00134281210703632	0.00197539269644549	0.0145978340315081	0.00404426137404317	0.000112955504778252	0.00384161623781499	0.000193773969276476	0.000941435351234416	0.000442901940686088	0.0182530994422467	0.00160274830494699	0.000555253170126382	0.000780830224247898	0.000559398095214883	0.000633640910143103	0.00145710164474525	0.000265433302475834	0.000897233895327653	0.00202718672498078	0.000597668784116911	0.00139819722155235	0.000680940049540312	0.00382998681684335	0.00148983006126322	0.0177846604410937	0.000906066140663615	2.48187692272053e-05	0.000407101467947482	0.00121944833443163	0.000890268038730576	0.00291172460975052	9.23449269126009e-05	0.00404965159085812	0.00093681993963824	0.000842369894104114	0.000506481663824341	0.0112689116878534	0.000595677880239915	0.000185131297756633	0.000390266435624304	0.00225421490626678	0.00069504266294242	0.0030548101628022	0.000494078239978049	0.00104759283505695	0.0052977453136982	0.000809404092980735	0.000621135688259906	0.00128993370730715	0.00390419477769356	0.00291802865462357	0.00309329707468149	0.000709412254200463	6.56701213821878e-05	6.37771889773556e-05	0.00167856823305922	0.00148110336941702	0.00101920743181773
A[Del(C):R3]G	8.30554276463123e-05	6.80208775276355e-05	7.42639622746042e-05	0.000167059456019992	0.000142989229828396	0.000157424735281863	9.61705141802801e-05	0.000724306905553037	0.000159071552411948	0.000179879211432294	9.73813482329629e-05	0.000662952671083184	0.0003681410585152	0.000166454230083012	0.0021368488387458	0.000356764566705716	5.91114299616759e-06	0.000589869167678637	8.17759998952553e-05	7.93551534178616e-05	4.02398293072948e-05	0.00253839463332769	0.000127712017506653	0.000351665702071188	3.34952042528647e-06	4.86900125868796e-05	0.00112868490551746	0.000103385468150566	0.000131110581157875	0.000109397671949591	0.000643062468669581	0.000145133773476859	0.000249142923996355	0.000320077753940258	0.000310806457856356	0.000516850058959343	0.00286880437117115	0.000142376462010436	1.40401774223069e-05	2.68342628047658e-05	4.38246067198622e-05	0.000211812149849235	0.000501418320345521	1.94273629847959e-05	0.000615495323260997	0.000337559158605127	0.000138090301939991	5.34380768850189e-05	0.00129595155087537	0.000170923571009469	0.000200272147387287	2.41292466689937e-06	0.000507079216009177	9.47972215735165e-06	0.000504051869136417	0.000406957039942456	6.19683846579279e-05	0.000125295469571922	8.52960133820935e-05	7.06117179617324e-05	0.000256303188999213	0.000633643307920746	0.000248963212470145	0.000118722401923836	0.00013831863096735	2.89306935794003e-05	1.04377794609756e-05	0.000853928979592293	0.000125546765463791	7.59513946051466e-05
A[Del(C):R3]T	0.000232696309446818	0.000349609330127916	0.000176474511498762	0.000188490641377943	0.000431069236072907	0.000306324953015568	0.000856241626404791	0.00536266100848761	0.000126925225271524	0.00118558633939321	0.000445345315218595	0.000489955808971911	0.000389243630274782	0.00169335066465289	0.0064846026612038	0.00304478101625598	0.000114535711321782	0.00317941180245327	0.000458908982809967	0.000733994860176278	0.000187876322091285	0.00736806753317596	0.000754179111330616	0.000678287916930983	0.000665948800299775	0.000424469891907043	0.00104588874915379	0.00115468560054008	0.00033053958421519	0.000554847370024524	0.00213006799880585	0.00054028969804236	0.000375771718149747	0.000391173375619603	0.00283838119240006	0.00133169259906538	0.00729089545665112	0.00083088051659364	2.53608610195724e-05	0.000429071847895771	0.00023145723175459	0.00031312269383916	0.0021022227089915	7.99584403823416e-05	0.000440053519781676	0.000638702573415334	0.000587298653330873	0.000284711702255079	0.00462432304846233	0.00126052084307951	0.00060363188940723	2.31640768022339e-06	0.00319478482336402	0.00036622921305728	0.00347420195324212	0.00103293571323991	0.000259998022510715	1.78839156655051e-05	0.000203940875818324	0.000248748939481233	0.00141883151090743	0.00323095991855442	0.00276819355718272	0.000693409574290355	0.000670498252666982	6.14697964136311e-05	0.000127817748219995	0.00310694737694902	0.000810047108143655	0.00113223438190939
A[Del(C):R4]A	0.000954686559702924	0.000419949046282275	0.000498224694697696	0.000701510160117533	0.000540844140184343	0.000990317900769836	0.00106566208045322	0.00280958868381172	0.000221265387104506	0.00127779716518771	0.000464878241142037	0.00180810561795313	0.00244848486084926	0.00296655278090892	0.00652038703957471	0.00202863176830208	8.50385225092228e-05	0.00192998209781043	0.000103461425384877	0.000978796392004261	0.000488717758329071	0.01117692023193	0.000770189087491382	0.000162897545255764	0.00062568328880431	0.000842106512899608	0.000672689888074615	0.000880532315922165	0.00102466580323879	0.00111350912904314	0.00138638038301998	0.000663074190422422	0.000432108330333343	0.00216366944792944	0.0021042151916745	0.000994819203191143	0.00784479180019338	0.00148373994709761	6.87282044089374e-05	0.000321513711092322	0.000992029733931426	0.000931362721255066	0.000873662542748661	0.000202957810493453	0.00257968557797039	0.000915912694853243	0.00108694305789477	0.00127756047933508	0.00508353960381111	0.00120073311350279	0.000228113792369275	2.36466617356138e-06	0.00155222486119736	0.000231039402689457	0.00245826455853464	0.000505356136930774	0.000504135967712208	3.61460410278637e-05	0.00125895393552698	0.00103984638676753	0.000947607009526969	0.00188615765794401	0.00226503559972454	0.00174488768145938	0.000783515210449743	0.000320941903636938	0.000190555317729126	0.00133603715019405	0.000513906486583863	0.00212485933998207
