MutationType	CPCT02060042T	CPCT02130027T	CPCT02290024T	CPCT02230080T	CPCT02070282T	CPCT02060201T	CPCT02010752T	CPCT02130046T	CPCT02190033T	WIDE01010213T	CPCT02440010T	WIDE01010272T	DRUP01070085T	CPCT02380045T	CPCT02150013T	CPCT02010769T	CPCT02450014T	CPCT02130122T	CPCT02230107T	DRUP01090017T	CPCT02020781T	CPCT02310016T	CPCT02300050T	CPCT02020808T	CPCT02050414T	CPCT02230042T	CPCT02040170T	CPCT02330059T	CPCT02330063T	CPCT02020512T	CPCT02110031T	CPCT02030347T	CPCT02050179T	CPCT02010591T	CPCT02170007T	CPCT02210025T	CPCT02030376T	CPCT02050110T	CPCT02030318T	CPCT02100056T	CPCT02030326T	CPCT02120007T	WIDE01010573T	WIDE01010693T
A[Del(C):R1]A	2	1	13	8	9	7	0	8	7	9	15	6	98	5	4	1	151	7	10	16	15	3	20	6	9	2	6	10	14	1	7	194	7	9	10	11	5	13	9	3	7	6	15	3
A[Del(C):R1]G	0	1	0	0	0	0	1	0	2	1	1	0	5	0	3	0	15	0	0	1	2	2	1	0	3	0	0	0	0	0	1	11	3	0	0	0	1	0	1	0	1	0	0	0
A[Del(C):R1]T	1	1	8	4	5	4	2	3	6	5	9	2	23	6	1	3	9	5	6	12	13	3	15	2	5	1	1	14	6	0	3	39	11	8	11	5	5	6	6	7	6	5	13	8
A[Del(C):R2]A	0	1	6	0	1	2	1	3	2	1	3	1	27	6	4	1	28	0	1	5	5	2	2	0	6	0	3	2	1	0	1	40	4	3	6	1	2	4	2	0	2	3	2	2
A[Del(C):R2]G	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	1	0	1	1	0	0
A[Del(C):R2]T	3	1	1	2	4	0	0	2	2	1	3	1	15	4	0	4	41	2	5	6	5	0	2	3	1	0	5	4	3	1	1	25	4	3	4	4	3	3	6	4	1	2	3	3
A[Del(C):R3]A	0	0	2	3	2	3	0	2	2	6	3	1	25	2	0	2	16	0	1	4	3	2	1	1	2	0	0	2	3	2	0	49	3	1	0	4	2	3	6	0	0	5	1	1
A[Del(C):R3]G	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	1	5	0	2	1	0	0	0	0	0	0	0	0	1	0	0	8	0	0	1	0	0	0	0	0	0	0	1	1
A[Del(C):R3]T	0	0	1	1	3	0	0	0	1	1	2	2	15	2	0	1	19	2	1	4	1	0	1	2	1	0	1	0	1	0	1	20	2	1	1	4	0	3	1	1	3	0	1	0
A[Del(C):R4]A	0	0	2	0	1	0	0	1	3	2	1	0	55	0	0	1	27	0	0	2	3	1	5	2	0	0	0	2	0	0	2	96	1	1	3	1	1	2	0	0	3	3	1	0
A[Del(C):R4]G	0	0	1	0	0	1	1	0	0	0	0	0	10	0	0	0	19	0	0	2	0	0	2	0	0	0	0	0	1	0	0	23	2	0	1	0	0	0	2	0	0	0	1	0
A[Del(C):R4]T	0	0	0	1	1	0	0	1	3	0	0	1	26	1	0	1	21	0	1	1	2	0	2	0	2	0	1	2	2	0	0	52	1	0	3	1	0	0	4	0	0	0	3	1
A[Del(C):R5]A	0	0	3	0	1	2	1	1	2	6	1	1	97	0	0	2	50	1	1	2	6	0	3	0	1	0	1	2	1	0	0	223	7	0	0	3	0	2	1	0	2	1	1	0
A[Del(C):R5]G	0	0	0	0	0	0	0	1	1	0	1	0	24	0	0	0	11	0	0	1	0	1	0	0	0	0	0	1	0	0	0	44	0	0	3	1	0	0	0	0	0	0	0	0
A[Del(C):R5]T	0	0	1	0	0	0	0	0	1	1	1	0	99	0	1	1	72	0	0	2	2	0	2	1	2	0	0	2	0	1	0	196	1	1	3	1	1	1	2	0	0	1	0	0
