MutationType	SP101845	SP101682	SP61553	SP101724	SP102103	SP102174	SP101622	SP102161	SP101654	SP102074	SP101694	SP101616	SP101666	SP101558	SP102096	SP102084	SP101580	SP102064	SP101564	SP101921	SP101648	SP101628	SP101708	SP102055	SP101634	SP101588	SP101584	SP101686	SP101532	SP101732	SP101528	SP101536	SP101576	SP102015	SP102168	SP101716	SP101592	SP101658	SP102045	SP101552	SP101519	SP101690	SP102123	SP101662	SP101600	SP101544	SP102133	SP101881	SP102035	SP101642	SP101596	SP101670	SP101674	SP101572	SP101678	SP101740	SP101700	SP101891	SP102143	SP102113	SP101521	SP101526	SP101540	SP101604	SP101548	SP101523	SP102090	SP101795	SP102187	SP101515	SP101931	SP101610	SP61703	SP59707	SP68659	SP62616	SP59761	SP66960	SP61453	SP63796	SP69155	SP59950	SP59938	SP64976	SP64296	SP65807	SP59803	SP66159	SP63356	SP68348	SP62450	SP67428	SP61713	SP68725	SP67609	SP62110	SP64546	SP63546	SP60322	SP60243	SP63966	SP60362	SP69077	SP67346	SP66687	SP63716	SP65376	SP61343	SP60001	SP59860	SP60610	SP64036	SP60842
A[Del(C):R1]A	6	4	1	11	5	5	3	2	6	0	4	10	5	7	5	4	5	2	4	3	2	4	3	2	8	5	9	3	5	8	8	1	1	7	4	11	8	1	13	13	2	3	2	0	2	3	8	2	4	13	5	8	6	1	6	8	2	6	4	2	1	6	3	3	2	9	6	2	4	3	10	8	5	2	1	9	5	4	4	1	1	12	1	2	12	7	8	6	2	13	0	9	6	3	8	6	5	6	1	6	4	3	11	18	7	2	5	7	6	7	1	5	8
A[Del(C):R1]G	1	0	0	0	0	0	1	0	0	0	0	2	0	0	2	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	2	1	0	1	2	0	1	1	0	0	2	2	0	1	2	0	1	1	0	3	1	0	1	2	1	3	1	0	2	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	2	0	1	1	0	0	2	2	1	1	1	3	0	0	1	1	1	1	1	0	0	1	0	1	1	1	3	0	2	3	2	0	0
A[Del(C):R1]T	9	1	1	13	6	12	8	7	13	6	8	15	4	5	4	4	3	7	5	3	5	1	4	3	5	4	4	4	7	14	7	1	7	8	3	2	4	1	13	15	3	4	1	5	2	4	11	4	4	11	3	16	2	3	8	12	4	13	10	4	2	6	2	4	7	2	3	14	8	2	13	3	7	0	2	15	5	1	5	5	3	28	5	8	7	12	5	9	8	7	3	3	1	3	12	8	3	11	5	4	1	4	10	14	2	3	10	4	7	8	3	3	8
A[Del(C):R2]A	2	1	1	2	0	2	2	0	4	1	2	4	0	1	2	2	3	0	0	1	0	1	2	0	0	0	0	1	1	2	2	1	2	1	1	1	1	0	5	1	1	3	0	3	1	1	3	2	3	8	2	1	1	1	2	2	1	1	2	2	0	1	1	0	1	2	2	2	1	1	3	0	1	1	1	2	1	0	1	1	0	5	1	4	2	4	3	4	1	1	3	0	3	1	3	0	1	1	1	1	0	1	2	6	1	0	3	3	3	3	2	3	2
A[Del(C):R2]G	1	1	0	0	1	0	0	0	1	1	0	2	1	0	1	0	0	0	1	1	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	2	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0
A[Del(C):R2]T	4	1	0	2	3	2	0	0	2	3	3	3	6	5	0	0	4	4	2	2	5	3	1	0	4	2	5	2	2	3	5	1	4	6	0	1	2	0	4	10	3	4	1	2	1	3	1	2	2	3	2	2	2	0	6	5	4	4	5	3	1	4	1	4	4	3	1	0	4	4	6	2	2	1	0	6	1	1	2	1	1	13	0	4	3	3	7	8	2	2	0	3	9	2	3	3	2	3	2	0	5	2	4	4	3	2	6	4	3	2	1	2	3
A[Del(C):R3]A	4	0	1	5	2	3	0	0	2	1	1	3	2	0	0	1	0	1	1	0	3	1	2	0	3	2	2	0	3	2	2	2	0	8	2	1	2	0	3	2	0	3	0	2	0	1	1	3	0	1	0	3	1	0	2	1	0	3	3	0	2	1	0	0	2	1	2	1	1	0	1	0	1	0	1	2	0	0	1	0	0	1	0	0	0	3	4	5	1	2	1	3	2	1	3	3	0	2	0	1	1	0	1	1	1	0	1	0	2	1	0	0	1
A[Del(C):R3]G	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0
A[Del(C):R3]T	3	4	0	0	1	1	1	1	0	3	2	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	0	1	2	3	2	3	1	1	2	1	0	0	1	2	2	2	0	1	3	0	0	1	2	1	0	0	1	0	2	0	0	2	0	0	1	0	0	0	1	2	0	1	1	0	0	4	2	0	3	0	0	1	2	1	0	0	0	3	0	2	1	2	2	0	0	0	1	1	0	2	1	1	1	1	1	1	2	0	2	2
A[Del(C):R4]A	2	0	2	1	2	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	2	0	1	1	3	0	0	0	1	0	0	0	1	2	2	0	0	2	1	0	0	3	3	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	2	0	0	1	1	0	1	3	0	1	0	1	1	0	0	2	0	1	0	0	0	2
