MutationType	SP1086	SP1003	SP1677	SP1305	SP963	SP1144	SP1132	SP1712	SP1114	SP1431	SP975	SP1059	SP1419	SP1009	SP1724	SP96136	SP967	SP1781	SP1174	SP953	SP1377	SP1365	SP1491
A[Del(C):R1]A	4	5	9	22	2	4	15	4	4	1	7	9	6	7	2	7	0	8	4	10	1	5	1
A[Del(C):R1]G	3	0	2	3	1	1	2	1	1	0	1	1	1	0	1	0	0	0	0	3	0	2	0
A[Del(C):R1]T	2	5	3	15	7	4	17	1	2	1	6	6	5	3	2	4	0	3	0	3	1	8	1
A[Del(C):R2]A	4	2	8	3	3	6	10	0	9	1	0	12	2	0	1	6	2	3	0	10	1	1	1
A[Del(C):R2]G	1	1	2	0	1	1	1	0	5	0	0	2	0	1	0	1	0	0	0	0	0	0	0
A[Del(C):R2]T	2	3	2	6	3	1	4	1	6	2	3	4	2	4	2	2	1	1	1	4	2	3	2
A[Del(C):R3]A	3	2	3	4	2	2	6	0	6	1	1	0	1	1	3	4	2	3	0	4	2	1	2
A[Del(C):R3]G	1	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	3	0	0	0
A[Del(C):R3]T	2	2	3	1	4	3	3	0	4	0	0	6	1	2	1	1	0	0	0	5	1	3	1
A[Del(C):R4]A	1	1	1	1	0	1	4	0	6	0	1	3	1	0	0	6	0	3	1	4	0	0	1
A[Del(C):R4]G	0	0	1	1	2	1	1	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0
A[Del(C):R4]T	0	2	3	3	1	1	2	0	5	0	1	6	1	3	0	4	1	0	0	3	1	2	2
A[Del(C):R5]A	0	2	6	1	1	2	1	0	7	1	1	6	1	2	2	2	0	0	0	3	0	1	0
A[Del(C):R5]G	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
A[Del(C):R5]T	1	0	2	2	0	0	2	1	2	0	0	0	1	0	1	2	0	2	1	1	0	0	0
A[Del(C):R6]A	2	0	1	1	0	1	0	0	3	0	1	1	0	0	1	0	0	1	0	3	0	0	1
A[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A[Del(C):R6]T	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0
A[Del(C):R7]A	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	1	1	0	0	0	0	0	0
A[Del(C):R7]G	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R7]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A[Del(C):R8]A	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1
A[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	3	2	2	1	3	1	18	1	1	1	3	8	3	1	0	1	0	0	0	4	1	2	2
G[Del(C):R1]G	2	0	1	2	0	1	10	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0
G[Del(C):R1]T	3	3	0	11	2	3	11	1	2	0	6	11	9	4	4	8	2	2	2	6	2	7	0
G[Del(C):R2]A	3	5	9	11	5	2	39	0	8	1	1	16	3	6	2	7	0	2	3	7	1	8	0
G[Del(C):R2]G	0	1	0	6	3	0	4	0	3	0	0	4	0	0	0	2	0	0	0	2	0	0	0
G[Del(C):R2]T	2	3	4	9	0	0	52	0	4	3	0	7	1	2	3	6	1	4	3	4	2	3	2
G[Del(C):R3]A	0	1	5	5	4	10	14	0	10	0	0	12	2	1	1	3	0	2	2	4	0	3	0
G[Del(C):R3]G	0	1	2	2	0	0	2	0	0	0	2	1	0	1	1	1	0	0	0	0	0	0	1
G[Del(C):R3]T	1	1	3	3	1	0	12	0	2	0	0	3	0	0	1	0	1	0	0	6	0	3	0
G[Del(C):R4]A	3	3	1	5	1	1	6	1	4	0	1	4	1	1	1	5	0	1	1	4	0	2	2
G[Del(C):R4]G	0	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
G[Del(C):R4]T	1	0	2	4	1	1	4	0	3	0	1	1	0	1	1	1	0	0	1	5	0	0	1
G[Del(C):R5]A	2	2	4	5	1	2	1	1	5	1	1	4	1	0	1	2	1	0	1	1	1	0	2
G[Del(C):R5]G	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R5]T	3	0	2	4	0	0	2	0	2	0	1	2	1	1	0	3	0	1	0	2	1	1	0
G[Del(C):R6]A	1	1	0	2	0	1	1	0	1	2	0	0	1	1	0	4	0	1	1	1	0	0	1
G[Del(C):R6]G	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
G[Del(C):R6]T	1	2	0	0	0	0	1	0	0	0	1	0	1	3	0	0	1	0	1	0	0	0	0
G[Del(C):R7]A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	1	0
G[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
G[Del(C):R7]T	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
G[Del(C):R8]A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0
G[Del(C):R8]G	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	7	9	9	8	10	5	15	5	6	1	4	18	3	3	4	26	2	15	3	11	3	5	4
T[Del(C):R1]G	2	3	1	1	2	2	1	0	2	0	0	2	1	1	0	1	0	3	0	1	2	1	0
T[Del(C):R1]T	10	7	16	20	22	9	14	9	6	6	12	39	11	9	9	30	0	27	10	21	6	9	6
T[Del(C):R2]A	5	7	4	10	5	2	6	2	12	0	1	16	3	4	6	8	5	7	0	10	4	6	5
T[Del(C):R2]G	1	2	1	0	4	0	2	2	4	0	1	4	0	1	1	4	0	0	0	1	0	1	0
