MutationType	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
A[Del(C):R1]A	2	3	3	2	6	5	9	28	3	3	4	5	9	5	71	7	12	1	1	4	3	1	2	1	26	5	5	6	5	10	11	9	2	3	13	6	13	5	2	33	7	3	5	5	1	6	14	7	5	73	0	3	3	5	6	4	3	8	1	3	5	5	6	11	150	10	10	159	3	46	4
A[Del(C):R1]G	1	1	2	0	4	0	0	4	1	1	2	1	2	1	10	0	3	1	1	1	2	0	0	0	2	0	2	0	3	2	2	1	1	0	3	2	0	1	1	0	2	0	1	0	2	5	3	0	2	5	1	0	0	1	1	1	0	0	1	0	1	1	0	0	24	1	2	13	0	12	1
A[Del(C):R1]T	1	2	0	1	4	10	12	3	3	2	4	9	1	6	8	0	8	7	1	1	1	0	1	4	2	1	6	2	4	9	6	7	2	14	24	4	10	7	2	4	6	3	1	8	1	6	22	5	5	8	4	3	1	5	5	5	0	4	1	0	1	6	2	5	15	5	5	13	1	1	7
A[Del(C):R2]A	2	2	1	1	0	5	2	5	1	1	1	0	2	1	10	1	6	2	1	0	1	0	2	3	8	3	3	1	1	1	3	1	2	0	4	1	2	1	2	7	3	2	1	2	3	1	4	3	3	12	4	1	0	1	2	1	3	6	1	1	1	0	1	4	31	7	6	28	1	9	3
A[Del(C):R2]G	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0
A[Del(C):R2]T	1	2	2	2	0	6	1	4	2	2	1	0	1	2	15	1	11	3	0	3	1	0	0	3	6	2	5	3	1	5	3	4	1	1	7	3	4	0	0	8	6	0	0	3	5	2	6	1	4	10	5	0	1	0	0	2	3	3	2	0	0	2	1	6	17	5	4	21	0	10	5
A[Del(C):R3]A	0	1	1	0	4	0	4	0	2	1	5	1	2	2	21	2	5	4	1	1	0	1	0	0	7	2	0	1	0	4	2	0	0	0	2	0	1	1	0	10	1	0	3	2	0	0	3	0	1	11	3	0	1	1	0	0	0	1	0	0	3	5	0	1	17	1	6	18	0	17	1
A[Del(C):R3]G	0	0	0	0	0	0	0	2	0	0	2	0	1	0	3	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	8	2	0	10	1	6	0
A[Del(C):R3]T	1	1	0	0	1	2	2	2	0	0	1	1	0	2	14	0	2	4	0	1	0	0	1	3	1	0	3	1	1	2	2	0	0	0	3	1	2	1	0	5	3	0	2	0	0	0	3	0	2	14	2	0	1	1	0	0	0	3	2	0	3	0	0	5	15	3	3	21	0	10	2
A[Del(C):R4]A	0	2	2	0	4	1	0	2	1	0	0	2	1	3	38	0	2	1	0	1	0	2	0	0	19	0	1	1	0	0	0	1	0	0	5	1	2	1	0	18	1	1	0	2	2	0	5	0	0	28	1	1	1	2	1	2	0	2	0	1	0	1	0	0	50	1	0	61	0	46	5
