MutationType	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94588	SP90725	SP94236	SP93772	SP92195	SP89957	SP92268	SP92707	SP89687	SP90269	SP94933	SP95126	SP95646	SP89443	SP89651	SP94060	SP92787	SP92723	SP92364	SP95406	SP91746	SP92332	SP91730	SP92947	SP91666	SP90245	SP90893	SP89519	SP94917	SP92659	SP94332	SP94661	SP93652	SP90125	SP94540	SP95222	SP89389	SP90503	SP92460	SP92931	SP91265	SP89909	SP90629	SP95550
A[Del(C):R1]A	17	35	30	34	48	25	32	2	4	7	2	6	0	2	2	3	3	31	12	7	4	4	2	0	3	29	3	3	4	8	2	10	2	6	1	16	9	3	1	0	1	1	4	3	3	10	2	6	11	12	12
A[Del(C):R1]G	3	9	4	13	9	5	11	2	0	0	1	1	0	2	0	0	0	1	1	1	1	1	1	0	0	11	0	1	2	3	1	1	2	1	2	2	0	1	1	1	1	0	0	0	0	3	1	1	3	0	1
A[Del(C):R1]T	1	4	11	7	5	38	3	4	2	4	2	4	4	0	1	7	2	9	13	8	5	4	3	5	1	8	0	1	15	9	2	4	6	11	2	9	15	8	5	1	8	3	14	3	0	3	2	10	5	18	3
A[Del(C):R2]A	1	5	14	4	5	36	5	2	2	1	2	1	2	0	1	1	1	4	3	0	0	0	0	2	3	8	1	2	1	2	1	1	0	0	1	11	6	4	3	2	0	1	4	1	1	3	1	1	1	3	1
A[Del(C):R2]G	1	1	3	1	3	3	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	2	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
A[Del(C):R2]T	3	11	13	4	12	22	6	3	2	2	1	2	4	1	0	3	2	11	3	4	4	1	2	1	2	5	0	1	4	3	3	1	4	7	1	2	1	0	4	1	4	0	1	1	3	3	3	3	5	5	1
A[Del(C):R3]A	6	12	17	9	19	41	11	0	0	3	1	0	0	0	0	0	2	7	1	0	0	0	2	1	0	5	0	1	2	0	0	1	0	2	0	15	1	0	0	1	0	0	2	0	1	3	0	1	5	0	3
A[Del(C):R3]G	1	7	3	3	9	9	9	0	0	0	1	0	2	0	0	0	0	2	1	0	2	0	0	0	0	3	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	1	2	0	0
A[Del(C):R3]T	8	6	9	11	13	27	8	0	0	0	0	1	0	1	1	3	1	3	0	5	1	0	0	1	0	15	2	1	0	3	0	0	1	2	0	6	3	2	2	1	3	0	0	2	1	3	3	2	2	3	1
A[Del(C):R4]A	27	36	48	26	76	91	53	0	0	2	1	0	0	1	0	1	2	22	0	0	0	0	1	0	0	45	0	0	0	0	1	1	1	0	1	15	1	1	0	0	1	1	3	1	0	9	0	1	15	1	1
A[Del(C):R4]G	10	11	11	12	29	25	15	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	0	0	0	15	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	7	0	0	7	0	0
A[Del(C):R4]T	13	29	26	17	35	50	27	0	1	0	1	0	0	0	1	1	0	16	0	0	0	0	2	0	0	22	0	1	0	2	1	0	0	1	0	13	0	0	0	1	1	0	1	0	0	14	0	0	8	2	1
A[Del(C):R5]A	62	99	134	84	179	169	112	1	0	0	0	1	1	1	0	1	1	61	1	0	0	0	0	0	3	75	1	0	2	3	0	1	2	1	0	45	3	0	1	1	0	0	0	0	0	33	1	1	37	0	0
A[Del(C):R5]G	10	25	24	15	52	33	25	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	21	1	0	1	0	0	0	0	1	0	3	0	1	0	0	1	0	0	0	0	6	0	1	17	0	0
A[Del(C):R5]T	65	116	126	77	206	142	129	1	0	0	0	0	0	1	0	0	0	45	0	0	0	1	0	0	0	88	0	0	1	0	0	0	1	0	0	32	2	0	1	0	0	0	1	1	0	45	1	1	33	1	0
A[Del(C):R6]A	110	211	240	154	391	270	209	0	1	0	0	0	0	1	0	0	0	116	2	0	0	0	0	0	0	174	0	0	1	0	1	0	0	0	1	66	0	0	0	0	1	0	0	0	1	59	1	1	72	0	0
A[Del(C):R6]G	23	51	41	50	86	45	42	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	42	1	0	0	0	0	0	0	0	0	19	0	1	0	0	0	0	0	0	0	15	0	0	11	0	0
A[Del(C):R6]T	66	87	126	73	212	129	120	0	0	0	0	0	0	0	0	0	1	36	1	0	0	0	0	0	0	108	0	0	1	2	0	3	0	0	0	28	0	0	0	0	0	0	0	0	0	30	0	1	30	0	0
A[Del(C):R7]A	127	197	360	141	440	225	238	0	0	0	1	0	0	0	0	0	2	71	0	0	0	0	1	0	2	163	1	0	0	0	0	0	0	0	0	79	1	0	0	0	0	0	0	0	0	66	0	0	54	0	0
A[Del(C):R7]G	32	55	58	44	92	32	56	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	3	0	0	18	0	0
