MutationType	SP123975	SP124044	SP123972	SP123850	SP123902	SP123884	SP123964	SP123995	SP123846	SP124003	SP123876	SP123878	SP123842	SP123900	SP123978	SP123897	SP124013	SP124021	SP123852	SP123998	SP123967	SP123988	SP123984	SP123858	SP123890	SP123950	SP123886	SP124033	SP123892	SP123840	SP123969	SP123953	SP123955	SP123882	SP123894	SP124017	SP123856	SP123854	SP123888	SP123870	SP123958	SP123844	SP123872	SP123874	SP123836	SP43633	SP36498	SP37516	SP39997	SP35617	SP37636	SP39907	SP40736	SP42154	SP39594	SP41453	SP34452	SP42829	SP37970	SP34186	SP37903	SP35849	SP36586	SP34431	SP37432	SP35989	SP39102	SP34493	SP36036	SP35951	SP39248	SP34246	SP35412	SP39298	SP38044	SP38271	SP43201	SP34191	SP40047	SP39349	SP37369	SP38759	SP36218	SP43510	SP43770	SP43651	SP106656	SP97249	SP106638	SP97161	SP43696	SP97113	SP97124	SP43808	SP43822	SP43514	SP97258	SP97194	SP109470	SP97278	SP109544	SP97104	SP106577	SP109457	SP109478	SP43688	SP97243	SP97269	SP113926	SP106560	SP43792	SP106602	SP97145	SP43664	SP43532	SP102816	SP102795	SP103197	SP102827	SP103233	SP103507	SP103100	SP103416	SP103005	SP102759	SP102741	SP102945	SP103826	SP103706	SP102897	SP102881	SP103715	SP102929	SP103619	SP103844	SP103128	SP103300	SP103057	SP103340	SP102913	SP102783	SP103080	SP103436	SP102804	SP102957	SP102873	SP103213	SP103467	SP103261	SP103156	SP103288	SP103444	SP103685	SP103140	SP103673	SP102839	SP103245	SP103037	SP103408	SP103021	SP103679	SP103065	SP102965	SP103221	SP103547	SP102973	SP103515	SP102747	SP103730	SP103535	SP102718	SP103483	SP103428	SP102755	SP103694	SP103595	SP103396	SP102716	SP102733	SP102989	SP103603	SP102921	SP103742	SP103555	SP103523	SP103575	SP103045	SP103455	SP103856
A[Del(T):R(1,4)]A	14	0	13	3	9	7	4	3	4	2	5	5	10	3	3	1	6	0	3	2	3	11	3	3	2	2	1	1	5	1	7	2	2	7	2	1	2	6	4	0	2	2	2	1	2	3	49	27	45	50	11	14	49	34	39	33	66	58	34	64	71	10	7	22	20	19	21	11	12	46	22	32	46	105	49	37	26	31	69	27	29	45	16	57	34	87	76	52	114	69	81	49	117	37	7	30	53	107	89	60	58	9	85	10	10	51	34	74	9	35	64	31	20	94	59	22	85	50	90	39	79	36	27	23	76	32	34	42	65	121	20	29	39	6	28	40	54	60	33	41	78	56	18	61	117	16	31	11	85	49	19	36	27	68	73	41	57	18	31	39	11	72	50	69	57	97	46	19	37	131	39	30	66	95	88	28	16	22	28	44	38	25	61	3	23	37	49	47	12
A[Del(T):R(1,4)]C	4	3	2	3	3	1	3	1	2	0	3	0	0	6	1	3	6	6	5	4	2	10	3	0	2	2	0	0	5	0	2	3	4	2	4	0	1	0	1	1	2	5	1	0	0	1	27	22	34	26	8	20	41	22	32	25	58	32	45	37	55	7	8	24	21	15	18	13	27	36	14	33	26	83	40	28	22	20	38	33	17	17	7	44	27	60	64	42	72	53	60	35	70	23	3	34	47	98	68	31	47	5	55	4	9	49	23	54	11	23	59	34	10	82	62	24	58	29	72	34	21	19	16	13	54	30	26	38	41	77	16	22	22	7	18	25	43	39	34	33	55	47	26	52	37	12	19	8	86	47	18	21	41	76	44	30	39	15	35	29	12	46	35	51	36	41	40	11	30	36	32	20	51	94	80	13	14	18	9	32	25	23	38	1	23	26	38	43	7
A[Del(T):R(1,4)]G	6	2	6	1	0	4	2	2	0	1	6	1	6	6	0	1	2	2	2	2	3	15	2	1	5	2	1	1	5	2	2	2	0	4	2	0	1	2	2	2	0	0	2	0	1	4	44	26	36	26	8	18	26	23	34	20	55	26	44	35	59	5	3	19	17	7	13	12	12	23	13	23	25	70	29	24	19	16	43	26	24	30	6	28	22	53	49	32	66	58	50	27	69	26	2	33	37	79	47	47	47	4	59	3	7	38	26	50	12	26	47	23	18	59	47	22	56	42	58	32	29	22	18	28	55	31	20	22	42	61	13	24	25	12	22	20	43	31	31	31	49	43	22	45	59	24	26	8	70	43	17	17	32	58	49	24	33	11	32	34	17	44	30	54	28	54	37	9	21	50	30	17	45	91	68	21	14	10	8	32	17	22	38	1	16	22	22	32	5
C[Del(T):R(1,4)]A	6	0	8	3	3	5	3	3	2	1	2	0	1	9	1	2	2	3	2	3	2	5	2	0	1	4	0	1	1	3	1	0	2	1	3	0	2	2	0	0	3	1	1	4	3	3	21	12	21	11	6	14	16	14	9	14	39	20	26	18	46	5	5	14	13	9	15	11	17	21	10	31	22	46	18	19	14	10	32	16	9	19	2	28	11	30	33	22	40	33	40	31	41	9	4	16	21	59	35	16	21	4	37	3	4	17	16	27	9	13	32	24	7	44	30	11	33	26	40	26	44	16	10	13	47	24	12	12	23	56	10	14	16	6	14	16	30	30	20	18	30	23	11	34	66	17	14	6	48	19	12	25	22	42	37	14	20	7	16	16	10	33	18	36	24	61	22	10	13	56	20	9	18	51	30	14	12	5	17	10	12	16	18	2	12	14	12	19	1
C[Del(T):R(1,4)]C	7	0	5	2	2	4	3	5	3	2	1	1	2	3	1	1	0	2	2	2	4	10	1	1	2	2	0	0	3	0	4	4	2	6	3	2	0	0	1	3	0	4	2	7	5	1	17	25	23	18	6	17	19	13	17	14	41	24	32	29	42	2	5	17	16	8	10	13	8	30	12	18	21	47	21	22	11	13	25	13	11	13	4	21	22	48	32	26	39	46	46	29	42	22	3	18	25	59	43	30	34	1	53	8	7	28	22	35	8	12	38	17	11	42	30	15	35	20	37	29	25	23	15	13	35	14	19	22	31	69	14	18	15	7	14	15	30	23	28	14	37	25	15	37	22	11	15	4	47	32	17	16	24	37	34	14	30	19	28	23	10	30	14	38	16	30	20	1	22	20	15	12	42	49	48	17	11	7	9	21	16	17	26	3	10	19	27	29	2
C[Del(T):R(1,4)]G	3	3	6	2	3	9	2	2	1	4	2	2	1	4	1	3	1	4	2	2	3	6	3	1	4	6	1	0	3	3	3	5	3	3	2	1	0	0	0	1	0	2	3	4	2	3	18	19	18	18	5	21	23	25	11	13	37	20	21	32	36	13	4	14	13	13	16	6	12	24	10	22	16	37	29	24	15	13	34	16	9	22	8	21	15	37	41	26	37	36	34	28	33	17	2	22	18	56	49	24	26	6	36	4	5	27	22	41	7	11	41	14	10	39	33	14	44	22	24	20	15	12	14	13	28	17	14	18	28	46	12	19	19	11	10	10	24	28	23	24	33	26	17	29	39	7	12	4	54	22	17	13	22	36	40	23	16	6	16	14	18	24	18	43	27	32	22	5	21	37	24	14	42	51	45	17	8	8	7	15	20	16	20	3	13	20	20	24	4
G[Del(T):R(1,4)]A	5	2	8	1	1	4	1	3	2	0	3	2	0	2	1	1	3	0	2	2	2	4	2	0	1	2	0	0	2	1	1	0	1	2	1	0	1	0	0	0	1	2	1	2	2	0	11	12	9	17	5	9	16	11	13	6	14	16	15	12	15	3	3	8	7	7	6	6	10	14	6	16	7	30	10	16	9	11	15	6	11	13	5	27	12	22	28	25	21	25	20	17	45	9	1	10	22	42	20	22	27	8	27	7	5	14	13	29	4	12	22	20	5	34	36	12	28	18	27	14	36	7	8	9	22	14	9	12	23	36	5	9	12	4	11	14	17	29	10	15	21	21	12	27	61	13	6	5	34	17	2	9	10	21	28	15	16	5	18	9	8	23	8	35	13	50	13	6	15	48	24	5	22	41	39	4	3	10	4	27	11	15	23	1	8	12	15	18	5
G[Del(T):R(1,4)]C	5	1	3	1	0	3	0	3	0	0	2	0	2	3	1	2	3	0	0	0	2	4	1	0	1	2	0	0	2	4	1	2	1	1	1	1	1	1	1	2	0	2	1	0	2	0	11	15	15	12	6	8	19	12	11	15	26	19	17	19	33	7	4	10	10	8	11	7	3	15	5	13	16	35	13	13	9	5	14	10	11	14	4	19	8	24	30	13	32	21	28	14	39	8	2	11	30	49	30	19	33	5	35	4	2	17	4	26	6	11	32	15	7	36	17	14	28	19	31	15	15	7	10	10	29	12	6	12	15	37	7	21	12	3	10	10	20	24	14	22	23	18	17	27	19	14	16	1	41	14	5	5	17	41	30	11	10	7	20	11	7	33	9	26	10	15	13	7	14	14	15	10	29	44	23	9	3	4	4	12	8	8	13	3	5	13	14	23	4
G[Del(T):R(1,4)]G	3	2	6	3	2	2	2	0	3	1	1	5	1	2	1	1	1	0	2	0	0	6	1	1	2	2	0	0	4	2	0	2	3	1	1	0	1	0	1	0	0	3	2	3	1	1	11	5	10	16	7	9	17	15	7	13	38	17	21	15	19	10	1	7	7	2	10	5	5	6	7	10	12	34	17	10	16	10	21	7	10	11	6	11	13	20	28	28	34	22	23	11	23	10	0	20	20	36	23	16	25	10	24	4	4	18	11	30	5	9	27	7	4	23	19	14	33	11	24	13	22	10	8	6	21	11	9	12	25	37	11	10	21	9	4	12	19	24	23	12	26	20	9	19	40	10	10	2	36	11	7	14	8	25	16	12	18	1	17	15	5	23	9	19	16	27	9	5	12	15	12	11	21	51	27	9	5	8	6	16	13	5	14	1	5	10	13	19	1
A[Del(T):R(5,7)]A	140	0	11	2	0	1	1	2	1	2	1	1	2	1	1	1	0	1	2	2	1	2	2	0	0	0	1	3	2	0	0	0	0	1	2	0	1	3	0	3	0	2	1	2	0	0	8	6	14	7	2	3	13	16	12	7	19	13	12	20	26	3	8	5	12	2	8	3	2	10	6	8	9	22	16	13	11	7	15	7	5	12	4	18	13	25	25	13	29	15	19	13	20	8	4	16	15	31	22	11	13	6	26	4	0	22	6	21	4	12	25	11	7	36	18	7	20	18	31	8	7	8	5	5	20	13	11	3	16	528	10	4	11	2	1	9	13	9	15	13	19	20	6	16	14	9	15	3	25	12	1	6	14	24	16	8	19	1	10	10	7	19	9	26	14	8	14	3	5	21	14	3	16	21	22	8	9	5	7	11	13	8	15	1	2	8	6	16	3
A[Del(T):R(5,7)]C	58	1	3	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	5	2	0	0	0	0	0	1	0	3	2	1	1	1	0	0	0	0	1	0	0	0	0	0	1	5	6	8	5	3	6	7	5	8	5	10	11	7	15	8	2	1	3	7	7	3	2	1	12	4	6	9	18	6	4	2	4	10	3	1	5	3	5	7	20	10	12	11	12	15	11	16	7	2	9	8	17	16	6	14	6	13	2	2	8	14	11	1	3	12	4	2	13	11	7	21	7	20	11	4	7	4	8	13	5	4	2	8	266	6	8	3	4	4	10	14	13	7	10	7	12	3	4	5	3	6	3	15	13	2	2	3	18	9	7	3	2	6	8	4	8	11	15	8	8	4	2	6	8	11	5	13	18	22	3	0	1	5	12	8	6	12	0	4	10	3	12	0
A[Del(T):R(5,7)]G	83	0	4	2	1	2	4	0	1	0	4	0	0	1	1	0	2	0	2	0	1	4	3	0	0	1	2	2	2	0	0	2	0	1	3	0	1	1	0	0	0	2	1	0	0	1	7	4	6	8	1	3	12	5	12	7	15	5	11	16	7	1	5	6	3	10	3	2	5	4	3	6	6	18	11	10	6	4	9	1	5	7	3	10	8	12	17	8	17	19	18	8	22	12	2	7	13	30	17	17	18	2	15	1	3	12	12	13	1	8	13	8	3	18	17	8	16	6	10	7	9	9	6	6	13	6	3	9	9	404	11	9	12	1	3	7	14	9	13	5	15	12	4	5	6	3	6	1	13	12	7	8	11	11	9	2	7	0	11	6	4	8	6	14	10	20	9	1	6	7	15	5	13	21	19	7	3	2	3	9	12	5	13	3	5	6	9	11	2
C[Del(T):R(5,7)]A	42	0	0	0	0	3	1	0	0	0	1	2	0	0	0	2	1	1	2	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	3	0	0	2	6	6	2	0	0	10	5	6	5	8	4	3	3	9	1	2	4	2	1	2	2	2	8	1	6	3	7	4	8	4	1	6	4	5	5	1	5	4	9	12	8	19	13	4	3	10	5	1	3	12	12	10	5	5	2	8	2	1	2	2	6	2	3	13	4	1	12	5	6	6	12	7	1	0	2	5	7	5	4	3	3	6	290	3	6	2	1	0	5	6	5	7	1	5	10	2	2	8	2	5	0	6	4	2	4	2	6	3	4	6	2	3	3	4	7	3	8	6	6	7	0	4	4	6	5	4	12	10	0	1	2	3	7	6	5	5	1	3	5	4	9	1
C[Del(T):R(5,7)]C	52	0	2	2	1	0	0	0	0	2	2	2	1	0	0	1	0	2	1	2	0	1	1	1	0	0	0	0	1	0	0	1	0	1	2	1	0	0	1	0	0	0	3	0	2	2	5	3	6	5	1	3	3	6	5	4	10	6	11	1	6	2	3	1	3	2	0	0	5	4	3	5	2	13	5	6	5	1	4	3	4	2	0	2	5	11	13	5	9	10	11	1	11	4	1	3	6	8	10	5	8	4	8	1	4	3	6	10	1	5	10	5	0	12	12	6	11	5	7	5	4	5	5	4	7	4	3	2	10	278	2	4	3	1	1	6	3	4	5	6	6	6	3	3	3	4	2	1	12	9	0	2	8	10	5	5	2	2	5	5	2	12	1	14	3	5	3	2	1	5	8	1	2	16	6	4	1	3	3	4	0	1	7	1	3	3	9	6	0
C[Del(T):R(5,7)]G	34	0	4	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	3	3	4	1	1	3	7	1	10	3	10	5	5	8	3	2	2	4	4	1	0	0	1	7	6	2	0	13	4	5	4	2	3	1	4	1	0	12	2	13	7	8	6	7	12	10	8	7	0	6	4	14	7	4	8	3	7	4	0	5	3	8	1	1	11	5	0	10	6	4	6	6	6	6	3	3	2	2	6	3	5	3	5	273	1	3	5	0	0	6	4	6	6	7	7	4	1	2	6	1	3	1	10	8	1	4	3	6	3	3	6	1	3	5	2	6	3	3	6	7	7	0	4	3	3	4	2	11	9	2	3	3	0	5	4	5	2	0	1	1	2	6	0
G[Del(T):R(5,7)]A	36	0	0	0	0	0	1	0	1	0	1	0	0	2	1	0	0	0	1	0	1	3	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	2	0	0	0	0	0	1	0	1	7	3	2	0	3	1	9	2	4	3	2	2	4	5	9	3	5	5	3	4	5	1	1	3	1	5	7	4	5	7	3	0	5	3	2	5	1	5	4	10	4	5	7	8	9	5	7	1	1	4	2	7	8	4	5	0	7	0	0	5	4	9	2	1	9	2	3	8	5	2	7	3	6	4	1	3	2	0	12	2	0	1	5	188	3	2	1	1	0	4	7	5	6	3	5	10	1	10	2	5	1	1	7	5	2	0	2	3	8	2	10	0	10	1	2	6	3	4	6	2	2	1	6	4	3	1	3	8	13	4	0	1	2	5	8	2	9	0	2	3	3	6	0
G[Del(T):R(5,7)]C	30	0	0	0	0	0	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	0	1	0	1	1	0	0	2	4	3	4	1	0	4	3	1	2	1	5	4	2	3	6	2	0	2	5	0	2	3	3	3	0	3	1	7	1	3	1	2	6	2	3	1	3	1	2	2	5	1	8	5	7	5	5	2	3	3	6	6	12	3	4	0	12	2	1	2	4	4	2	3	6	4	2	17	5	1	5	3	5	0	4	3	1	1	6	4	3	2	5	155	1	2	1	1	0	2	4	4	2	4	2	8	0	1	1	3	4	0	9	3	1	3	2	3	9	2	2	4	4	6	3	4	4	4	2	5	1	0	4	4	2	1	6	8	7	0	1	3	0	3	4	1	5	0	2	2	1	4	2
G[Del(T):R(5,7)]G	32	0	1	0	1	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	3	1	0	0	0	4	1	0	0	0	0	0	2	1	1	1	0	1	4	2	6	4	2	4	3	3	3	0	7	3	8	6	7	1	3	4	2	2	4	0	2	4	1	6	6	11	4	3	2	2	6	1	0	1	1	8	2	5	5	8	14	4	10	5	10	4	0	3	3	6	5	5	10	3	6	0	0	6	4	7	1	3	4	2	2	5	1	4	7	4	8	5	4	4	3	3	7	4	1	2	6	135	2	3	5	1	4	2	6	8	4	2	5	11	4	1	0	1	5	1	9	4	3	2	1	3	8	4	4	1	3	3	1	5	2	4	6	1	6	1	2	8	1	3	5	12	6	0	1	0	1	6	1	1	5	1	1	1	2	2	2
A[Del(T):R(8,)]A	242	0	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	3	0	3	1	1	3	0	1	2	0	6	0	0	1	0	0	0	3	0	0	0	1	1	1	1	0	3	1	0	2	2	0	0	3	2	1	0	1	1	2	3	0	0	0	0	2	2	1	1	0	4	2	0	1	0	0	0	1	2	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	0	0	1	806	0	0	0	0	0	1	1	0	0	0	2	1	1	1	0	1	0	0	1	0	0	2	0	0	0	2	0	0	2	1	0	4	0	1	1	0	1	1	0	1	1	0	2	0	0	1	0	1	0	2	2	0	0	0	0	0	0	1	0
A[Del(T):R(8,)]C	149	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	3	0	0	2	0	0	2	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	3	2	1	0	2	0	5	0	0	0	1	0	2	1	0	0	1	1	0	3	0	0	6	0	1	1	0	1	2	1	6	5	2	1	3	4	0	1	0	0	0	2	2	0	3	0	3	2	0	1	0	0	0	2	1	3	1	2	1	1	2	1	0	0	1	1	1	1	1	0	0	1	1	486	0	0	0	0	0	2	1	1	0	2	0	0	1	2	2	2	0	1	3	2	0	0	1	1	3	0	2	0	0	0	1	3	0	3	2	2	1	1	0	4	5	0	4	5	2	0	0	0	0	1	1	1	4	0	0	1	0	0	0
