MutationType	SP101845	SP101682	SP61553	SP101724	SP102103	SP102174	SP101622	SP102161	SP101654	SP102074	SP101694	SP101616	SP101666	SP101558	SP102096	SP102084	SP101580	SP102064	SP101564	SP101921	SP101648	SP101628	SP101708	SP102055	SP101634	SP101588	SP101584	SP101686	SP101532	SP101732	SP101528	SP101536	SP101576	SP102015	SP102168	SP101716	SP101592	SP101658	SP102045	SP101552	SP101519	SP101690	SP102123	SP101662	SP101600	SP101544	SP102133	SP101881	SP102035	SP101642	SP101596	SP101670	SP101674	SP101572	SP101678	SP101740	SP101700	SP101891	SP102143	SP102113	SP101521	SP101526	SP101540	SP101604	SP101548	SP101523	SP102090	SP101795	SP102187	SP101515	SP101931	SP101610	SP61703	SP59707	SP68659	SP62616	SP59761	SP66960	SP61453	SP63796	SP69155	SP59950	SP59938	SP64976	SP64296	SP65807	SP59803	SP66159	SP63356	SP68348	SP62450	SP67428	SP61713	SP68725	SP67609	SP62110	SP64546	SP63546	SP60322	SP60243	SP63966	SP60362	SP69077	SP67346	SP66687	SP63716	SP65376	SP61343	SP60001	SP59860	SP60610	SP64036	SP60842	CPCT02020307T	CPCT02020333T	CPCT02080024T	CPCT02030259TII	CPCT02040038T	CPCT02030250T	CPCT02050058T	CPCT02020393T	CPCT02030280T	CPCT02030278T	CPCT02100030T	CPCT02060056T	CPCT02030296T	CPCT02060046T	CPCT02130056T	CPCT02180051T	CPCT02070434T	DRUP01210006T	CPCT02020659T	CPCT02080191T	CPCT02330084T	CPCT02360009T	CPCT02060196T	CPCT02290028T	CPCT02030455T	CPCT02080198T	CPCT02010679T	CPCT02100152T	CPCT02070465T	CPCT02040224T	DRUP01060007T	CPCT02040223T	CPCT02270023T	CPCT02220079T	CPCT02230082T	CPCT02090043T	CPCT02130051T	CPCT02030259TIII	DRUP01020026T	CPCT02210046T	CPCT02120120T	WIDE01010205T	CPCT02340080T	WIDE01010216T	CPCT02130087T	WIDE01010264T	CPCT02130085T	WIDE01010292T	WIDE01010277T	CPCT02120118T	WIDE01010301T	CPCT02220045T	CPCT02130093T	CPCT02030482T	CPCT02030477T	CPCT02370026T	WIDE01010385T	WIDE01010397T	WIDE01010414T	WIDE01010420T	CPCT02270031T	CPCT02120132T	DRUP01010084T	CPCT02020741T	CPCT02020740T	CPCT02030492T	CPCT02070349T	CPCT02070348T	CPCT02060226T	CPCT02230111T	CPCT02080236T	CPCT02030498T	DRUP01050029T	CPCT02030505T	CPCT02120149T	CPCT02070358T	CPCT02060168T	CPCT02030509T	CPCT02210066T	CPCT02030495T	CPCT02060251T	CPCT02380049T	CPCT02300049T	CPCT02140079T	CPCT02110074T	CPCT02210065T	CPCT02120153T	CPCT02110078T	CPCT02030517T	CPCT02020466T	CPCT02070397T	CPCT02050203T	CPCT02020572T	CPCT02060142T	CPCT02230050T	CPCT02070222T	CPCT02010646T	CPCT02070418T	CPCT02080160T	CPCT02100112T	CPCT02100119T	CPCT02340032T	CPCT02020513T	CPCT02180025T	CPCT02120022T	CPCT02020516T	CPCT02060089T	CPCT02090018T	CPCT02060094T	CPCT02120028T	CPCT02090019T	CPCT02060105T	CPCT02020544T	CPCT02060110T	CPCT02030355T	CPCT02040127T	CPCT02070190T	CPCT02090020T	DRUP01020004T	CPCT02060120T	CPCT02070210T	CPCT02040144T	CPCT02040143T	CPCT02020593T	CPCT02180005T	CPCT02030299T	CPCT02020420T	CPCT02030303T	CPCT02070058T	CPCT02040050T	CPCT02020434T	CPCT02220006T	DRUP01140003T	CPCT02020459T	CPCT02330021T	CPCT02110016T	CPCT02330023T	CPCT02040095T	CPCT02160017T	CPCT02080093T	CPCT02060088T	CPCT02290021T	CPCT02340042T	CPCT02040192T	CPCT02300026T	CPCT02450007T	CPCT02170020T	CPCT02030440T	CPCT02190003T	WIDE01010536T	WIDE01010554T
1:Del:C:0	52	17	4	62	21	39	46	25	43	14	44	61	21	24	22	28	21	29	19	34	21	16	21	12	27	29	36	12	37	57	40	9	36	60	19	45	36	5	82	110	18	33	19	31	8	30	50	40	29	76	19	68	23	9	42	66	27	59	30	29	18	33	16	19	30	27	30	33	40	14	58	27	35	6	14	74	24	11	20	21	8	93	28	25	43	51	42	46	22	56	9	33	19	17	53	44	20	39	24	20	22	15	63	67	29	16	52	25	44	40	15	30	39	32	60	34	42	37	46	39	31	85	56	72	28	39	8	27	19	80	41	11	75	20	43	17	22	30	8	4	109	60	45	6	28	36	36	30	4	31	33	48	28	21	62	11	12	56	23	41	3	11	4	22	132	16	26	12	15	74	8	46	265	14	10	47	49	37	69	36	53	37	30	44	40	21	30	25	38	9	37	31	9	5	15	9	8	24	81	41	50	26	43	16	53	61	36	107	8	20	21	40	16	61	22	6	102	28	49	18	34	8	27	55	36	34	6	21	46	22	6	6	72	46	118	24	36	36	49	13	40	32	27	49	93	10	35	7	11	14	44	106	14	5	35	32	39	81	52	54	56	78	6	12
1:Del:C:1	22	12	5	23	13	21	22	8	16	16	20	30	26	17	12	12	17	19	8	18	13	11	7	5	17	12	21	14	12	24	19	5	18	28	2	14	9	2	41	33	9	18	7	25	10	17	16	21	12	31	13	23	7	5	32	31	9	25	18	14	8	22	5	18	19	15	19	16	22	21	24	10	8	4	5	33	9	10	8	11	5	56	12	23	24	28	28	35	14	23	5	16	20	11	24	14	13	24	14	10	16	9	18	26	13	12	23	20	36	18	9	11	22	15	28	20	18	20	21	29	17	37	25	39	14	31	5	11	10	34	23	5	34	7	20	8	13	17	10	3	36	35	19	4	18	18	28	16	8	21	16	19	11	5	27	9	24	20	9	15	2	5	2	3	59	8	15	8	7	27	8	28	101	10	5	26	18	22	48	20	24	21	13	10	32	15	20	17	16	11	10	22	9	1	11	7	6	12	38	21	26	12	20	9	26	27	11	73	13	14	19	36	8	28	13	3	38	12	16	6	15	5	10	41	16	26	4	11	24	12	0	3	21	20	37	9	15	18	31	3	25	22	13	29	48	5	15	7	6	15	15	42	4	5	15	17	15	36	18	26	25	29	0	8
1:Del:C:2	15	5	1	15	5	16	11	5	6	7	9	7	7	5	4	5	6	3	4	2	4	1	8	2	10	4	9	5	8	16	4	6	11	15	6	14	6	2	18	12	6	6	1	11	2	5	13	14	9	16	7	26	4	2	12	17	4	13	10	3	5	10	3	7	10	5	5	9	9	3	6	6	4	2	3	9	6	7	6	6	3	17	4	4	5	12	7	25	1	14	6	9	6	6	20	7	6	9	3	7	9	4	11	12	8	6	18	2	7	6	0	4	13	5	15	11	16	8	9	10	6	17	16	8	9	7	3	10	4	20	14	2	9	3	16	1	3	9	1	4	14	17	12	4	10	7	10	10	3	4	15	14	9	3	8	1	10	13	3	7	2	4	1	8	19	4	12	5	2	14	5	12	48	1	1	11	12	15	15	14	15	12	6	12	17	8	17	3	5	3	11	14	2	6	4	4	5	8	12	8	13	4	11	5	10	6	10	25	5	2	2	12	10	7	9	4	28	9	13	3	10	3	6	26	8	8	2	7	10	4	1	1	15	13	27	8	9	7	13	1	10	8	10	6	20	3	7	4	4	5	12	22	2	2	7	12	10	11	11	10	13	13	0	6
1:Del:C:3	7	2	2	6	3	2	7	2	4	4	6	3	6	5	4	3	3	0	1	6	6	3	3	1	3	3	8	2	6	15	2	0	3	6	2	4	1	3	8	6	1	4	5	3	0	2	11	12	6	6	1	5	0	3	8	8	4	6	9	3	0	4	2	3	4	3	7	3	5	2	4	3	1	4	6	10	2	1	2	1	2	7	4	0	9	3	4	12	2	10	1	9	2	3	8	5	2	5	7	3	6	2	11	9	1	2	7	1	5	3	1	4	6	2	12	4	3	3	5	5	4	7	11	8	3	7	1	7	3	11	7	5	7	4	8	2	2	8	1	1	12	10	4	2	5	6	11	4	2	6	3	10	3	2	8	2	11	9	1	10	0	4	3	5	12	7	5	0	2	5	7	6	26	0	7	9	6	6	6	13	4	0	3	2	8	2	4	4	4	3	5	6	3	0	5	2	1	1	10	4	8	4	11	3	9	7	3	16	3	2	2	8	3	6	10	1	9	11	4	3	3	3	6	8	5	4	1	4	7	5	0	2	8	11	10	2	1	4	12	2	4	1	2	4	13	4	5	3	0	1	3	8	0	2	2	5	3	8	7	6	10	12	1	1
1:Del:C:4	8	2	1	5	3	6	3	5	2	0	7	5	1	4	2	4	5	3	2	0	4	1	2	0	0	3	1	0	3	2	10	2	8	3	1	2	2	0	10	10	0	3	3	3	1	2	28	3	2	10	3	0	2	2	7	10	2	3	2	1	3	2	3	3	3	1	1	4	4	1	5	1	0	0	5	7	0	3	3	0	1	12	2	4	1	7	4	4	1	7	0	4	1	4	4	3	2	5	3	1	3	0	6	3	2	3	4	3	5	6	2	8	3	1	7	7	4	5	3	5	2	5	9	8	1	2	0	2	4	10	5	1	6	2	6	1	1	5	0	2	6	8	6	1	4	7	5	4	1	9	2	5	2	1	5	2	4	3	1	4	0	2	0	2	13	1	4	1	0	8	2	3	19	1	3	8	1	3	8	4	6	4	1	5	9	4	6	7	6	0	3	2	3	2	3	1	1	0	12	6	6	0	3	1	10	9	1	11	1	1	2	5	0	9	2	2	8	1	2	3	4	2	4	8	1	6	2	0	0	3	0	2	8	7	11	5	6	4	5	2	8	5	2	3	12	1	4	2	2	1	3	8	1	2	2	0	1	2	1	5	5	7	0	1
1:Del:C:5	3	2	1	5	1	3	3	0	6	1	4	6	4	0	4	8	2	3	0	0	2	2	2	1	1	4	1	1	0	1	1	0	0	2	0	5	2	1	6	3	4	4	2	1	1	2	129	3	5	2	2	4	1	0	4	0	1	4	1	3	2	2	1	5	1	1	2	3	4	1	4	1	4	1	1	5	0	2	2	3	0	5	3	3	2	3	4	1	3	2	1	1	2	1	4	1	5	4	2	1	3	1	3	1	5	2	4	2	2	1	3	0	4	2	5	5	4	4	3	8	7	6	3	5	3	4	1	5	2	5	3	1	10	3	8	0	5	6	0	1	10	9	4	1	6	7	7	3	2	3	2	6	6	0	3	3	6	6	0	4	3	4	3	5	9	1	5	2	0	5	4	4	16	1	3	6	2	10	7	10	5	9	1	5	3	4	4	1	5	0	1	3	0	0	1	1	0	4	9	2	4	5	6	1	4	3	3	7	1	5	3	5	4	7	4	0	3	1	8	8	3	4	7	4	2	2	0	2	4	3	1	4	15	11	7	2	7	12	5	0	2	3	2	5	10	5	5	1	0	2	6	7	0	4	3	9	0	6	5	6	4	8	0	1
1:Del:T:0	19	15	11	13	9	12	30	13	16	9	18	23	19	14	15	8	12	15	7	18	19	20	18	11	17	11	20	12	21	23	17	12	22	24	13	25	15	5	46	32	15	26	11	13	7	16	37	20	21	37	27	43	14	5	29	38	22	34	18	23	16	20	14	23	19	16	19	15	26	17	23	13	20	11	13	30	17	13	16	9	8	43	17	12	21	21	20	28	14	23	8	27	12	8	41	19	14	24	13	11	9	6	32	41	16	8	33	5	26	27	8	21	19	20	33	20	18	20	23	27	20	35	25	27	19	20	10	17	12	42	34	10	28	11	25	9	16	20	6	13	31	43	39	6	23	17	20	24	7	22	18	30	13	11	32	11	17	23	13	15	5	4	7	15	68	6	25	9	18	30	11	34	99	12	13	19	24	22	42	21	24	26	16	28	17	13	10	18	12	12	20	26	15	4	11	15	6	4	30	25	29	8	27	16	36	28	27	50	15	10	13	44	15	29	13	8	38	14	21	15	22	9	12	33	20	28	5	7	28	14	3	5	28	23	41	13	24	14	25	8	24	26	15	18	16	12	20	9	10	3	21	48	5	7	12	9	17	35	26	31	31	36	6	4
1:Del:T:1	24	10	4	14	21	14	17	7	11	4	7	7	13	5	7	11	11	11	4	10	5	7	8	7	8	10	7	7	12	14	6	7	8	22	7	8	10	4	20	23	10	10	4	14	5	11	16	11	9	25	7	11	6	3	14	21	5	21	6	7	11	8	7	11	8	11	6	11	8	7	14	10	9	2	7	19	6	11	5	1	4	25	11	9	11	6	16	10	10	17	10	9	9	6	7	10	13	13	4	2	11	7	9	40	2	3	18	9	15	7	6	10	6	8	14	7	16	14	15	14	12	24	7	19	15	15	6	15	9	28	15	10	21	7	14	8	8	9	3	3	28	25	10	4	12	6	9	9	7	9	14	17	9	4	12	4	5	24	4	15	1	6	0	11	35	5	9	1	3	19	3	17	49	1	11	16	11	14	23	23	12	18	8	13	19	8	10	8	9	4	7	14	5	3	7	8	10	7	19	12	24	5	17	9	15	20	8	18	4	9	6	21	8	13	8	3	27	10	14	3	13	12	6	22	12	16	5	8	10	4	1	3	19	26	24	5	7	9	10	9	16	10	11	10	20	9	16	9	3	8	11	21	2	3	7	10	9	13	6	16	23	17	1	2
1:Del:T:2	21	7	2	19	9	20	23	13	16	3	20	18	8	11	7	9	9	10	9	7	8	9	10	3	10	12	12	8	11	27	15	7	17	22	8	21	10	5	35	23	4	13	15	9	0	13	48	12	12	30	11	30	15	4	18	30	12	26	16	14	6	17	5	7	9	12	11	10	14	10	27	7	15	5	6	32	5	12	6	8	5	40	13	18	10	11	13	23	12	17	6	11	13	8	21	12	12	18	7	7	10	5	17	29	5	7	22	7	22	14	5	7	16	10	26	10	16	11	14	18	16	26	34	18	11	14	4	10	10	22	19	5	26	13	21	2	6	12	3	1	34	36	9	5	6	12	13	11	5	15	14	28	7	4	22	15	12	18	10	11	2	7	4	12	53	4	19	3	7	20	7	19	81	1	9	18	13	16	30	26	11	16	8	12	11	11	14	8	8	4	13	17	5	4	4	6	6	9	22	11	28	11	18	7	17	17	10	26	6	13	7	22	5	17	8	3	28	11	19	5	13	5	4	23	16	21	3	7	15	14	6	5	26	21	37	11	14	10	26	7	13	13	12	19	16	6	10	11	3	6	20	23	1	5	9	12	12	19	7	21	19	25	2	2
1:Del:T:3	23	10	4	18	14	14	21	16	24	4	17	17	14	4	8	10	10	15	10	8	13	14	13	4	8	10	10	10	12	22	14	5	15	32	6	20	10	1	41	47	4	23	10	12	3	17	92	12	19	39	15	20	8	6	32	44	9	28	25	14	13	17	4	11	14	14	13	17	37	10	20	8	14	2	7	31	8	5	7	6	7	50	13	16	19	21	13	27	7	27	3	19	10	7	28	20	13	21	5	6	15	6	31	21	13	8	23	12	23	12	11	10	12	14	28	12	21	13	15	25	11	41	21	22	12	16	3	12	5	26	23	5	36	5	26	4	5	15	2	1	38	40	16	3	8	11	10	13	2	11	23	17	9	10	20	6	5	13	10	6	2	6	1	9	67	4	18	4	5	18	1	16	116	3	6	21	17	17	35	19	8	18	5	13	17	8	21	9	9	5	11	21	4	6	2	8	1	14	38	7	32	12	14	4	41	15	13	44	6	5	7	30	8	25	4	9	42	12	14	1	14	5	15	18	17	24	2	3	31	13	2	4	36	39	50	16	12	12	14	9	16	10	15	14	11	6	9	4	5	8	9	33	3	4	7	20	20	12	29	27	15	28	1	8
