MutationType	SP101845	SP101682	SP61553	SP101724	SP102103	SP102174	SP101622	SP102161	SP101654	SP102074	SP101694	SP101616	SP101666	SP101558	SP102096	SP102084	SP101580	SP102064	SP101564	SP101921	SP101648	SP101628	SP101708	SP102055	SP101634	SP101588	SP101584	SP101686	SP101532	SP101732	SP101528	SP101536	SP101576	SP102015	SP102168	SP101716	SP101592	SP101658	SP102045	SP101552	SP101519	SP101690	SP102123	SP101662	SP101600	SP101544	SP102133	SP101881	SP102035	SP101642	SP101596	SP101670	SP101674	SP101572	SP101678	SP101740	SP101700	SP101891	SP102143	SP102113	SP101521	SP101526	SP101540	SP101604	SP101548	SP101523	SP102090	SP101795	SP102187	SP101515	SP101931	SP101610	SP61703	SP59707	SP68659	SP62616	SP59761	SP66960	SP61453	SP63796	SP69155	SP59950	SP59938	SP64976	SP64296	SP65807	SP59803	SP66159	SP63356	SP68348	SP62450	SP67428	SP61713	SP68725	SP67609	SP62110	SP64546	SP63546	SP60322	SP60243	SP63966	SP60362	SP69077	SP67346	SP66687	SP63716	SP65376	SP61343	SP60001	SP59860	SP60610	SP64036	SP60842
1:Del:C:0	52	17	4	62	21	39	46	25	43	14	44	61	21	24	22	28	21	29	19	34	21	16	21	12	27	29	36	12	37	57	40	9	36	60	19	45	36	5	82	110	18	33	19	31	8	30	50	40	29	76	19	68	23	9	42	66	27	59	30	29	18	33	16	19	30	27	30	33	40	14	58	27	35	6	14	74	24	11	20	21	8	93	28	25	43	51	42	46	22	56	9	33	19	17	53	44	20	39	24	20	22	15	63	67	29	16	52	25	44	40	15	30	39
1:Del:C:1	22	12	5	23	13	21	22	8	16	16	20	30	26	17	12	12	17	19	8	18	13	11	7	5	17	12	21	14	12	24	19	5	18	28	2	14	9	2	41	33	9	18	7	25	10	17	16	21	12	31	13	23	7	5	32	31	9	25	18	14	8	22	5	18	19	15	19	16	22	21	24	10	8	4	5	33	9	10	8	11	5	56	12	23	24	28	28	35	14	23	5	16	20	11	24	14	13	24	14	10	16	9	18	26	13	12	23	20	36	18	9	11	22
1:Del:C:2	15	5	1	15	5	16	11	5	6	7	9	7	7	5	4	5	6	3	4	2	4	1	8	2	10	4	9	5	8	16	4	6	11	15	6	14	6	2	18	12	6	6	1	11	2	5	13	14	9	16	7	26	4	2	12	17	4	13	10	3	5	10	3	7	10	5	5	9	9	3	6	6	4	2	3	9	6	7	6	6	3	17	4	4	5	12	7	25	1	14	6	9	6	6	20	7	6	9	3	7	9	4	11	12	8	6	18	2	7	6	0	4	13
1:Del:C:3	7	2	2	6	3	2	7	2	4	4	6	3	6	5	4	3	3	0	1	6	6	3	3	1	3	3	8	2	6	15	2	0	3	6	2	4	1	3	8	6	1	4	5	3	0	2	11	12	6	6	1	5	0	3	8	8	4	6	9	3	0	4	2	3	4	3	7	3	5	2	4	3	1	4	6	10	2	1	2	1	2	7	4	0	9	3	4	12	2	10	1	9	2	3	8	5	2	5	7	3	6	2	11	9	1	2	7	1	5	3	1	4	6
1:Del:C:4	8	2	1	5	3	6	3	5	2	0	7	5	1	4	2	4	5	3	2	0	4	1	2	0	0	3	1	0	3	2	10	2	8	3	1	2	2	0	10	10	0	3	3	3	1	2	28	3	2	10	3	0	2	2	7	10	2	3	2	1	3	2	3	3	3	1	1	4	4	1	5	1	0	0	5	7	0	3	3	0	1	12	2	4	1	7	4	4	1	7	0	4	1	4	4	3	2	5	3	1	3	0	6	3	2	3	4	3	5	6	2	8	3
1:Del:C:5	3	2	1	5	1	3	3	0	6	1	4	6	4	0	4	8	2	3	0	0	2	2	2	1	1	4	1	1	0	1	1	0	0	2	0	5	2	1	6	3	4	4	2	1	1	2	129	3	5	2	2	4	1	0	4	0	1	4	1	3	2	2	1	5	1	1	2	3	4	1	4	1	4	1	1	5	0	2	2	3	0	5	3	3	2	3	4	1	3	2	1	1	2	1	4	1	5	4	2	1	3	1	3	1	5	2	4	2	2	1	3	0	4
1:Del:T:0	19	15	11	13	9	12	30	13	16	9	18	23	19	14	15	8	12	15	7	18	19	20	18	11	17	11	20	12	21	23	17	12	22	24	13	25	15	5	46	32	15	26	11	13	7	16	37	20	21	37	27	43	14	5	29	38	22	34	18	23	16	20	14	23	19	16	19	15	26	17	23	13	20	11	13	30	17	13	16	9	8	43	17	12	21	21	20	28	14	23	8	27	12	8	41	19	14	24	13	11	9	6	32	41	16	8	33	5	26	27	8	21	19
1:Del:T:1	24	10	4	14	21	14	17	7	11	4	7	7	13	5	7	11	11	11	4	10	5	7	8	7	8	10	7	7	12	14	6	7	8	22	7	8	10	4	20	23	10	10	4	14	5	11	16	11	9	25	7	11	6	3	14	21	5	21	6	7	11	8	7	11	8	11	6	11	8	7	14	10	9	2	7	19	6	11	5	1	4	25	11	9	11	6	16	10	10	17	10	9	9	6	7	10	13	13	4	2	11	7	9	40	2	3	18	9	15	7	6	10	6
1:Del:T:2	21	7	2	19	9	20	23	13	16	3	20	18	8	11	7	9	9	10	9	7	8	9	10	3	10	12	12	8	11	27	15	7	17	22	8	21	10	5	35	23	4	13	15	9	0	13	48	12	12	30	11	30	15	4	18	30	12	26	16	14	6	17	5	7	9	12	11	10	14	10	27	7	15	5	6	32	5	12	6	8	5	40	13	18	10	11	13	23	12	17	6	11	13	8	21	12	12	18	7	7	10	5	17	29	5	7	22	7	22	14	5	7	16
1:Del:T:3	23	10	4	18	14	14	21	16	24	4	17	17	14	4	8	10	10	15	10	8	13	14	13	4	8	10	10	10	12	22	14	5	15	32	6	20	10	1	41	47	4	23	10	12	3	17	92	12	19	39	15	20	8	6	32	44	9	28	25	14	13	17	4	11	14	14	13	17	37	10	20	8	14	2	7	31	8	5	7	6	7	50	13	16	19	21	13	27	7	27	3	19	10	7	28	20	13	21	5	6	15	6	31	21	13	8	23	12	23	12	11	10	12
