MutationType	SP111062	SP111006	SP110846	SP111086	SP111096	SP111021	SP111058	SP111092	SP111076	SP111098	SP111039	SP111052	SP111166	SP111014	SP111066	SP111094	SP111015	SP110853	SP111051	SP110855	SP111004	SP111078	SP110863	SP111013	SP111042	SP111040	SP111031	SP23496	SP111030	SP111019	SP111026	SP110860	SP110851	SP111059	SP111170	SP111054	SP111033	SP111113	SP110865	SP111061	SP111101	SP110859	SP111168	SP111067	SP111036	SP111116	SP111099	SP23502	SP111069	SP111043	SP111024	SP111011	SP111082	SP111074	SP110845	SP110857	SP111017	SP111080	SP23506	SP111075	SP111112	SP111001	SP111027	SP111117	SP110842	SP111173	SP111008	SP111070	SP110847	SP111077	SP111091	SP111072	SP111084	SP23504	SP23500	SP111029	SP111175	SP111049	SP23498	SP111002	SP110866	SP111035	SP111009	SP111114	SP111000	SP111045	SP110861	SP111047	SP111088	SP111056	SP111089	SP111038	SP110849	SP111164	SP111057	SP111119	SP111095	SP111064
1:Del:C:0	25	67	29	39	13	1	41	92	26	35	14	4	37	13	57	52	27	53	40	31	29	12	20	16	10	28	41	29	20	22	28	33	32	37	52	38	30	65	125	26	23	31	34	23	23	32	35	70	24	33	27	36	39	35	16	22	25	16	21	24	31	49	11	34	42	52	46	33	34	62	30	21	41	18	4	13	84	34	42	10	19	18	20	59	24	24	39	45	28	52	33	46	29	41	23	69	34	43
1:Del:C:1	15	36	15	27	10	0	17	29	15	17	13	4	20	6	19	20	9	29	16	18	20	7	14	12	1	8	29	10	8	14	16	21	18	29	24	25	15	27	81	14	8	23	17	12	15	14	18	36	20	16	12	22	14	11	10	15	11	6	18	21	12	24	14	19	20	18	16	20	16	30	14	15	37	16	4	9	25	23	23	7	19	17	9	26	12	15	14	22	19	21	17	27	9	16	11	29	21	22
1:Del:C:2	10	14	7	10	7	0	7	14	13	7	10	3	13	0	7	19	6	16	7	17	8	6	6	9	1	8	9	6	8	3	8	7	12	15	13	10	7	14	19	8	5	8	4	7	8	11	7	21	19	4	2	11	7	6	1	6	6	3	3	6	11	12	5	8	11	4	3	8	9	19	3	5	10	5	2	4	15	10	10	3	9	6	8	11	10	14	8	14	6	16	7	17	5	9	2	10	4	12
1:Del:C:3	8	13	4	9	6	0	9	14	6	5	3	0	11	1	12	8	4	7	4	10	10	3	9	4	0	5	15	6	3	1	4	8	14	13	5	9	7	11	11	10	5	8	2	0	4	11	11	11	6	8	7	8	8	6	7	5	12	1	5	10	4	6	1	6	9	7	4	4	7	13	4	4	6	3	2	3	16	6	9	1	5	10	8	5	7	10	7	5	8	7	4	9	4	13	3	17	10	11
1:Del:C:4	3	8	4	7	2	0	18	7	3	9	3	1	8	1	8	5	6	11	2	7	13	4	3	1	0	2	7	6	3	4	3	6	4	8	9	7	5	15	12	8	10	6	3	1	2	10	7	12	6	8	8	6	7	6	3	2	3	2	1	5	6	18	2	6	6	9	7	5	6	11	2	4	7	1	2	0	10	4	5	2	5	8	6	9	8	7	5	5	7	7	4	12	4	12	7	17	9	3
1:Del:C:5	15	12	7	24	11	0	12	18	28	12	2	1	15	4	24	7	11	20	5	8	8	5	4	6	0	4	32	12	6	3	8	26	17	13	15	16	17	24	19	7	23	7	4	3	12	20	7	21	15	15	16	15	19	9	11	11	11	2	3	3	16	9	1	9	19	15	11	8	16	15	5	9	6	1	5	3	30	13	9	3	13	28	11	35	8	16	10	5	12	13	5	34	9	15	7	35	23	18
1:Del:T:0	13	31	9	56	17	1	60	53	12	24	7	1	45	9	62	86	18	46	14	29	21	16	40	16	2	16	52	17	16	23	46	41	30	21	60	31	19	101	79	17	33	19	14	19	13	31	24	86	32	30	30	46	28	31	31	18	28	5	16	21	26	55	12	19	27	94	28	25	19	54	38	11	47	12	10	7	106	22	33	13	30	27	25	62	35	21	20	30	21	35	21	28	27	43	17	41	36	25
1:Del:T:1	5	31	14	45	21	0	82	24	19	23	7	3	43	14	106	34	22	39	8	39	13	11	38	9	3	9	30	30	19	26	62	50	16	16	28	43	14	106	58	21	58	21	9	8	11	27	18	82	30	63	35	60	29	36	29	16	28	8	7	25	16	80	6	21	31	103	25	10	13	69	31	9	19	14	14	4	108	16	27	9	32	27	30	70	46	22	15	26	17	32	7	36	35	40	12	44	26	19
1:Del:T:2	11	25	14	32	13	0	41	32	16	18	9	2	20	8	46	29	10	32	16	26	14	7	24	17	1	14	24	12	9	19	21	38	20	16	22	32	16	51	55	16	41	16	7	9	8	25	17	48	28	35	26	31	28	21	22	16	17	6	14	24	20	31	8	17	19	58	25	20	7	28	16	10	28	7	9	11	76	19	26	7	23	25	21	35	25	11	21	19	18	24	14	24	20	23	19	40	22	24
1:Del:T:3	18	49	16	43	25	0	59	58	18	35	12	4	38	12	72	32	23	33	17	36	24	10	28	16	4	16	49	24	15	35	38	34	30	22	40	56	35	92	102	17	79	26	19	18	19	28	14	76	28	56	37	31	37	28	34	17	18	14	16	23	30	68	7	29	30	73	17	17	26	56	25	9	27	4	12	9	116	22	30	10	31	46	28	68	30	27	17	28	31	26	20	47	17	39	24	63	27	14
