MutationType	SP85623	SP85491	SP87582	SP89090	SP85511	SP85952	SP85840	SP87675	SP85836	SP120767	SP105708	SP85818	SP105922	SP86118	SP86306	SP87099	SP87434	SP85864	SP105807	SP89291	SP88050	SP88593	SP88158	SP87534	SP88776	SP85725	SP86660	SP87903	SP88098	SP85487	SP105759	SP86775	SP88322	SP85582	SP87446	SP87337	SP86929	SP86130	SP86425	SP85495	SP85787	SP86836	SP89245	SP86989	SP88757	SP85733	SP85737	SP85647	CPCT02011098T	WIDE01010618T	WIDE01010310T	CPCT02080230T	CPCT02010914T	DRUP01010057T	CPCT02010635T	WIDE01010556T	WIDE01010540T
A[Del(T):R(1,4)]A	1	6	1	1	1	1	3	1	4	2	2	0	1	4	2	0	1	1	3	1	1	0	0	1	2	1	3	0	4	5	2	0	4	1	2	1	3	0	2	1	0	0	0	3	1	2	0	2	4	3	9	5	3	13	12	36	5
A[Del(T):R(1,4)]C	0	5	1	1	3	1	0	0	1	1	2	0	2	2	0	1	1	0	1	1	0	1	0	4	1	0	2	0	1	1	1	0	0	3	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	3	3	4	0	4	6	21	1
A[Del(T):R(1,4)]G	1	2	0	6	2	0	0	0	4	3	1	0	0	3	0	2	0	0	1	0	1	1	0	4	1	2	2	0	0	1	1	0	1	0	2	2	3	2	3	1	1	0	1	1	1	3	1	1	2	0	8	7	2	7	5	19	2
C[Del(T):R(1,4)]A	2	3	0	1	4	2	3	1	3	7	2	0	2	0	3	0	2	0	3	0	0	4	0	2	2	3	6	2	2	1	3	1	1	1	1	2	4	0	2	2	1	0	2	2	1	0	0	0	3	6	5	6	2	3	3	18	1
C[Del(T):R(1,4)]C	4	2	0	1	4	0	2	5	4	2	0	0	1	2	0	1	2	0	1	0	0	1	0	5	2	3	4	2	0	2	0	1	5	1	2	1	2	2	3	0	1	0	1	2	2	1	2	0	2	6	1	2	0	7	6	26	8
C[Del(T):R(1,4)]G	1	2	1	2	1	1	2	0	6	2	0	0	3	0	2	2	1	0	2	1	2	5	0	2	3	4	0	1	1	3	2	1	0	3	1	1	1	2	0	0	0	0	1	3	0	0	0	2	2	5	4	3	5	8	7	10	2
G[Del(T):R(1,4)]A	0	0	0	2	1	1	3	0	2	1	2	0	1	0	4	1	3	0	0	0	1	0	1	1	0	1	0	0	3	5	1	0	1	2	4	1	0	0	0	1	0	0	0	0	0	2	0	0	0	2	5	3	1	7	5	24	2
G[Del(T):R(1,4)]C	1	0	0	0	4	0	2	2	3	2	1	0	1	0	0	1	4	0	1	1	0	0	0	0	2	3	1	1	0	2	0	0	1	2	2	1	1	1	2	0	1	0	0	0	0	1	0	2	0	0	4	5	1	3	3	18	2
G[Del(T):R(1,4)]G	1	2	0	1	2	0	2	0	3	3	2	0	1	1	3	1	3	0	3	0	0	2	0	3	1	0	5	0	0	3	1	0	0	2	1	1	1	0	2	1	0	0	0	2	2	0	0	1	0	4	1	2	1	5	1	21	2
A[Del(T):R(5,7)]A	3	1	0	1	1	0	0	0	0	2	2	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	5	0	0	0	0	1	1	1	0	1	0	0	0	1	2	1	0	0	0	0	8	20	2	1	5	8	90	4
A[Del(T):R(5,7)]C	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	2	3	0	0	0	0	1	9	14	1	0	3	2	63	5
A[Del(T):R(5,7)]G	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	2	0	0	0	1	1	1	0	0	0	0	2	7	0	1	4	4	44	3
C[Del(T):R(5,7)]A	0	1	1	0	1	0	0	3	0	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	6	6	0	0	5	5	62	1
C[Del(T):R(5,7)]C	1	1	1	0	0	0	1	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	6	2	0	3	3	50	4
C[Del(T):R(5,7)]G	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	8	1	0	2	2	39	1
G[Del(T):R(5,7)]A	1	0	0	0	1	0	0	0	1	0	3	0	1	1	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	2	1	0	0	0	0	1	3	1	0	4	3	40	0
G[Del(T):R(5,7)]C	1	0	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	3	0	0	2	1	44	0
G[Del(T):R(5,7)]G	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	2	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	2	2	24	0
A[Del(T):R(8,)]A	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	2	5	22	0	0	4	6	182	3
A[Del(T):R(8,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	4	18	4	0	7	6	170	2
A[Del(T):R(8,)]G	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	18	0	0	4	2	91	3
C[Del(T):R(8,)]A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	11	1	0	5	9	128	0
C[Del(T):R(8,)]C	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	10	17	1	1	5	6	137	3
C[Del(T):R(8,)]G	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	0	0	2	2	80	0
G[Del(T):R(8,)]A	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	7	1	2	6	4	65	0
G[Del(T):R(8,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	1	0	2	1	57	0
G[Del(T):R(8,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3	0	0	2	1	64	1
A[Ins(C):R0]A	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	2	1	172	2
A[Ins(C):R0]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	107	0
Ins(C):R(0,3)	1	1	1	0	0	2	1	0	0	0	0	0	1	0	4	0	1	0	3	1	0	0	0	5	1	1	1	0	0	1	1	0	0	0	3	2	3	2	5	0	0	1	0	0	1	1	0	0	7	13	4	7	6	14	7	64	5
Ins(C):R(4,6)	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	2	1	0	1	0	3	0	0	0	1	0	0	0	0	1	1	0	0	1	0	6	8	4	2	4	4	20	4
Ins(C):R(7,)	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	15	7	5	2	1	4	28	6
A[Ins(T):R(0,4)]A	0	3	1	0	4	0	2	0	1	2	0	0	0	1	1	0	1	0	3	0	1	0	0	1	1	2	1	0	1	0	0	0	0	0	3	1	2	0	1	1	0	0	0	2	1	0	0	0	2	18	11	4	4	6	4	38	10
A[Ins(T):R(0,4)]C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	2	0	0	0	0	1	4	0	3	1	1	6	1
A[Ins(T):R(0,4)]G	0	1	0	0	1	0	2	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	2	0	1	1	0	2	4	1	0	1	1	1	0	2	0	0	0	0	0	0	1	0	1	0	0	1	3	0	0	3	1	2	13	3
C[Ins(T):R(0,4)]A	0	1	1	0	1	0	0	1	2	1	0	0	0	0	4	3	2	0	0	0	2	0	0	3	1	0	1	1	0	3	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	2	3	1	5	2	1	2	12	4
C[Ins(T):R(0,4)]C	1	0	0	0	1	0	0	0	1	1	0	0	0	1	4	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	5	1	1	3	5	2	7	1
C[Ins(T):R(0,4)]G	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	1	1	0	0	0	1	0	0	1	5	1	0	1	3	3	0	0	0	2	0	0	0	0	0	0	0	1	2	1	0	2	1	1	1	2	8	1
G[Ins(T):R(0,4)]A	2	1	2	1	6	0	3	1	4	1	3	0	0	1	1	1	0	1	0	1	0	1	1	2	1	2	3	3	2	6	1	1	1	3	3	1	2	0	4	1	0	1	2	3	0	1	0	2	2	3	5	1	1	5	3	36	5
G[Ins(T):R(0,4)]C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	52	1
G[Ins(T):R(0,4)]G	1	1	0	0	3	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	4	0	1	0	0	0	1	0	1	0	0	0	0	2	3	2	4	8	2	69	2
A[Ins(T):R(5,7)]A	0	0	0	0	0	0	0	1	0	0	1	0	0	1	3	1	0	0	1	0	2	0	1	2	0	1	1	2	3	3	0	0	3	0	1	0	3	1	1	0	0	0	0	1	1	1	0	1	3	34	16	3	1	8	8	64	9
A[Ins(T):R(5,7)]C	0	0	1	3	1	2	1	1	4	0	0	0	0	0	4	0	2	1	1	1	1	0	0	5	2	0	1	1	1	5	1	0	0	2	6	0	4	1	3	0	0	0	0	2	0	0	0	1	4	29	16	6	1	6	8	63	17
A[Ins(T):R(5,7)]G	2	0	0	1	4	1	0	1	3	2	3	0	0	0	3	1	0	0	1	1	1	1	1	5	0	3	2	1	0	7	0	0	2	0	2	0	4	0	0	0	0	0	1	0	1	0	0	1	5	29	10	12	3	13	9	61	16
C[Ins(T):R(5,7)]A	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	14	7	4	1	6	5	35	2
C[Ins(T):R(5,7)]C	0	1	1	1	0	0	0	2	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	0	1	3	0	0	2	0	2	0	3	1	1	0	0	0	0	1	0	0	0	1	0	21	11	2	3	8	5	23	6
C[Ins(T):R(5,7)]G	0	1	0	0	0	1	0	1	0	0	0	0	1	0	2	2	0	0	0	1	0	0	0	1	0	2	1	0	1	2	0	0	1	0	4	0	3	0	3	0	0	0	0	1	0	0	0	1	2	12	15	5	1	4	6	30	6
G[Ins(T):R(5,7)]A	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	5	19	8	2	4	3	5	33	7
G[Ins(T):R(5,7)]C	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	3	0	1	3	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	19	8	3	4	4	7	26	4
G[Ins(T):R(5,7)]G	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	2	2	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	23	5	2	6	6	4	43	4
A[Ins(T):R(8,)]A	0	0	1	1	2	0	1	0	1	2	0	0	0	2	2	2	1	1	1	0	1	0	0	7	0	1	3	0	1	7	0	0	1	2	1	0	1	0	2	0	0	0	0	2	0	1	0	0	4	50	13	8	4	15	19	66	11
A[Ins(T):R(8,)]C	1	1	2	0	2	0	1	0	0	0	0	0	0	0	4	1	1	0	0	1	0	0	0	1	1	2	4	0	3	5	0	0	0	1	1	0	0	0	1	1	0	0	2	1	0	0	0	0	3	47	12	10	4	13	13	68	9
A[Ins(T):R(8,)]G	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	1	0	0	1	0	0	1	0	2	3	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	4	32	17	7	3	9	6	69	9
C[Ins(T):R(8,)]A	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	3	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	28	10	5	4	6	9	51	9
C[Ins(T):R(8,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	5	1	0	1	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	26	9	6	1	7	10	45	4
C[Ins(T):R(8,)]G	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	25	11	6	3	8	7	35	8
G[Ins(T):R(8,)]A	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	29	8	11	0	8	7	37	7
G[Ins(T):R(8,)]C	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	20	10	11	1	4	4	30	8
G[Ins(T):R(8,)]G	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	1	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	8	8	2	6	4	43	19
Del(2,4):R1	4	5	1	3	1	1	3	1	2	5	2	0	1	4	1	1	0	0	3	0	2	2	1	7	1	7	5	1	7	5	1	0	1	2	4	0	4	0	4	0	4	0	1	6	1	3	0	1	8	5	13	12	0	17	18	30	10
Del(5,):R1	6	6	2	1	7	3	3	1	3	9	4	0	3	2	6	7	1	0	4	3	2	1	1	12	4	2	8	2	12	6	1	0	3	4	5	1	10	0	5	1	1	0	0	10	3	6	3	1	9	13	14	25	18	49	81	35	24
Del(2,8):U(1,2):R(2,4)	0	1	2	1	5	1	4	1	6	7	3	0	4	3	8	4	0	1	5	0	0	3	1	5	4	2	4	3	2	10	3	0	5	0	8	0	6	1	1	0	0	0	2	6	2	5	0	1	2	29	22	1	5	19	20	44	16
Del(2,):U(1,2):R(5,)	3	1	4	0	6	1	6	4	4	5	4	2	1	3	1	7	4	5	2	5	4	5	1	8	2	1	7	0	1	3	3	1	0	8	12	2	4	9	0	5	6	10	0	6	0	3	2	6	3	8	7	2	3	18	11	29	5
Del(3,):U(3,):R2	3	5	5	3	5	8	5	4	11	5	7	0	4	2	6	4	2	0	6	2	0	6	2	8	13	3	13	2	4	9	5	1	10	7	6	2	8	8	7	2	2	0	2	4	4	9	3	3	11	26	20	7	6	10	8	30	17
Del(3,):U(3,):R(3,)	2	2	6	1	9	2	4	2	4	3	4	0	1	4	2	2	1	3	4	4	2	2	1	4	4	3	3	7	5	7	1	4	1	9	5	1	5	1	3	2	3	1	1	8	1	5	0	5	3	12	15	6	0	10	4	17	7
Ins(2,4):R0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	2	1	1	1	1	2	2	0	0	0	0	3	0	1	2	1	0	0	0	1	1	0	0	1	1	12	19	9	6	12	24	20	73	10
Ins(5,):R0	1	0	1	2	2	0	0	0	1	2	0	0	0	0	0	1	0	1	1	0	0	1	0	2	0	0	1	0	0	1	1	1	0	0	1	0	3	1	1	0	2	0	0	1	1	2	0	0	17	22	24	50	45	59	134	69	14
Ins(2,4):R1	0	1	1	1	2	2	2	0	5	3	1	0	1	2	1	0	0	0	2	0	0	1	0	2	1	0	3	0	0	4	3	0	2	1	3	1	1	0	1	1	0	0	0	1	1	2	0	0	4	12	17	1	3	4	2	19	4
Ins(5,):R1	0	2	3	0	3	0	1	1	2	1	2	0	1	1	4	2	0	0	0	0	1	1	1	4	0	1	0	1	1	2	1	1	2	1	5	0	2	3	1	0	0	1	1	1	0	4	1	3	1	7	5	2	4	1	0	15	4
Ins(2,):R(2,4)	0	1	0	1	4	1	3	1	4	0	0	0	0	0	1	0	1	0	0	2	0	1	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	5	12	3	3	3	8	8	35	6
Ins(2,):R(5,)	1	0	1	0	0	0	0	2	1	0	1	0	0	0	1	0	5	0	1	3	0	2	1	1	0	2	1	2	2	4	1	0	1	1	1	2	1	1	1	0	0	0	1	1	1	0	0	0	5	74	28	11	4	20	12	103	14
Del(2,5):M1	4	0	2	2	5	0	1	2	5	3	6	0	0	2	2	1	2	1	5	2	0	0	0	5	3	5	3	1	2	6	1	0	1	1	2	0	5	1	3	1	1	0	1	3	5	3	1	0	6	13	17	4	1	25	20	28	12
Del(3,5):M2	4	3	2	6	5	1	3	3	2	7	1	0	3	2	10	2	1	1	10	1	0	3	0	8	5	4	7	1	3	12	1	0	8	2	7	1	4	2	3	1	0	0	1	8	7	6	1	2	6	16	9	8	3	10	9	26	8
Del(4,5):M(3,4)	2	1	2	2	2	2	2	4	8	9	0	0	3	1	1	2	0	0	2	4	1	0	2	2	6	5	6	0	8	2	0	0	3	2	4	3	2	3	2	0	1	0	2	6	3	5	1	4	4	8	8	0	0	4	2	10	2
Del(6,):M1	1	3	1	1	9	4	2	2	7	4	4	0	1	8	6	2	3	0	1	1	0	1	1	5	4	2	2	2	5	5	3	2	3	2	6	0	3	3	3	0	1	1	0	4	0	1	3	3	3	11	8	19	9	26	34	24	20
Del(6,):M2	1	4	1	0	4	2	1	1	4	2	2	0	0	5	1	3	2	0	1	1	2	0	0	1	2	1	2	0	3	8	0	2	1	0	3	0	2	2	1	0	0	0	1	5	2	4	0	1	4	10	11	4	6	16	16	24	14
Del(6,):M3	0	1	2	1	1	0	0	0	1	1	0	0	3	2	2	2	0	0	2	0	0	2	1	1	1	0	0	0	2	2	0	0	0	1	3	1	1	1	1	0	1	0	0	1	0	1	0	1	1	4	8	3	1	8	7	14	4
Del(6,):M(4,)	0	0	0	2	1	0	2	2	5	1	1	0	0	0	1	0	1	0	1	0	0	1	1	3	1	0	2	0	2	4	0	1	0	2	4	1	3	0	2	1	1	0	1	4	0	1	1	0	2	10	6	2	0	9	8	35	15
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
