MutationType	SP116788	SP116789	SP116919	SP109002	SP109001	SP109006	SP108998	SP127706	SP108999	SP109007	SP109003	SP116868	SP116794	SP116791	SP116866	SP116815	SP116853	SP116901	SP116830	SP116802	SP116885	SP116834	SP116913	SP116799	SP116920	SP116835	SP116852	SP116902	SP116871	SP116820	SP116889	SP116923	SP116829	SP116872	SP116904	SP116806	SP116857	SP116888	SP116818	SP116837	SP116905	SP116804	SP116819	SP116856	SP116839	SP116925	SP116878	SP116893	SP116876	SP116927	SP116909	SP116795	SP116826	SP116891	SP116860	SP116848	SP116910	SP116797	SP116862	SP116823	SP116897	SP116846	SP116784	SP116896	SP116824	SP116881	SP116812	SP116915	SP116786	SP116851	CPCT02220038T	CPCT02290013T
C[Del(T):R(1,4)]G	1	1	0	0	0	3	1	2	2	4	0	4	2	2	4	1	0	0	0	1	0	0	1	3	2	3	0	0	0	1	1	4	0	0	1	1	5	0	0	3	0	1	0	3	1	0	2	3	0	0	0	0	2	2	1	4	0	0	1	2	0	1	0	0	2	0	2	2	1	0	4	11
G[Del(T):R(1,4)]A	0	0	0	0	0	0	0	5	1	0	1	0	1	1	0	1	0	0	3	0	2	0	0	1	0	1	0	0	0	0	1	0	3	0	0	0	1	0	0	3	0	0	0	0	3	1	1	0	0	2	0	0	2	0	0	2	1	0	0	1	1	0	0	2	0	1	0	0	2	0	5	5
G[Del(T):R(1,4)]C	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	2	0	2	1	0	0	0	0	1	0	1	1	0	0	8	5
G[Del(T):R(1,4)]G	0	0	0	0	1	0	0	2	2	1	2	1	0	0	1	0	0	0	3	0	1	0	0	1	0	3	0	1	0	0	0	2	4	0	0	1	3	0	0	1	1	1	0	3	0	1	1	1	0	1	1	0	0	2	0	2	2	0	1	0	0	0	0	0	1	0	1	2	1	0	6	4
A[Del(T):R(5,7)]A	0	0	0	2	0	0	5	1	0	1	0	0	0	0	0	2	1	0	0	1	2	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	1	0	2	0	0	1	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	2	0	1	0	15	11
A[Del(T):R(5,7)]C	0	0	0	1	0	1	1	2	2	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	18	5
A[Del(T):R(5,7)]G	0	0	0	0	0	3	3	3	0	0	0	2	0	0	1	0	1	1	0	0	2	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	1	0	0	1	1	1	15	7
C[Del(T):R(5,7)]A	0	0	0	2	1	0	2	0	1	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	7	3
C[Del(T):R(5,7)]C	0	0	0	2	0	0	2	0	2	1	2	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	2	0	0	1	0	0	0	1	0	1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	6	2
C[Del(T):R(5,7)]G	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	8	4
G[Del(T):R(5,7)]A	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	2	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	7	3
G[Del(T):R(5,7)]C	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	1
G[Del(T):R(5,7)]G	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	3	0	2	0	0	2	0	0	0	0	0	1	0	0	0	1	1	2	1	1	0	0	1	0	0	0	0	0	0	2	1	4	5
A[Del(T):R(8,)]A	1	0	0	1	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	25	9
A[Del(T):R(8,)]C	0	0	0	1	0	0	2	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	30	12
A[Del(T):R(8,)]G	0	0	0	0	0	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	18	4
C[Del(T):R(8,)]A	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	22	6
C[Del(T):R(8,)]C	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	9
C[Del(T):R(8,)]G	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	2
G[Del(T):R(8,)]A	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4
G[Del(T):R(8,)]C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3
G[Del(T):R(8,)]G	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4
A[Ins(C):R0]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
A[Ins(C):R0]T	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins(C):R(0,3)	0	0	0	1	0	2	3	2	1	0	1	1	0	0	1	2	1	0	0	1	2	0	0	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	3	0	0	4	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	10	10
Ins(C):R(4,6)	0	0	0	2	0	1	6	2	2	1	2	1	0	0	0	0	0	0	0	0	4	2	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	2	2	0	12	6
Ins(C):R(7,)	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	7
A[Ins(T):R(0,4)]A	0	0	0	0	0	0	1	1	2	2	0	2	0	1	2	0	0	0	2	1	6	1	0	1	0	1	0	0	0	0	4	0	1	0	0	0	3	1	0	1	0	0	0	1	2	1	0	1	0	1	1	0	2	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	2	0	10	8
A[Ins(T):R(0,4)]C	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5	2
A[Ins(T):R(0,4)]G	0	0	0	0	0	0	0	3	1	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	7	4
C[Ins(T):R(0,4)]A	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	2	0	0	0	0	0	1	0	1	0	0	0	4	2
C[Ins(T):R(0,4)]C	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3
C[Ins(T):R(0,4)]G	0	0	0	1	0	0	1	3	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	7
G[Ins(T):R(0,4)]A	0	0	0	1	1	1	0	8	0	0	0	0	1	1	0	1	2	1	4	1	1	1	2	1	0	1	1	2	0	1	0	0	2	0	0	0	2	0	1	1	0	1	1	1	2	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	6	2
G[Ins(T):R(0,4)]C	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2
G[Ins(T):R(0,4)]G	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	6	2
A[Ins(T):R(5,7)]A	0	0	0	0	0	1	3	0	0	0	1	1	1	0	1	0	1	1	2	0	2	0	0	0	0	0	2	1	0	0	1	3	1	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	3	2	0	3	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	1	28	16
A[Ins(T):R(5,7)]C	0	0	0	3	0	3	6	3	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	3	1	0	1	0	0	2	0	0	2	1	0	2	2	0	0	1	0	1	0	1	0	0	3	0	0	0	1	0	0	2	1	0	0	0	2	0	0	1	2	0	31	17
A[Ins(T):R(5,7)]G	0	0	0	0	0	2	2	2	1	2	0	0	1	1	0	0	0	1	0	0	5	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	36	26
C[Ins(T):R(5,7)]A	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	16	4
C[Ins(T):R(5,7)]C	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	19	13
C[Ins(T):R(5,7)]G	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	19	8
G[Ins(T):R(5,7)]A	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	8	6
G[Ins(T):R(5,7)]C	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	15	15
G[Ins(T):R(5,7)]G	0	0	0	0	0	1	3	1	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	2	0	0	0	0	2	0	1	1	0	0	1	0	0	1	0	0	1	2	0	2	0	2	0	0	0	0	0	0	0	0	1	0	1	21	13
A[Ins(T):R(8,)]A	1	0	0	0	0	2	3	2	2	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	2	1	0	0	0	1	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	3	0	1	0	0	0	0	0	1	0	1	0	1	0	45	19
A[Ins(T):R(8,)]C	0	0	0	0	0	1	3	1	0	1	0	1	0	0	1	0	1	0	1	0	3	0	0	0	0	0	2	0	0	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	39	17
A[Ins(T):R(8,)]G	0	0	0	0	0	0	2	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	2	0	0	1	3	1	0	0	0	0	0	0	1	0	1	1	1	0	45	18
C[Ins(T):R(8,)]A	0	0	0	0	0	0	1	0	1	0	1	2	1	1	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	22	6
C[Ins(T):R(8,)]C	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	24	15
C[Ins(T):R(8,)]G	0	0	0	0	1	1	2	0	2	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	30	18
G[Ins(T):R(8,)]A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	15	5
G[Ins(T):R(8,)]C	0	0	0	0	0	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	13
G[Ins(T):R(8,)]G	0	0	0	2	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	26	12
Del(2,4):R1	1	1	0	0	0	1	4	1	1	2	0	1	0	0	2	1	1	0	1	1	2	0	0	1	1	2	0	0	0	0	1	2	1	0	0	1	1	0	0	3	0	1	0	1	2	0	0	5	0	0	0	0	1	5	0	0	1	0	1	1	0	0	0	0	1	0	1	1	2	0	18	15
Del(5,):R1	0	0	0	3	1	0	4	1	6	2	4	1	0	0	0	2	1	0	5	1	1	0	0	2	2	1	0	0	0	1	1	3	4	0	1	1	0	0	2	3	1	1	1	0	3	1	0	1	0	1	0	0	0	1	0	2	0	0	2	0	0	1	0	0	0	2	1	1	0	0	33	29
Del(2,8):U(1,2):R(2,4)	0	0	0	0	0	3	1	2	3	0	1	2	0	0	1	2	1	1	1	0	1	0	0	0	1	0	1	2	0	1	2	1	1	0	0	0	4	1	1	2	1	0	1	2	4	1	1	1	0	1	1	0	1	1	3	0	2	0	3	0	0	0	0	0	0	0	0	2	1	0	22	22
Del(2,):U(1,2):R(5,)	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	10
Del(3,):U(3,):R2	1	0	0	0	0	3	3	0	2	4	0	3	0	0	3	2	1	1	2	0	1	0	2	0	2	2	1	0	1	1	1	2	2	0	0	2	0	1	0	1	0	2	0	0	0	1	2	1	0	3	0	0	0	0	1	3	2	1	3	0	0	2	0	0	1	0	1	3	3	0	16	29
Del(3,):U(3,):R(3,)	1	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	2	0	0	1	1	0	0	1	2	1	2	0	1	0	1	0	0	0	1	0	1	0	2	0	0	1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	2	1	0	1	0	0	0	1	1	0	9	11
Ins(2,4):R0	0	0	0	4	0	2	6	3	6	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	1	1	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	24	16
Ins(5,):R0	0	0	0	3	1	3	6	5	3	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	36	61
Ins(2,4):R1	0	0	0	0	0	1	0	5	2	1	2	1	0	0	0	0	0	1	2	0	0	0	1	0	1	2	0	1	0	2	1	2	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	2	0	0	5	5
Ins(5,):R1	0	0	1	0	0	1	2	1	0	0	1	1	1	1	3	1	1	0	1	0	1	2	0	0	1	5	2	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	2	2	2	0	6	2
Ins(2,):R(2,4)	0	0	0	2	0	1	2	2	0	1	0	0	0	0	0	0	1	0	1	0	2	2	0	0	0	1	1	0	0	2	0	1	1	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	2	0	6	5
Ins(2,):R(5,)	1	0	0	4	1	0	6	1	0	0	1	1	1	1	1	1	0	0	2	0	0	1	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	28	10
Del(2,5):M1	0	0	0	0	0	0	4	4	1	5	1	3	0	0	3	1	0	0	4	0	3	2	0	1	0	3	0	0	1	0	0	2	5	1	0	1	2	0	0	0	0	1	0	1	1	1	1	2	0	2	1	0	1	0	1	3	2	0	2	0	0	1	0	0	1	1	1	0	0	0	20	30
Del(3,5):M2	1	0	0	1	0	1	4	0	0	5	5	0	0	0	0	0	2	1	2	0	1	2	0	0	1	3	2	1	0	1	1	3	1	0	0	0	2	1	0	5	0	0	0	0	2	1	1	2	0	1	1	0	0	2	0	2	2	0	0	1	0	1	0	0	0	0	3	0	1	1	14	17
