MutationType	SP111062	SP111006	SP110846	SP111086	SP111096	SP111021	SP111058	SP111092	SP111076	SP111098	SP111039	SP111052	SP111166	SP111014	SP111066	SP111094	SP111015	SP110853	SP111051	SP110855	SP111004	SP111078	SP110863	SP111013	SP111042	SP111040	SP111031	SP23496	SP111030	SP111019	SP111026	SP110860	SP110851	SP111059	SP111170	SP111054	SP111033	SP111113	SP110865	SP111061	SP111101	SP110859	SP111168	SP111067	SP111036	SP111116	SP111099	SP23502	SP111069	SP111043	SP111024	SP111011	SP111082	SP111074	SP110845	SP110857	SP111017	SP111080	SP23506	SP111075	SP111112	SP111001	SP111027	SP111117	SP110842	SP111173	SP111008	SP111070	SP110847	SP111077	SP111091	SP111072	SP111084	SP23504	SP23500	SP111029	SP111175	SP111049	SP23498	SP111002	SP110866	SP111035	SP111009	SP111114	SP111000	SP111045	SP110861	SP111047	SP111088	SP111056	SP111089	SP111038	SP110849	SP111164	SP111057	SP111119	SP111095	SP111064	CPCT02030245T	CPCT02030257T	CPCT02070015T	CPCT02040043T	CPCT02100032T	CPCT02160007T	CPCT02030286T	CPCT02100140T	CPCT02100141T	CPCT02330072TII	CPCT02330132T	CPCT02130030T	CPCT02060183T	CPCT02130033T	CPCT02300031T	CPCT02180054T	CPCT02090037T	CPCT02130041T	CPCT02060200T	WIDE01010009T	CPCT02330094T	CPCT02110061T	WIDE01010016T	CPCT02230070T	CPCT02340070T	CPCT02340073T	CPCT02050330T	CPCT02340077T	WIDE01010064T	CPCT02050314T	CPCT02220037T	WIDE01010073T	CPCT02210045T	CPCT02100163T	CPCT02130049T	CPCT02050343T	CPCT02020712T	CPCT02130070T	CPCT02130071T	DRUP01020027T	CPCT02050349T	CPCT02040242T	CPCT02300039T	CPCT02010815T	CPCT02010813T	WIDE01010355T	CPCT02330072T	CPCT02130091T	CPCT02230097T	CPCT02050357T	CPCT02010833T	CPCT02060213T	CPCT02130107T	CPCT02070342T	CPCT02050362T	CPCT02150012T	DRUP01210002T	CPCT02130105T	CPCT02100176T	CPCT02230106T	CPCT02060199T	DRUP01330005T	CPCT02120150T	CPCT02060248T	CPCT02060255T	DRUP01010088T	CPCT02440014T	CPCT02050384T	CPCT02030519T	CPCT02050380T	CPCT02130140T	CPCT02220056T	DRUP01210003T	DRUP01050030T	CPCT02210067T	CPCT02150021T	CPCT02080255T	CPCT02330124T	CPCT02100186T	CPCT02050403T	DRUP01330013T	DRUP01050033T	DRUP01440001T	CPCT02040156T	DRUP01340013T	CPCT02080141T	CPCT02010662T	CPCT02120069T	CPCT02100126T	CPCT02380021T	CPCT02020622T	CPCT02340034T	CPCT02210033T	CPCT02050163T	CPCT02030277T	CPCT02100064T	CPCT02010569T	CPCT02110032T	CPCT02340011T	CPCT02330033T	CPCT02040119T	CPCT02020536T	CPCT02340012T	CPCT02020527T	CPCT02020526T	CPCT02100098T	CPCT02230029T	CPCT02230030T	CPCT02230034T	CPCT02070034T	CPCT02030363T	CPCT02230039T	CPCT02080130T	CPCT02340019T	CPCT02050233T	CPCT02100044T	CPCT02050100T	CPCT02030243T	CPCT02050041T	CPCT02030310T	CPCT02220007T	CPCT02030307T	CPCT02030304T	CPCT02110018T	CPCT02100061T	CPCT02070120T	CPCT02120011T	CPCT02120012T	CPCT02050147T	CPCT02030335T	CPCT02040108T	CPCT02400002T	CPCT02340041T	CPCT02380030T	CPCT02040196T	CPCT02230068T	CPCT02100127T	CPCT02100133T	CPCT02090026T	CPCT02050287T	CPCT02050292T	DRUP01050016T	CPCT02250004T	WIDE01010644T	WIDE01010539T	WIDE01010590T	WIDE01010691T	WIDE01010704T	WIDE01010725T
1:Del:T:4	28	49	18	67	32	0	74	81	38	17	7	5	46	18	64	39	13	50	28	39	41	16	29	40	6	11	88	19	17	17	53	67	42	32	54	67	52	80	85	31	61	18	5	11	28	38	40	75	49	77	51	36	37	34	38	30	41	20	15	23	21	93	8	39	54	89	25	37	45	66	27	22	37	7	4	7	150	48	43	10	38	67	38	97	44	54	22	31	25	48	18	72	39	59	27	125	62	49	4	42	65	19	16	16	31	35	57	78	59	12	77	32	31	48	34	43	27	23	12	20	38	56	44	5	18	23	66	11	29	21	57	29	98	19	30	40	24	38	36	37	17	95	12	25	64	102	26	21	50	25	30	11	56	96	54	17	30	32	6	59	46	24	27	22	73	19	42	96	2808	32	45	18	58	41	57	30	54	16	51	20	74	30	80	40	78	22	57	45	81	29	47	38	108	34	68	22	20	18	31	31	25	14	41	22	31	48	32	40	20	133	45	51	44	48	42	29	90	46	24	64	10	21	29	34	67	48	74	51	47	47	86	28	68	40	72	8	71	44	50	48	73	17	77	71	30	39	42
1:Del:T:5	295	549	156	602	364	0	634	834	719	321	10	13	549	58	737	432	161	315	208	452	335	121	166	228	12	56	1391	236	64	58	417	681	323	363	674	377	694	1136	574	333	748	255	80	122	455	725	404	695	361	674	616	383	523	256	270	294	505	59	51	272	342	785	30	450	656	812	388	553	824	632	78	301	173	53	54	31	1693	439	536	81	327	768	541	1397	508	716	179	284	487	369	172	1251	540	650	332	2051	789	519	61	920	1267	167	89	116	619	605	1220	1101	1329	203	1241	521	458	840	538	592	436	595	148	267	280	1167	754	40	255	303	1464	108	539	134	1061	421	1562	120	395	286	242	335	67	562	363	1438	357	424	821	528	223	239	639	389	350	173	877	1069	974	87	425	443	61	1027	855	398	454	198	1090	362	1144	1757	49113	520	710	150	895	912	931	534	734	161	776	244	1129	515	1286	794	468	378	1050	791	1128	532	823	592	1588	461	1470	60	381	299	209	366	456	64	410	276	580	786	612	548	511	1438	564	945	639	743	478	48	1383	582	392	690	145	462	496	591	917	950	1062	1045	432	534	1560	309	1248	436	1053	30	732	530	600	680	1068	165	1198	1141	517	582	448
1:Ins:C:0	4	233	2	279	15	0	328	25	24	40	1	7	76	3	144	96	23	57	5	80	12	3	30	18	2	25	61	31	7	13	69	49	27	20	43	18	22	111	111	38	18	26	10	9	10	38	83	175	173	82	37	70	118	22	49	12	37	4	4	75	36	109	0	33	78	67	15	14	23	67	57	10	100	4	35	3	470	22	21	9	32	80	33	102	28	19	40	10	47	61	11	30	15	22	9	71	32	31	15	25	104	17	6	6	24	72	46	99	29	26	90	22	27	54	48	90	360	11	4	18	39	40	23	2	4	11	93	6	31	12	43	22	73	4	105	18	10	58	18	12	24	24	14	73	25	287	12	18	19	12	10	6	53	47	33	7	35	88	3	94	16	19	79	6	69	28	71	27	251	28	95	6	33	41	63	59	27	26	64	3	75	8	101	50	290	33	113	37	40	19	98	87	30	47	24	4	4	211	13	139	31	6	16	7	11	19	52	14	8	126	39	44	47	26	24	6	77	32	41	30	9	40	86	16	90	31	50	61	24	21	117	9	53	38	42	6	30	31	63	49	62	17	65	184	21	27	52
1:Ins:C:1	1	14	6	13	1	0	19	6	4	4	2	1	7	1	10	10	0	4	0	11	2	0	1	2	0	4	9	2	2	1	5	1	4	3	7	1	4	6	8	4	4	5	2	2	0	3	9	6	9	10	5	6	9	2	5	3	8	2	1	5	2	6	0	7	3	11	2	3	4	3	7	1	10	2	1	1	25	4	5	0	3	6	4	5	3	8	4	4	2	7	1	6	6	4	2	7	4	3	5	7	5	5	2	2	4	8	11	28	5	2	10	6	5	8	8	15	12	2	6	9	8	9	7	1	4	4	13	1	5	5	2	5	19	0	4	6	2	11	8	5	8	5	3	5	4	24	3	7	11	4	4	3	5	4	5	4	9	11	1	13	6	5	7	4	8	3	11	10	32	7	3	0	3	12	7	4	10	1	9	2	10	4	10	5	20	8	16	4	12	6	4	9	12	8	9	4	3	10	3	9	6	4	6	6	5	5	6	6	2	14	6	7	6	2	7	5	14	2	0	4	4	6	7	7	5	5	10	3	7	6	12	3	9	7	4	3	5	7	9	7	7	4	8	16	7	3	4
1:Ins:C:2	2	3	0	6	1	0	3	3	2	0	1	0	2	0	1	2	0	2	2	3	2	1	2	1	0	2	3	2	2	0	3	1	4	1	1	2	3	3	7	3	4	2	3	2	3	1	1	3	1	5	1	3	3	0	4	1	0	0	1	4	2	4	0	2	3	6	0	3	3	3	4	1	2	1	1	2	12	2	8	0	2	2	1	4	4	5	6	7	3	2	1	1	2	5	0	3	4	2	1	4	1	1	1	2	4	5	3	6	4	0	5	0	2	3	4	2	3	2	1	4	1	2	5	0	2	3	7	4	1	5	6	4	8	4	2	3	2	6	13	3	4	4	1	2	2	9	3	0	5	3	3	1	2	11	5	1	1	7	1	6	3	1	0	1	3	2	1	3	21	1	2	3	3	7	4	6	3	2	5	2	5	3	8	2	2	0	9	3	4	0	2	2	8	2	2	2	0	4	3	6	1	3	3	3	2	9	2	3	2	2	3	5	6	2	2	6	3	4	2	2	0	5	0	4	2	2	0	3	1	4	10	4	3	3	2	0	3	4	5	5	3	0	2	4	0	3	3
1:Ins:C:3	1	4	1	0	0	0	5	2	4	0	0	1	1	0	1	3	3	4	2	3	3	0	3	4	0	0	5	1	1	0	1	3	1	5	2	5	1	6	2	3	2	2	2	0	2	2	1	2	2	10	3	1	2	2	1	1	2	2	0	0	3	5	1	1	0	2	5	1	1	5	0	1	1	0	0	0	3	2	3	2	3	5	2	4	2	8	2	4	2	6	1	7	2	2	1	3	3	2	0	2	6	2	5	2	1	9	6	6	2	3	2	4	1	5	4	2	4	1	3	5	3	7	2	2	0	3	4	2	2	2	8	3	6	1	2	5	0	4	20	4	3	3	1	2	1	5	1	1	5	2	0	5	5	3	5	2	4	4	1	5	4	4	6	1	5	4	5	7	39	4	6	5	4	3	5	4	4	1	5	1	5	5	5	5	1	1	7	7	4	1	3	4	4	3	2	4	2	3	0	4	2	3	5	4	2	4	5	0	3	8	2	2	4	4	3	0	4	2	3	4	0	3	4	7	6	1	6	3	2	5	7	3	7	2	4	1	3	2	5	3	2	2	2	2	3	3	1
1:Ins:C:4	0	5	6	3	0	0	5	2	7	4	0	2	8	2	7	4	3	3	1	6	5	2	1	3	0	2	6	5	3	2	4	3	4	3	4	9	5	4	9	2	4	3	3	2	3	10	6	7	3	9	3	1	6	2	2	2	3	2	3	3	3	7	3	4	2	7	3	3	7	11	0	0	2	3	0	0	15	2	4	0	1	7	4	12	5	2	2	4	2	6	1	7	4	2	2	3	7	5	2	7	11	2	3	5	8	7	5	6	4	3	5	3	2	4	7	4	1	4	4	3	8	9	10	2	1	4	9	2	4	0	7	5	6	2	4	7	2	7	8	3	3	8	4	1	0	9	1	5	4	1	2	3	5	7	9	2	5	4	1	7	6	3	4	4	9	4	8	12	146	5	8	2	7	8	4	3	5	2	6	2	8	7	6	8	2	0	9	3	14	5	9	4	4	3	6	3	3	2	1	2	4	2	2	5	3	3	3	2	4	9	5	11	4	5	2	2	9	3	7	5	1	3	5	5	4	8	14	5	1	4	6	2	7	3	7	5	2	0	2	8	5	0	9	13	3	7	2
1:Ins:C:5	13	42	13	20	14	0	22	17	38	15	3	0	38	6	23	25	9	11	12	17	29	5	11	9	0	3	48	12	11	2	17	26	31	22	23	33	27	24	43	17	28	27	10	16	22	37	19	12	24	36	36	12	26	14	14	17	26	5	9	24	16	24	0	24	23	35	30	23	31	18	4	14	11	12	5	8	55	28	26	5	14	53	12	44	40	46	16	15	27	16	5	50	22	23	31	18	30	31	9	30	72	24	24	18	31	68	35	62	31	19	52	29	25	75	41	21	11	31	16	23	12	44	28	8	12	16	68	3	28	20	42	21	51	12	22	35	21	29	15	16	22	44	18	20	27	21	13	23	26	9	36	10	37	52	38	7	15	24	2	53	33	27	14	16	54	23	44	50	866	19	22	7	25	59	33	44	33	8	39	13	61	35	44	26	45	27	64	49	70	25	33	16	35	19	49	7	12	16	16	23	28	7	17	38	30	39	22	29	18	46	28	42	19	40	23	7	60	21	28	29	10	13	15	29	40	88	52	28	23	24	54	24	63	28	26	34	23	26	25	23	61	14	99	63	23	28	19
1:Ins:T:0	2	14	1	18	6	0	21	13	4	11	1	0	8	2	16	17	6	12	5	12	9	1	6	6	1	5	17	14	5	5	9	12	4	8	16	11	4	10	29	4	10	11	6	4	8	6	8	19	12	12	7	6	21	11	10	6	2	3	4	8	11	14	1	13	9	14	5	11	7	11	8	2	10	3	3	2	34	11	6	5	8	10	4	23	8	6	6	4	8	9	3	15	5	5	6	8	10	8	7	22	20	10	8	6	25	31	22	31	24	9	24	13	12	29	11	15	34	13	10	17	14	16	8	4	17	13	39	8	16	7	24	8	34	11	23	12	2	18	54	17	14	23	8	14	10	59	8	15	13	11	9	5	18	29	20	3	12	14	2	29	13	13	11	10	25	16	15	34	121	8	26	10	9	27	28	22	14	7	18	14	30	15	26	14	43	18	26	14	34	13	29	18	18	10	31	6	12	17	9	20	12	7	22	9	14	17	13	14	3	19	15	20	17	21	11	14	27	18	16	17	11	12	22	17	29	21	15	24	14	14	35	11	27	9	21	14	16	14	12	22	17	10	31	43	17	17	29
1:Ins:T:1	13	24	6	16	10	0	21	19	7	11	9	0	15	0	15	17	6	14	6	15	11	3	11	8	1	8	15	17	8	6	13	17	12	12	22	9	11	22	23	8	8	23	6	7	12	9	15	14	10	26	11	11	11	12	7	10	7	6	12	12	10	18	6	12	12	15	8	19	6	20	8	5	9	6	6	1	17	7	6	3	5	15	9	11	9	26	11	16	10	13	10	16	15	8	8	15	10	12	36	21	9	12	6	13	14	21	15	27	9	11	22	10	11	15	18	22	26	9	13	14	8	19	9	4	51	10	29	33	11	46	15	9	39	28	19	51	33	26	103	17	11	5	9	11	15	24	6	35	19	5	21	8	5	23	10	39	17	27	4	17	17	6	10	12	22	15	13	22	62	6	19	42	9	17	37	21	15	6	18	50	25	13	16	10	35	24	16	16	21	18	22	13	24	8	14	17	3	10	11	21	9	27	17	16	11	15	13	22	6	14	13	10	24	12	12	21	25	21	16	9	4	5	13	8	20	18	17	14	14	13	25	5	19	13	12	12	15	12	13	35	15	9	16	23	8	11	17
