MutationType	CPCT02220038T	CPCT02290013T
A[Del(C):R1]A	3	7
A[Del(C):R1]G	0	1
A[Del(C):R1]T	8	3
A[Del(C):R2]A	3	1
A[Del(C):R2]G	0	0
A[Del(C):R2]T	1	8
A[Del(C):R3]A	7	0
A[Del(C):R3]G	1	0
A[Del(C):R3]T	0	1
A[Del(C):R4]A	1	1
A[Del(C):R4]G	0	0
A[Del(C):R4]T	1	0
A[Del(C):R5]A	1	0
A[Del(C):R5]G	1	0
A[Del(C):R5]T	0	2
A[Del(C):R6]A	0	1
A[Del(C):R6]G	0	0
A[Del(C):R6]T	0	0
A[Del(C):R7]A	1	2
A[Del(C):R7]G	0	0
A[Del(C):R7]T	0	0
A[Del(C):R8]A	1	0
A[Del(C):R8]G	0	0
A[Del(C):R8]T	0	1
A[Del(C):R(9,)]A	0	0
A[Del(C):R(9,)]G	0	0
A[Del(C):R(9,)]T	0	0
G[Del(C):R1]A	3	2
G[Del(C):R1]G	0	0
G[Del(C):R1]T	3	4
G[Del(C):R2]A	2	4
G[Del(C):R2]G	0	0
G[Del(C):R2]T	1	3
G[Del(C):R3]A	3	1
G[Del(C):R3]G	1	0
G[Del(C):R3]T	1	1
G[Del(C):R4]A	0	0
G[Del(C):R4]G	1	0
G[Del(C):R4]T	1	0
G[Del(C):R5]A	0	0
G[Del(C):R5]G	0	0
G[Del(C):R5]T	0	0
G[Del(C):R6]A	1	0
G[Del(C):R6]G	0	1
G[Del(C):R6]T	0	0
G[Del(C):R7]A	1	0
G[Del(C):R7]G	0	0
G[Del(C):R7]T	0	0
G[Del(C):R8]A	0	0
G[Del(C):R8]G	0	0
G[Del(C):R8]T	0	2
G[Del(C):R(9,)]A	0	0
G[Del(C):R(9,)]G	0	0
G[Del(C):R(9,)]T	0	0
T[Del(C):R1]A	5	1
T[Del(C):R1]G	0	0
T[Del(C):R1]T	4	16
T[Del(C):R2]A	6	4
T[Del(C):R2]G	1	1
T[Del(C):R2]T	4	5
T[Del(C):R3]A	2	1
T[Del(C):R3]G	0	0
T[Del(C):R3]T	3	0
T[Del(C):R4]A	2	0
T[Del(C):R4]G	0	0
T[Del(C):R4]T	1	0
T[Del(C):R5]A	0	2
T[Del(C):R5]G	0	0
T[Del(C):R5]T	1	0
T[Del(C):R6]A	1	0
T[Del(C):R6]G	0	0
T[Del(C):R6]T	0	0
T[Del(C):R7]A	0	0
T[Del(C):R7]G	0	0
T[Del(C):R7]T	0	0
