signature	cluster_id	retained
C.H.All.1	1	TRUE
C.H.All.2	2	TRUE
C.H.All.3	3	TRUE
C.H.All.4	4	TRUE
C.H.All.5	5	TRUE
C.H.All.6	6	TRUE
C.H.All.7	7	TRUE
C.H.All.8	8	TRUE
C.H.All.9	9	TRUE
C.H.All.10	10	TRUE
C.H.All.11	11	TRUE
C.H.All.12	12	TRUE
C.H.All.13	13	TRUE
C.H.All.14	14	TRUE
C.H.All.15	15	TRUE
C.H.All.16	16	TRUE
C.H.All.17	17	TRUE
C.H.All.18	18	TRUE
C.H.All.19	19	TRUE
C.H.All.20	20	FALSE
C.H.All.21	21	TRUE
C.H.All.22	22	TRUE
C.H.All.23	23	FALSE
C.H.All.24	24	TRUE
C.H.All.25	25	FALSE
C.H.All.26	26	TRUE
C.H.All.27	27	TRUE
C.H.Biliary.1	2	TRUE
C.H.Biliary.2	1	TRUE
C.H.Biliary.3	6	TRUE
C.H.Biliary.4	7	TRUE
C.H.Biliary.5	28	FALSE
C.H.Biliary.6	29	TRUE
C.H.Bladder.1	1	TRUE
C.H.Bladder.2	16	TRUE
C.H.Bladder.3	2	TRUE
C.H.Bladder.4	30	TRUE
C.H.Bladder.5	6	TRUE
C.H.Bladder.6	31	TRUE
C.H.Bladder.7	10	TRUE
C.H.Bladder.8	8	TRUE
C.H.Bladder.9	29	TRUE
C.H.Bladder.10	32	TRUE
C.H.Bladder.11	9	TRUE
C.H.Bladder.12	33	TRUE
C.H.Bladder.13	24	TRUE
C.H.Bone.SoftTissue.1	34	TRUE
C.H.Bone.SoftTissue.2	35	TRUE
C.H.Bone.SoftTissue.3	1	TRUE
C.H.Bone.SoftTissue.4	7	TRUE
C.H.Bone.SoftTissue.5	36	TRUE
C.H.Bone.SoftTissue.6	6	TRUE
C.H.Bone.SoftTissue.7	25	FALSE
C.H.Bone.SoftTissue.8	15	TRUE
C.H.Bone.SoftTissue.9	8	TRUE
C.H.Bone.SoftTissue.10	13	TRUE
C.H.Bone.SoftTissue.11	37	TRUE
C.H.Breast.1	2	TRUE
C.H.Breast.2	1	TRUE
C.H.Breast.3	13	TRUE
C.H.Breast.4	26	TRUE
C.H.Breast.5	7	TRUE
C.H.Breast.6	6	TRUE
C.H.Breast.7	12	TRUE
C.H.Breast.8	16	TRUE
C.H.Breast.9	24	TRUE
C.H.Breast.10	5	TRUE
C.H.Breast.11	3	TRUE
C.H.Breast.12	38	TRUE
C.H.Breast.13	39	FALSE
C.H.Breast.14	40	TRUE
C.H.Breast.15	34	TRUE
C.H.Breast.16	41	FALSE
C.H.Breast.17	42	TRUE
C.H.Breast.18	43	TRUE
C.H.Breast.19	44	TRUE
C.H.CNS.1	45	TRUE
C.H.CNS.2	34	TRUE
C.H.CNS.3	12	TRUE
C.H.CNS.4	7	TRUE
C.H.CNS.5	1	TRUE
C.H.CNS.6	46	FALSE
C.H.CNS.7	47	TRUE
C.H.CNS.8	27	TRUE
C.H.CNS.9	48	FALSE
C.H.Colon.1	1	TRUE
C.H.Colon.2	2	TRUE
C.H.Colon.3	9	TRUE
C.H.Colon.4	5	TRUE
C.H.Colon.5	14	TRUE
C.H.Colon.6	31	TRUE
C.H.Colon.7	35	TRUE
C.H.Colon.8	49	TRUE
C.H.Colon.9	6	TRUE
C.H.Colon.10	18	TRUE
C.H.Colon.11	50	FALSE
C.H.Colon.12	51	FALSE
C.H.Colon.13	11	TRUE
C.H.Colon.14	40	TRUE
C.H.Colon.15	52	FALSE
C.H.Esophagus.1	2	TRUE
C.H.Esophagus.2	1	TRUE
C.H.Esophagus.3	5	TRUE
C.H.Esophagus.4	9	TRUE
C.H.Esophagus.5	6	TRUE
C.H.Esophagus.6	7	TRUE
C.H.Esophagus.7	53	FALSE
C.H.Esophagus.8	54	FALSE
C.H.Head.1	49	TRUE
C.H.Head.2	2	TRUE
C.H.Head.3	1	TRUE
C.H.Head.4	8	TRUE
C.H.Head.5	12	TRUE
C.H.Head.6	7	TRUE
C.H.Head.7	47	TRUE
C.H.Head.8	30	TRUE
C.H.Head.9	11	TRUE
C.H.Head.10	55	TRUE
C.H.Kidney.1	1	TRUE
C.H.Kidney.2	7	TRUE
C.H.Kidney.3	2	TRUE
C.H.Kidney.4	56	TRUE
C.H.Kidney.5	8	TRUE
C.H.Kidney.6	13	TRUE
C.H.Liver.1	3	TRUE
C.H.Liver.2	1	TRUE
C.H.Liver.3	12	TRUE
C.H.Liver.4	2	TRUE
C.H.Liver.5	55	TRUE
C.H.Liver.6	7	TRUE
C.H.Liver.7	13	TRUE
C.H.Lung.1	1	TRUE
C.H.Lung.2	5	TRUE
C.H.Lung.3	2	TRUE
C.H.Lung.4	13	TRUE
C.H.Lung.5	3	TRUE
C.H.Lung.6	7	TRUE
C.H.Lung.7	35	TRUE
C.H.Lung.8	6	TRUE
C.H.Lung.9	22	TRUE
C.H.Lung.10	40	TRUE
C.H.Lung.11	57	TRUE
C.H.Lung.12	17	TRUE
C.H.Lung.13	34	TRUE
C.H.Lung.14	58	FALSE
C.H.Lymphoid.1	4	TRUE
C.H.Lymphoid.2	2	TRUE
C.H.Lymphoid.3	7	TRUE
C.H.Lymphoid.4	15	TRUE
C.H.MSI.1	1	TRUE
C.H.MSI.2	2	TRUE
C.H.MSI.3	9	TRUE
C.H.MSI.4	5	TRUE
C.H.MSI.5	15	TRUE
C.H.MSI.6	6	TRUE
C.H.MSI.7	59	TRUE
C.H.MSI.8	47	TRUE
C.H.MSI.9	26	TRUE
C.H.MSI.10	40	TRUE
C.H.MSI.11	35	TRUE
C.H.MSI.12	60	TRUE
C.H.MSI.13	61	FALSE
C.H.MSI.14	62	TRUE
C.H.MSI.15	27	TRUE
C.H.MSI.16	63	FALSE
C.H.MSI.17	7	TRUE
C.H.MSI.18	43	TRUE
C.H.MSI.19	64	FALSE
C.H.MSI.20	44	TRUE
C.H.Other.1	2	TRUE
C.H.Other.2	8	TRUE
C.H.Other.3	19	TRUE
C.H.Other.4	7	TRUE
C.H.Other.5	5	TRUE
C.H.Other.6	1	TRUE
C.H.Other.7	65	TRUE
C.H.Other.8	6	TRUE
C.H.Other.9	66	TRUE
C.H.Other.10	9	TRUE
C.H.Other.11	24	TRUE
C.H.Other.12	57	TRUE
C.H.Other.13	18	TRUE
C.H.Other.14	67	FALSE
C.H.Other.15	4	TRUE
C.H.Other.16	22	TRUE
C.H.Other.17	62	TRUE
C.H.Ovary.1	1	TRUE
C.H.Ovary.2	6	TRUE
C.H.Ovary.3	2	TRUE
C.H.Ovary.4	7	TRUE
C.H.Ovary.5	36	TRUE
C.H.Ovary.6	16	TRUE
C.H.Ovary.7	66	TRUE
C.H.Pancreas.1	2	TRUE
C.H.Pancreas.2	1	TRUE
C.H.Pancreas.3	6	TRUE
C.H.Pancreas.4	28	FALSE
C.H.Pancreas.5	7	TRUE
C.H.Pancreas.6	68	FALSE
C.H.Prostate.1	1	TRUE
C.H.Prostate.2	2	TRUE
C.H.Prostate.3	5	TRUE
C.H.Prostate.4	6	TRUE
C.H.Prostate.5	31	TRUE
C.H.Prostate.6	65	TRUE
C.H.Prostate.7	13	TRUE
C.H.Prostate.8	36	TRUE
C.H.Prostate.9	8	TRUE
C.H.Prostate.10	26	TRUE
C.H.Prostate.11	27	TRUE
C.H.Prostate.12	69	FALSE
C.H.Prostate.13	47	TRUE
C.H.Prostate.14	44	TRUE
C.H.Skin.1	1	TRUE
C.H.Skin.2	35	TRUE
C.H.Skin.3	7	TRUE
C.H.Skin.4	15	TRUE
C.H.Skin.5	2	TRUE
C.H.Skin.6	5	TRUE
C.H.Skin.7	8	TRUE
C.H.Skin.8	17	TRUE
C.H.Skin.9	70	FALSE
C.H.Skin.10	21	TRUE
C.H.Skin.11	45	TRUE
C.H.Skin.12	11	TRUE
C.H.Skin.13	67	FALSE
C.H.Skin.14	66	TRUE
C.H.Skin.15	13	TRUE
C.H.Skin.16	71	FALSE
C.H.Stomach.1	2	TRUE
C.H.Stomach.2	23	FALSE
C.H.Stomach.3	9	TRUE
C.H.Stomach.4	6	TRUE
C.H.Stomach.5	4	TRUE
C.H.Thymus.1	1	TRUE
C.H.Thymus.2	2	TRUE
C.H.Thymus.3	7	TRUE
C.H.Thymus.4	72	TRUE
C.H.Uterus.1	1	TRUE
C.H.Uterus.2	2	TRUE
C.H.Uterus.3	6	TRUE
C.H.Uterus.4	73	FALSE
C.H.Uterus.5	7	TRUE
C.H.Uterus.6	26	TRUE
C.H.Uterus.7	74	FALSE
C.P.All.1	2	TRUE
C.P.All.2	1	TRUE
C.P.All.3	75	TRUE
C.P.All.4	9	TRUE
C.P.All.5	6	TRUE
C.P.All.6	15	TRUE
C.P.All.7	16	TRUE
C.P.All.8	8	TRUE
C.P.All.9	56	TRUE
C.P.All.10	76	TRUE
C.P.All.11	5	TRUE
C.P.All.12	36	TRUE
C.P.All.13	47	TRUE
C.P.All.14	77	FALSE
C.P.All.15	78	TRUE
C.P.All.16	79	TRUE
C.P.All.17	12	TRUE
C.P.All.18	26	TRUE
C.P.All.19	60	TRUE
C.P.All.20	42	TRUE
C.P.All.21	80	FALSE
C.P.All.22	81	FALSE
C.P.All.23	82	TRUE
C.P.All.24	83	TRUE
C.P.All.25	21	TRUE
C.P.All.26	84	TRUE
C.P.All.27	85	TRUE
C.P.Biliary.1	1	TRUE
C.P.Biliary.2	2	TRUE
C.P.Biliary.3	86	TRUE
C.P.Biliary.4	37	TRUE
C.P.Biliary.5	87	FALSE
C.P.Biliary.6	88	FALSE
C.P.Bladder.1	1	TRUE
C.P.Bladder.2	75	TRUE
C.P.Bladder.3	89	FALSE
C.P.Bladder.4	4	TRUE
C.P.Bladder.5	2	TRUE
C.P.Bone.SoftTissue.1	36	TRUE
C.P.Bone.SoftTissue.2	1	TRUE
C.P.Bone.SoftTissue.3	12	TRUE
C.P.Bone.SoftTissue.4	90	FALSE
C.P.Breast.1	91	TRUE
C.P.Breast.2	6	TRUE
C.P.Breast.3	86	TRUE
C.P.Breast.4	40	TRUE
C.P.Breast.5	2	TRUE
C.P.Breast.6	24	TRUE
C.P.Breast.7	12	TRUE
C.P.CNS.1	1	TRUE
C.P.CNS.2	45	TRUE
C.P.CNS.3	47	TRUE
C.P.CNS.4	12	TRUE
C.P.CNS.5	92	FALSE
C.P.CNS.6	36	TRUE
C.P.Colon.1	1	TRUE
C.P.Colon.2	2	TRUE
C.P.Colon.3	93	TRUE
C.P.Colon.4	9	TRUE
C.P.Colon.5	94	FALSE
C.P.Colon.6	10	TRUE
C.P.Colon.7	84	TRUE
C.P.Colon.8	51	FALSE
C.P.Colon.9	95	FALSE
C.P.Colon.10	96	FALSE
C.P.Colon.11	97	FALSE
C.P.Esophagus.1	91	TRUE
C.P.Esophagus.2	4	TRUE
C.P.Esophagus.3	2	TRUE
C.P.Esophagus.4	9	TRUE
C.P.Esophagus.5	98	FALSE
C.P.Esophagus.6	55	TRUE
C.P.Esophagus.7	99	FALSE
C.P.Head.1	5	TRUE
C.P.Head.2	1	TRUE
C.P.Head.3	2	TRUE
C.P.Head.4	6	TRUE
C.P.Head.5	100	FALSE
C.P.Head.6	12	TRUE
C.P.Head.7	101	FALSE
C.P.Kidney.1	1	TRUE
C.P.Kidney.2	2	TRUE
C.P.Kidney.3	56	TRUE
C.P.Kidney.4	83	TRUE
C.P.Kidney.5	102	FALSE
C.P.Kidney.6	55	TRUE
C.P.Liver.1	75	TRUE
C.P.Liver.2	1	TRUE
C.P.Liver.3	2	TRUE
C.P.Liver.4	16	TRUE
C.P.Liver.5	6	TRUE
C.P.Liver.6	78	TRUE
