Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
SP24708	0	75	58	1	15	48	0	65	58	40	20	0	43	0	2	0
SP24301	3	142	83	7	29	76	3	102	59	55	15	0	37	0	11	19
SP27201	0	80	108	7	15	57	1	56	73	48	13	0	17	0	14	8
SP28791	0	25	23	11	4	8	0	18	42	23	2	0	0	0	2	9
SP23739	18	24	23	3	23	32	0	40	48	22	4	0	6	6	2	2
SP24702	40	96	63	0	20	41	0	66	48	68	6	3	0	6	15	11
SP25332	0	17	13	4	14	9	1	34	8	6	6	0	0	31	7	4
SP28335	7	17	30	4	23	4	0	68	50	29	4	0	33	25	7	11
SP26709	0	76	22	3	19	9	0	26	14	5	0	0	13	29	6	10
SP25350	0	43	50	10	6	78	2	92	51	33	9	4	29	23	3	10
SP25380	2	82	97	11	17	60	5	40	80	58	13	0	19	0	10	10
SP24565	0	9	13	0	27	25	0	78	41	0	8	0	21	10	0	5
SP25833	0	95	34	0	20	37	0	56	65	52	4	0	2	26	14	6
SP25905	14	0	20	1	24	16	1	17	52	22	0	0	23	15	0	3
SP26439	0	20	16	0	11	0	1	7	14	40	0	12	4	18	13	5
SP24236	9	80	121	9	9	66	0	64	119	75	0	0	48	0	0	3
SP23925	3	44	121	2	41	1095	0	323	21	21	18	0	46	15	7	0
SP24815	17	71	89	3	31	31	2	95	72	31	27	0	95	0	0	12
SP27957	27	26	59	0	17	40	0	33	53	63	9	0	0	36	8	4
SP27603	0	42	41	0	20	26	1	56	57	60	9	0	45	0	8	14
SP27825	18	63	87	0	28	45	1	88	64	68	16	8	17	3	3	9
SP24135	0	56	78	4	325	78	3	114	102	205	38	7	18	0	23	13
SP26499	0	36	27	1	13	16	0	22	36	27	12	12	0	27	9	11
SP25518	36	56	99	6	18	69	11	19	122	92	0	0	24	0	0	5
SP28659	65	51	102	3	389	123	0	107	139	159	31	1	0	4	17	0
SP23622	6	43	51	0	4	44	7	94	59	38	12	6	7	0	6	15
SP27939	0	49	26	2	7	18	0	44	42	70	21	0	18	5	4	10
SP23754	0	5	16	1	6	7	1	6	23	23	3	2	0	36	0	0
SP29697	13	62	40	6	7	31	0	34	27	36	16	5	26	0	0	10
SP27339	7	48	36	0	16	8	2	67	43	31	11	0	25	0	12	6
SP29559	11	51	14	8	421	16	1	0	90	112	10	7	66	0	0	7
SP29331	12	33	71	1	28	36	1	40	85	51	24	0	14	36	5	16
SP26475	13	84	53	1	14	14	0	50	44	42	22	0	43	0	17	10
SP23775	0	40	75	0	369	72	0	80	114	132	16	0	6	108	0	8
SP28275	7	24	16	0	18	41	0	44	21	24	0	0	22	57	3	11
SP28581	0	68	72	3	20	50	0	53	53	64	5	0	0	5	11	17
SP23639	0	61	59	0	26	52	2	78	63	42	17	0	20	34	8	11
SP24391	22	56	48	0	16	40	2	54	60	47	14	0	65	0	2	0
SP28041	50	57	107	1	13	65	0	72	72	67	11	5	0	13	4	0
SP25494	135	50	173	1	599	146	4	111	298	261	10	0	137	0	23	8
SP26649	0	53	45	0	26	48	1	137	37	43	8	0	0	32	6	0
SP78927	7	35	4	0	1	1	0	0	7	0	0	2	0	0	1	5
