MutationType	CPCT02030262T	CPCT02190001T	CPCT02160010T	CPCT02330006T	CPCT02030290T	CPCT02060058T	CPCT02130025T	CPCT02060167T	CPCT02090031T	CPCT02220061T	DRUP01020037T	CPCT02380033T	CPCT02100135T	CPCT02080286T	CPCT02380032T	CPCT02250006T	CPCT02050312T	CPCT02270017T	CPCT02060210T	CPCT02090039T	CPCT02110060T	CPCT02130044T	CPCT02130047T	WIDE01010068T	WIDE01010103T	CPCT02440009T	WIDE01010243T	CPCT02130079T	CPCT02130082T	CPCT02210054T	CPCT02120131T	CPCT02370030T	CPCT02090047T	CPCT02130118T	CPCT02080238T	CPCT02130120T	CPCT02030501T	CPCT02190041T	CPCT02130133T	CPCT02130129T	CPCT02290049T	CPCT02380050T	CPCT02090060T	CPCT02210068T	CPCT02410012T	DRUP01090022T	CPCT02050246T	CPCT02050244T	CPCT02060111T	CPCT02050070T	CPCT02250001T	CPCT02070231T	CPCT02210016T	CPCT02070132T	CPCT02180029T	CPCT02050195T	CPCT02060107T	CPCT02070177T	CPCT02030366T	CPCT02050223T	CPCT02060116T	CPCT02050239T	CPCT02210031T	CPCT02230035T	CPCT02050089T	CPCT02180009T	CPCT02330014T	CPCT02230001T	CPCT02040083T	CPCT02180020T	CPCT02050135T	CPCT02020483T	CPCT02080091T	CPCT02260012T	CPCT02210036T	CPCT02130014T	CPCT02130010T	CPCT02250002T	CPCT02090027T	DRUP01070119T	CPCT02050447T	CPCT02330135T	CPCT02200008T	CPCT02200009T
A[Del(C):R1]A	1	3	9	3	14	1	7	7	2	4	8	3	3	1	5	6	0	5	1	2	1	0	3	6	1	0	3	2	2	2	3	5	13	1	4	5	2	6	3	2	3	6	7	3	4	3	1	3	3	1	1	5	363	3	1	3	3	2	5	4	4	3	4	2	15	17	1	0	4	8	12	4	6	1	3	5	5	0	1	18	6	2	1	4
A[Del(C):R1]G	0	1	2	0	0	0	0	2	0	0	0	0	1	0	0	0	1	2	1	1	1	0	1	0	0	0	0	0	2	1	2	0	0	0	1	1	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	20	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0
A[Del(C):R1]T	2	4	3	3	12	2	1	2	4	1	11	4	1	1	1	3	3	0	1	3	2	1	5	1	1	2	2	1	2	2	0	9	10	2	1	3	0	10	2	1	1	2	5	6	2	4	6	1	7	0	3	5	35	1	1	3	4	5	3	1	1	2	9	4	6	15	1	0	3	7	5	3	3	1	1	4	2	1	2	7	2	1	5	3
A[Del(C):R2]A	1	0	0	0	4	0	1	4	0	1	2	1	2	0	1	1	1	1	2	0	1	0	2	1	0	2	1	1	0	1	0	0	0	0	3	0	2	1	1	0	1	2	2	2	0	3	3	0	0	1	2	2	61	0	4	3	0	1	1	0	0	1	1	0	4	2	0	1	2	2	1	1	2	1	2	2	6	0	0	2	1	0	0	2
A[Del(C):R2]G	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A[Del(C):R2]T	0	4	3	0	2	1	1	0	5	2	1	0	1	0	1	4	2	2	1	0	1	0	1	2	1	1	0	0	0	0	1	1	3	0	1	2	2	3	1	2	0	2	3	4	0	2	1	0	0	1	2	1	37	0	0	2	2	0	2	1	1	4	2	1	1	13	0	0	0	1	3	2	1	1	0	2	3	0	2	3	0	1	0	1
A[Del(C):R3]A	0	0	3	1	7	1	1	1	3	0	0	1	1	0	3	2	0	3	3	2	0	0	0	2	1	0	0	0	2	3	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	5	0	1	2	0	3	0	57	1	0	3	1	0	0	1	0	4	1	1	1	7	0	1	0	2	3	2	0	0	1	0	3	0	0	0	1	2	0	0
A[Del(C):R3]G	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A[Del(C):R3]T	0	1	1	0	6	1	0	5	1	0	1	0	0	0	3	1	1	0	1	0	1	2	0	1	0	1	1	1	2	1	0	1	1	2	0	0	0	1	1	0	2	4	4	2	1	3	1	0	1	1	0	0	38	0	0	1	1	0	1	0	1	0	0	0	0	5	0	0	0	4	1	0	2	0	2	1	1	1	0	2	0	2	0	1
A[Del(C):R4]A	1	2	1	0	2	0	2	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	2	2	1	0	0	1	1	0	2	0	1	1	0	1	2	1	1	0	1	0	125	1	2	1	0	1	0	0	0	1	0	0	5	1	0	0	0	1	0	0	3	0	1	0	2	2	0	3	0	0	0	0
