MutationType	SP109953	SP107650	SP13206	SP13078	SP107607	SP109941	SP109801	SP13072	SP107595	SP107640	SP13084	SP107603	SP109957	SP114020	SP96540	SP114032	SP107624	SP107575	SP13242	SP114016	CPCT02070011T	CPCT02020317T	CPCT02010352T	CPCT02010362T	CPCT02010366T	CPCT02010383T	CPCT02050049T	CPCT02020350T	CPCT02060023T	CPCT02080030T	CPCT02060010T	CPCT02040037T	CPCT02070018T	CPCT02080041T	CPCT02070029T	CPCT02060033T	CPCT02020399T	CPCT02140024T	CPCT02080050T	CPCT02030293T	CPCT02010441T	CPCT02090030T	CPCT02010718T	CPCT02020653T	CPCT02340008TII	CPCT02020876T	CPCT02370016T	CPCT02070275T	CPCT02011028T	CPCT02230072T	CPCT02130028T	CPCT02060182T	CPCT02020657T	DRUP01090026T	CPCT02130029T	CPCT02340010TII	DRUP01020022T	CPCT02120103T	CPCT02300030T	CPCT02150044T	CPCT02020920T	CPCT02080192T	CPCT02130170T	CPCT02260014T	CPCT02020922T	CPCT02011072T	CPCT02010758T	WIDE01010006T	CPCT02040220T	CPCT02100157T	CPCT02230088T	CPCT02130178T	WIDE01010017T	WIDE01010025T	WIDE01010028T	WIDE01010012T	WIDE01010031T	CPCT02020956T	CPCT02010774T	CPCT02010756T	WIDE01010045T	CPCT02080204T	WIDE01010037T	WIDE01010056T	CPCT02070298T	WIDE01010594T	WIDE01010078T	CPCT02130054T	CPCT02040228T	WIDE01010051T	CPCT02050319T	CPCT02020689T	WIDE01010043T	WIDE01010112T	WIDE01010092T	WIDE01010119T	CPCT02170022T	WIDE01010120T	WIDE01010127T	CPCT02300036T	WIDE01010146T	CPCT02070309T	WIDE01010157T	WIDE01010170T	CPCT02020696T	CPCT02030471T	CPCT02130032T	CPCT02070310T	WIDE01010164T	WIDE01010190T	WIDE01010182T	DRUP01050040TII	WIDE01010225T	CPCT02050348T	WIDE01010275T	CPCT02010810T	CPCT02060206T	WIDE01010284T	WIDE01010330T	WIDE01010312T	WIDE01010317T	WIDE01010337T	CPCT02220043T	CPCT02130094T	WIDE01010329T	WIDE01010331T	CPCT02010828T	WIDE01010101T	WIDE01010349T	WIDE01010342T	WIDE01010359T	WIDE01010370T	WIDE01010369T	CPCT02340084T	DRUP01030015T	CPCT02060236T	CPCT02120125T	CPCT02230098T	DRUP01090015T	WIDE01010401T	CPCT02230105T	CPCT02080223T	CPCT02020730T	CPCT02010831T	WIDE01010428T	CPCT02290039T	CPCT02010843T	CPCT02130103T	CPCT02070337T	WIDE01010440T	WIDE01010404T	CPCT02080229T	CPCT02050363T	CPCT02040250T	CPCT02040251T	CPCT02260022T	CPCT02340090T	CPCT02450013T	CPCT02070347T	CPCT02060140T	CPCT02020720T	CPCT02230109T	DRUP01090019T	CPCT02120144T	CPCT02080240T	CPCT02130125T	CPCT02070355T	CPCT02010872T	CPCT02010878T	CPCT02090054T	CPCT02330117T	CPCT02170031T	CPCT02020765T	CPCT02010851T	CPCT02020756T	DRUP01170001T	WIDE01010617T	WIDE01010627T	CPCT02030502T	CPCT02030507T	WIDE01010595T	CPCT02040273T	CPCT02030520T	CPCT02110075T	CPCT02290050T	CPCT02290053T	CPCT02080257T	CPCT02290054T	CPCT02080256T	CPCT02030497T	DRUP01290001T	CPCT02070372T	CPCT02290051T	CPCT02020815T	CPCT02040271T	CPCT02130154T	CPCT02120164T	CPCT02020797T	DRUP01010099T	CPCT02340104T	CPCT02380018T	CPCT02340010TIII	CPCT02060033TII	CPCT02020582T	DRUP01050040T	CPCT02180041T	CPCT02060137T	CPCT02070403T	CPCT02050264T	CPCT02060143T	CPCT02010988T	CPCT02010993T	CPCT02450003T	CPCT02230049T	CPCT02010995T	CPCT02010878TII	CPCT02010656T	CPCT02010645T	DRUP01330016T	DRUP01080005T	CPCT02020879T	DRUP01090004T	CPCT02020613T	DRUP01110006T	CPCT02010993TII	CPCT02060125T	CPCT02010647T	CPCT02170013T	CPCT02170009T	CPCT02170012T	CPCT02020608T	CPCT02010653T	CPCT02230061T	CPCT02050282T	CPCT02010560T	CPCT02380007T	CPCT02380006T	CPCT02080105T	CPCT02340010T	CPCT02010574T	CPCT02180026T	CPCT02100074T	CPCT02120018T	CPCT02380008T	CPCT02170003T	CPCT02020523T	CPCT02060081T	CPCT02110035T	CPCT02080118T	CPCT02010589T	CPCT02030349T	CPCT02110039T	CPCT02030353T	CPCT02020540T	CPCT02010611T	CPCT02010608T	CPCT02330041T	CPCT02380013T	CPCT02010613T	CPCT02010577T	CPCT02050202T	CPCT02020559T	CPCT02050213T	CPCT02020568T	CPCT02030364T	CPCT02050192T	CPCT02010596T	CPCT02030365T	DRUP01010036T	CPCT02230043T	CPCT02080135T	CPCT02050229T	CPCT02010632T	CPCT02020579T	CPCT02020587T	CPCT02070040T	CPCT02070050T	CPCT02300004T	CPCT02020424T	CPCT02020433T	CPCT02010466T	CPCT02010454T	CPCT02140036T	CPCT02010350T	CPCT02100039T	CPCT02050106T	CPCT02020415T	CPCT02180014T	CPCT02090006T	CPCT02020444T	CPCT02030314T	CPCT02190010T	DRUP01010013T	CPCT02080086T	CPCT02010438T	CPCT02190012T	CPCT02010486T	CPCT02060077T	CPCT02020491T	CPCT02010538T	CPCT02170001T	CPCT02170002T	CPCT02050142T	CPCT02080071T	CPCT02020499T	CPCT02340008T	CPCT02020505T	CPCT02080158T	CPCT02010571T	CPCT02380010T	CPCT02110047T	CPCT02030425T	CPCT02080168T	CPCT02020641T	CPCT02230065T	CPCT02330074T	CPCT02010697T	CPCT02090028T	CPCT02450008T	CPCT02010688T	CPCT02020646T	CPCT02010704T	CPCT02010705T	CPCT02250003T	CPCT02010698T	WIDE01010622T	WIDE01010631T	WIDE01010635T	WIDE01010636T	WIDE01010658T	WIDE01010504T	WIDE01010493T	WIDE01010304T	WIDE01010568T	WIDE01010464T	WIDE01010467T	WIDE01010486T	WIDE01010516T	WIDE01010510T	WIDE01010583T	WIDE01010566T	WIDE01010578T	WIDE01010599T	WIDE01010604T	WIDE01010614T	WIDE01010662T	WIDE01010672T	WIDE01010686T	WIDE01010532T	WIDE01010703T	WIDE01010712T	WIDE01010721T	WIDE01010663T
A[Del(C):R1]A	1	2	1	3	3	0	2	1	3	1	3	1	3	0	3	2	2	4	3	2	9	3	1	1	1	0	3	1	3	65	9	7	2	8	6	7	19	10	3	2	110	3	3	1	2	1	2	3	10	93	2	3	3	5	0	6	1	4	2	1	4	2	11	13	0	1	0	1	1	5	253	5	0	1	9	7	4	0	1	2	2	1	12	3	7	1	6	3	2	8	4	1	3	4	1	5	4	1	152	8	4	1	52	1	2	2	3	17	7	7	12	14	6	6	4	2	126	2	2	107	9	13	15	3	43	1	24	75	5	5	1	2	2	10	2	3	58	14	2	6	4	2	7	30	3	13	2	2	3	1	2	11	4	1	6	7	4	1	10	2	0	9	4	1	10	2	2	2	1	25	3	3	4	2	5	4	8	4	7	2	6	1	2	10	3	1	2	2	2	43	13	1	0	225	6	3	34	1	2	4	4	7	7	4	10	4	2	2	3	36	6	5	6	18	5	2	0	4	14	101	3	4	6	3	4	2	4	13	2	1	2	2	7	8	3	1	23	77	8	2	10	4	6	5	4	6	5	2	5	3	77	2	14	19	0	7	39	0	5	2	3	4	2	3	1	1	1	2	1	5	9	2	2	3	9	11	6	4	2	1	0	0	2	1	17	6	4	4	5	13	3	4	2	101	1	17	2	5	115	2	1	4	0	12	3	8	9	6	2	5	6	9	0	4	5	7	0	14	2	3	4	6	4	9	3	4	2	4	16	18	2	0	3	1	7	0	0	4	3	2	3	30	5	8	5	7	0	3	3	7	4	6	1
A[Del(C):R1]G	1	0	0	0	1	0	1	2	1	0	0	0	1	0	0	0	0	1	0	3	5	0	0	0	0	0	0	0	0	8	2	0	0	4	0	2	0	1	0	0	11	1	0	0	2	0	1	1	0	20	1	0	0	0	0	1	0	1	1	0	0	2	0	1	1	1	0	0	0	2	28	0	1	0	1	1	1	0	1	0	1	0	3	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	10	1	2	1	6	0	0	0	1	0	1	0	0	0	1	0	0	0	14	0	0	6	2	0	2	0	3	1	1	4	0	0	0	0	0	0	1	0	3	1	0	5	0	0	0	6	0	2	0	4	0	0	0	3	0	0	4	0	2	0	2	0	0	0	1	2	1	2	0	0	0	4	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	3	0	0	19	0	0	4	0	0	2	0	1	1	0	0	1	0	0	0	2	0	1	0	2	0	0	0	0	0	10	0	0	1	0	1	1	0	0	0	0	0	0	2	1	0	0	4	6	1	1	0	1	0	1	1	0	0	0	1	1	9	3	3	5	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	2	2	0	0	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	2	0	1	0	1	10	0	2	0	0	11	0	0	0	0	1	0	0	0	1	0	1	0	3	0	1	0	3	0	0	0	1	1	0	1	2	0	3	0	0	2	1	0	1	0	0	0	0	0	1	1	0	0	1	3	0	1	0	0	0	1	0	1	0	0
A[Del(C):R1]T	0	1	1	0	4	1	0	1	1	1	1	4	5	1	0	2	1	1	0	2	2	4	1	1	1	1	6	2	2	14	5	1	3	7	2	5	28	3	5	1	10	1	1	3	0	1	7	2	2	41	2	0	1	1	2	0	3	1	2	0	5	4	8	5	0	0	1	0	1	3	65	4	1	3	13	7	5	0	1	3	3	1	8	5	2	4	12	1	2	3	3	0	5	2	2	2	1	1	41	6	0	3	14	2	0	3	3	8	13	6	7	12	15	9	2	3	28	3	2	36	15	6	24	6	18	0	7	16	5	1	2	6	1	3	4	3	12	2	1	6	3	6	11	23	2	13	1	3	8	2	2	2	5	2	0	4	1	1	4	1	0	6	4	3	5	7	3	0	4	25	5	4	4	2	8	22	6	0	1	2	2	1	4	8	5	1	1	1	3	14	12	2	4	68	3	2	17	1	3	0	8	0	4	4	6	2	1	1	2	16	2	3	0	4	1	5	1	3	11	32	2	2	5	5	3	1	3	8	3	9	1	3	4	5	2	1	7	26	2	1	9	4	5	2	3	3	0	2	0	1	7	2	12	7	1	5	19	2	1	1	1	6	1	3	1	1	3	1	1	7	10	1	3	3	5	8	5	3	1	1	2	1	1	0	8	3	2	1	0	5	5	2	0	30	0	4	3	4	26	2	6	2	1	7	1	3	7	1	1	3	7	3	1	2	3	10	1	13	5	1	0	0	1	11	1	3	4	6	9	7	2	3	2	3	6	0	2	3	7	7	2	7	3	5	4	7	0	1	2	1	4	3	2
A[Del(C):R2]A	0	0	0	0	2	0	2	2	1	0	1	1	1	0	0	0	1	0	3	0	1	2	1	1	0	1	1	4	4	75	2	0	2	7	1	2	1	3	0	1	19	2	0	2	1	0	4	0	3	21	0	1	0	3	1	2	0	0	3	1	1	1	4	1	0	1	2	0	2	1	176	2	1	0	5	2	6	2	1	1	0	1	2	1	0	0	3	1	1	1	0	2	0	2	0	2	1	3	120	2	3	2	49	0	4	0	3	2	1	1	5	0	0	2	6	1	98	0	0	97	3	15	5	4	77	1	27	65	1	1	1	2	0	11	0	2	46	2	1	2	1	1	6	42	0	6	0	4	1	0	1	9	3	0	6	1	1	2	2	1	0	2	4	0	8	1	2	0	2	9	1	5	2	1	2	1	0	0	2	0	2	0	2	2	4	3	0	1	1	61	6	1	0	184	2	1	36	0	2	0	5	3	1	4	0	1	1	0	0	34	0	0	2	11	3	2	1	2	6	92	1	2	1	3	1	3	1	2	2	2	3	1	5	3	0	0	28	82	3	1	8	0	2	2	2	0	1	0	0	0	15	0	7	25	0	0	8	0	0	1	1	3	3	4	0	1	0	0	2	1	2	0	0	2	9	0	0	4	0	1	0	1	1	0	1	6	1	2	2	7	1	1	2	93	0	7	2	0	156	2	0	0	1	7	2	1	5	4	0	1	3	10	0	2	1	3	2	3	1	1	3	1	0	5	0	7	2	2	18	21	1	0	0	0	2	2	1	2	2	1	1	6	1	2	3	3	1	1	4	2	1	2	0
A[Del(C):R2]G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	45	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	11	1	0	0	0	0	0	3	0	0	0	0	0	0	13	0	0	16	1	2	1	0	10	0	2	12	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	5	0	1	0	1	1	0	0	4	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	29	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1	3	0	0	0	1	16	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	2	10	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	7	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	4	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	1	1	2	0	0	4	2	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
A[Del(C):R2]T	1	0	0	0	0	0	1	0	1	0	0	0	2	1	1	1	0	0	1	1	2	0	0	0	3	1	2	1	1	14	3	3	2	11	2	2	4	3	3	0	8	0	4	1	0	0	6	1	4	12	3	1	1	1	0	3	1	0	1	0	0	3	6	0	0	0	1	0	1	2	99	0	1	0	3	3	1	1	0	6	1	0	5	2	2	1	3	1	2	2	0	1	4	2	0	0	2	1	57	4	2	3	25	0	0	1	1	3	4	1	2	8	0	3	3	0	54	3	1	40	6	4	7	10	28	0	13	25	3	4	0	0	1	3	4	0	18	0	3	5	0	3	7	22	1	2	1	4	3	4	5	2	3	1	1	0	0	1	2	2	1	1	4	2	4	1	2	0	1	9	3	4	2	2	2	4	5	3	3	0	2	2	5	2	1	0	2	0	3	24	3	0	1	71	2	0	27	0	0	1	8	3	2	0	5	1	1	2	1	20	0	1	3	5	0	1	0	1	2	49	0	1	0	3	1	1	2	0	1	1	0	1	3	2	0	1	8	31	3	2	4	1	2	1	1	2	1	1	2	2	15	1	6	12	1	3	10	0	1	2	1	1	1	1	0	0	1	0	0	1	3	1	0	2	5	1	2	1	0	1	1	0	4	0	2	3	2	2	0	3	3	1	2	49	4	5	0	2	55	1	0	1	1	11	0	3	4	6	3	2	1	2	0	2	4	7	1	4	3	0	3	0	0	6	0	4	1	3	8	14	0	0	4	2	1	2	0	0	4	3	3	3	0	1	2	0	0	0	2	1	1	2	1
A[Del(C):R3]A	0	0	0	1	1	0	2	1	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	1	0	0	0	1	2	31	3	2	2	3	2	2	7	2	2	0	22	0	0	2	1	1	2	2	1	20	0	0	0	0	1	1	0	0	0	0	2	1	3	2	1	0	0	0	0	0	104	2	1	0	2	0	4	0	3	0	1	2	2	0	1	1	4	1	0	1	0	1	1	2	0	0	0	0	60	3	1	0	34	0	1	0	4	2	1	0	1	0	0	1	5	0	60	2	0	59	2	4	4	1	48	0	21	28	3	1	0	0	0	7	4	1	25	1	1	1	0	1	2	26	0	2	1	0	1	1	0	9	1	0	2	0	3	0	2	3	1	0	1	1	7	0	0	0	0	3	0	2	0	1	3	1	1	0	1	0	0	1	0	2	4	0	1	4	1	24	2	0	0	105	0	1	27	0	3	1	2	1	1	1	0	3	0	0	0	22	1	1	1	7	2	0	0	0	5	54	1	4	4	1	1	1	1	1	1	1	0	0	0	0	0	1	15	35	2	1	6	0	1	2	0	2	1	0	2	0	18	0	5	5	0	0	5	0	0	0	0	1	0	3	1	0	0	0	2	0	6	0	0	0	2	0	1	1	0	3	1	1	0	1	1	3	0	1	0	5	1	2	0	51	0	1	1	1	84	0	3	0	0	3	1	0	1	2	1	1	4	5	0	1	0	0	1	4	0	0	1	1	1	3	0	6	1	1	7	9	0	0	0	2	1	0	2	1	0	0	2	2	1	2	0	0	0	0	3	2	0	0	1
A[Del(C):R3]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	6	2	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	10	0	0	0	6	0	0	0	0	0	1	1	0	0	0	0	1	1	13	0	0	9	0	1	1	2	4	0	1	5	0	0	0	0	1	2	1	0	8	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	0	15	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	0	0	1	1	0	0	0	0	0	1	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	9	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0
A[Del(C):R3]T	0	1	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	2	0	0	0	1	0	14	2	1	0	1	0	1	3	2	1	0	13	0	1	2	0	0	0	1	1	15	2	0	0	0	1	0	2	2	2	1	1	0	1	1	0	1	2	0	1	1	50	2	0	1	1	2	2	1	0	0	0	2	3	0	2	1	2	1	0	0	1	2	1	1	1	1	0	1	36	0	0	1	15	2	1	1	0	0	1	2	5	4	2	1	0	0	26	0	1	20	1	5	0	0	12	1	3	15	1	2	1	1	1	4	1	0	15	1	1	0	2	4	1	11	1	1	0	3	4	1	1	4	2	1	2	0	0	1	3	2	1	1	2	0	1	2	1	1	0	3	1	1	0	2	1	1	1	1	1	3	0	0	0	0	1	0	1	0	0	10	1	0	0	40	2	0	13	0	0	2	2	0	1	1	3	1	0	0	1	13	0	3	0	1	1	0	0	0	3	16	0	0	1	0	3	2	1	0	1	2	0	0	1	1	0	0	9	16	0	1	4	1	1	1	0	0	2	1	0	1	15	0	3	9	1	0	6	0	0	0	1	2	0	0	1	0	0	0	0	1	1	0	1	3	4	0	5	1	1	0	1	0	0	1	2	2	0	0	2	4	2	1	2	15	1	0	0	1	40	3	1	0	0	3	0	0	1	0	0	0	2	3	2	0	0	5	1	3	2	0	3	0	0	3	3	2	1	1	7	4	0	2	0	1	1	0	0	1	0	0	1	6	0	0	0	0	1	0	0	1	0	0	0
A[Del(C):R4]A	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	2	1	2	3	0	0	0	0	0	0	2	18	3	0	1	2	0	0	0	9	0	0	59	1	2	0	0	1	0	1	0	28	1	1	1	1	0	0	0	1	1	0	1	0	4	3	0	0	0	0	0	0	58	0	3	1	0	1	2	0	1	0	1	3	1	0	0	0	3	0	0	2	0	0	1	2	0	1	0	0	35	4	0	0	9	1	0	1	2	2	2	1	2	0	2	0	0	0	22	1	1	30	0	5	2	1	21	0	5	14	3	0	0	1	0	4	2	0	13	0	0	1	2	0	3	13	1	2	0	0	0	1	1	0	0	1	3	0	0	0	1	1	0	0	2	0	3	2	0	0	1	1	3	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	4	0	13	3	0	0	40	0	0	13	0	1	0	5	0	0	0	0	1	2	0	1	14	0	2	1	3	2	1	0	0	1	26	0	0	2	1	2	1	1	2	0	0	1	2	1	2	0	0	10	22	0	0	3	0	1	0	1	0	1	1	0	0	37	0	2	9	0	0	5	0	0	0	1	0	1	0	0	0	0	1	2	0	1	0	1	0	2	0	2	1	0	0	0	0	0	0	2	0	0	1	0	3	1	1	0	24	0	0	0	0	41	0	2	1	0	0	0	0	0	1	2	2	0	1	1	3	1	3	0	2	2	0	1	0	0	0	1	2	2	1	6	5	1	0	1	0	1	1	1	0	1	0	2	18	0	2	1	2	0	0	1	0	1	0	0
