MutationType	CPCT02020318T	CPCT02010377T	CPCT02060017T	CPCT02060166T	DRUP01080024T	CPCT02300029T	CPCT02130024T	CPCT02370015T	CPCT02080291T	CPCT02330082T	CPCT02130035T	CPCT02020667T	CPCT02190030T	CPCT02070304T	CPCT02230093T	CPCT02170024T	CPCT02050342T	CPCT02130064T	CPCT02130063T	CPCT02080208T	CPCT02130066T	CPCT02130067T	CPCT02100172T	CPCT02130084T	CPCT02060220T	CPCT02100169T	CPCT02080218T	CPCT02050332T	DRUP01080031T	CPCT02040245T	DRUP01050048T	DRUP01010142T	CPCT02080224T	CPCT02260021T	CPCT02020762T	CPCT02130116T	CPCT02050342TII	CPCT02130138T	CPCT02130139T	CPCT02230115T	CPCT02010902T	CPCT02290056T	CPCT02130152T	DRUP01170003T	DRUP01010095T	DRUP01030024T	CPCT02040292T	DRUP01050035T	CPCT02020577T	CPCT02050263T	DRUP01010108T	DRUP01010109T	DRUP01010113T	CPCT02120059T	CPCT02170010T	CPCT02030398T	CPCT02050250T	CPCT02050076TII	CPCT02050182T	CPCT02070187T	CPCT02030373T	CPCT02020589T	CPCT02040154T	CPCT02050091T	CPCT02020406T	CPCT02020405T	CPCT02070052T	CPCT02060063T	CPCT02230004T	CPCT02300006T	CPCT02080066T	CPCT02010492T	CPCT02020460T	DRUP01010019T	CPCT02050133T	CPCT02050144T	CPCT02050286T	CPCT02130006T	CPCT02130003T	CPCT02340039T	CPCT02230075T	CPCT02080169T	CPCT02150005T	WIDE01010522T	WIDE01010696T
A[Del(C):R1]A	6	2	1	4	3	1	2	2	1	2	5	2	5	5	6	5	2	2	17	5	5	5	1	4	1	4	5	2	103	1	152	51	4	2	2	4	3	5	6	3	3	8	0	4	4	4	6	20	3	2	27	3	7	4	2	0	4	3	2	0	9	7	6	1	3	7	6	8	8	3	5	1	2	5	1	12	10	6	2	6	1	2	6	4	4
A[Del(C):R1]G	1	0	0	0	1	3	0	1	0	1	0	0	0	0	0	0	1	1	2	1	2	0	0	0	0	2	0	0	4	2	10	3	1	0	1	0	1	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
A[Del(C):R1]T	3	2	3	3	0	8	1	6	0	2	4	1	1	4	5	2	3	1	21	1	25	9	5	4	4	2	6	1	18	4	13	10	4	0	0	1	2	2	7	1	1	5	1	4	1	0	2	16	0	2	10	0	6	3	6	6	1	5	2	3	13	6	3	1	4	4	1	13	3	1	0	2	0	3	2	14	6	7	2	2	1	2	3	3	1
A[Del(C):R2]A	0	1	0	0	0	1	0	3	0	2	1	2	3	2	0	2	1	2	0	0	4	7	0	0	1	0	3	1	25	7	36	9	1	1	2	2	1	5	1	2	1	4	1	2	1	0	3	2	1	1	7	4	1	2	3	3	0	3	0	1	3	3	0	0	1	1	2	1	2	1	2	0	0	1	0	3	1	3	2	1	0	3	3	0	1
A[Del(C):R2]G	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	2	1	1	1	0	1	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
A[Del(C):R2]T	0	1	1	1	2	3	1	2	1	0	1	1	1	0	3	2	3	3	6	3	4	3	0	2	2	2	2	0	13	0	13	6	3	0	0	0	3	1	2	0	1	2	0	3	1	2	3	6	0	3	6	1	4	3	1	0	0	2	0	1	2	1	1	2	1	1	2	2	2	0	1	1	0	2	3	4	4	2	0	1	1	1	1	0	1
A[Del(C):R3]A	1	3	0	0	0	3	0	1	1	0	2	0	3	1	0	0	0	0	5	0	2	2	0	0	2	1	1	0	20	1	33	22	0	0	0	0	0	0	1	1	0	8	1	1	0	1	0	10	2	1	4	1	3	1	0	1	0	1	2	0	5	1	1	1	0	2	0	2	1	1	0	1	0	4	1	4	3	2	0	0	0	0	1	0	2
A[Del(C):R3]G	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	7	0	8	9	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0
A[Del(C):R3]T	2	2	0	0	1	2	1	0	0	0	0	6	0	2	0	0	1	1	5	1	1	2	0	3	0	1	0	1	15	2	11	11	1	0	2	0	1	0	1	0	0	1	0	0	0	0	2	6	1	1	6	3	1	1	0	0	0	1	0	1	6	1	1	0	0	0	0	1	0	1	0	0	0	2	0	2	2	0	1	0	1	0	0	0	0
A[Del(C):R4]A	0	2	2	2	0	1	0	0	1	1	0	1	4	1	0	1	1	1	2	0	1	4	0	1	4	1	2	2	65	3	63	32	0	1	0	0	1	0	1	1	0	2	0	0	0	1	0	3	0	1	5	0	1	3	0	0	2	1	1	0	1	1	3	1	0	0	0	0	0	1	0	0	1	4	1	2	1	1	1	0	0	0	0	0	0
