MutationType	CPCT02150038T	CPCT02040203T	CPCT02300038T	WIDE01010265T	CPCT02310012T	CPCT02080232T	CPCT02180068T	CPCT02290041T	CPCT02040278T	CPCT02310017T	CPCT02150022T	CPCT02150026T	CPCT02150030T	CPCT02180037T	CPCT02150033T	CPCT02230051T	CPCT02340030T	CPCT02340031T	CPCT02230066T	CPCT02180043T	CPCT02120032T	CPCT02300023T	CPCT02180001T	CPCT02330016T	CPCT02180015T	WIDE01010545T
A[Del(C):R1]A	4	0	5	2	7	7	16	11	7	13	1	11	8	3	3	5	9	9	2	7	20	7	14	9	4	16
A[Del(C):R1]G	0	0	0	0	2	1	0	2	1	0	0	0	1	0	0	0	3	0	0	0	3	1	0	0	0	0
A[Del(C):R1]T	4	0	7	7	11	10	21	8	5	10	4	8	6	4	2	2	12	7	3	13	8	3	9	3	3	9
A[Del(C):R2]A	1	1	2	1	1	0	1	3	2	2	0	2	1	0	0	3	2	1	2	2	3	1	1	1	1	2
A[Del(C):R2]G	0	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0
A[Del(C):R2]T	5	0	4	4	3	2	8	3	3	6	0	4	1	2	4	1	7	2	2	1	2	0	5	6	2	3
A[Del(C):R3]A	1	0	3	0	1	3	3	2	1	0	0	1	0	1	2	1	2	2	0	1	8	0	1	2	0	3
A[Del(C):R3]G	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A[Del(C):R3]T	1	0	1	0	1	1	2	0	1	5	0	1	3	2	0	1	0	0	1	0	1	1	3	3	0	2
A[Del(C):R4]A	1	0	3	0	1	2	5	3	1	8	0	2	2	0	0	1	0	0	2	0	12	0	1	1	0	1
A[Del(C):R4]G	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0
A[Del(C):R4]T	0	0	2	0	1	1	1	0	0	1	0	1	2	2	2	0	5	1	0	0	1	0	0	1	0	0
A[Del(C):R5]A	1	0	3	0	2	0	4	0	1	1	1	3	0	5	0	1	2	2	1	1	8	4	6	1	0	1
A[Del(C):R5]G	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
A[Del(C):R5]T	0	0	1	1	1	0	3	1	1	0	0	2	0	3	1	0	1	1	0	1	2	1	0	0	0	0
A[Del(C):R6]A	0	0	0	0	0	4	1	3	0	4	0	3	0	2	0	0	0	1	0	0	9	1	7	2	0	1
A[Del(C):R6]G	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
A[Del(C):R6]T	0	0	0	2	0	2	1	1	0	5	0	0	2	1	0	0	0	1	1	0	5	0	0	0	0	2
A[Del(C):R7]A	3	0	0	1	2	0	4	2	0	3	0	2	1	1	0	0	0	1	0	1	10	0	2	2	0	0
A[Del(C):R7]G	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
A[Del(C):R7]T	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	1
A[Del(C):R8]A	1	0	1	2	4	0	1	2	1	1	0	1	0	0	0	0	0	2	0	0	5	0	2	2	0	0
A[Del(C):R8]G	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
