MutationType	SP124389	SP124362	SP124394	SP124334	SP124339	SP124454	SP124380	SP124273	SP124357	SP124399	SP124311	SP124355	SP124434	SP124428	SP124449	SP124298	SP124431	SP124396	SP124409	SP124341	SP124353	SP124278	SP124376	SP124346	SP124439	SP124351	SP124406	SP124323	SP124391	SP124423	SP124382	SP124415	SP124436	SP124460	SP124425	SP124456	SP124367	SP124281	SP124377	SP124412	SP124333	SP124359	SP124286	SP124329	SP124326	SP124458	SP124401	SP124264	SP124384	SP124403	SP124462	SP124271	SP124336	SP124452	SP124386	SP124441	SP124418	SP124291	SP124319	SP124305	SP124447	SP124344	SP124369	SP124348	SP124295	SP124444	SP124365	SP124420	SP124364	SP124307	SP82445	SP83242	SP103894	SP83382	SP82451	SP104330	SP83312	SP82614	SP82431	SP82459	SP113197	SP82532	SP82636	SP82796	SP83482	SP104530	SP82429	SP82644	SP82988	SP82461	SP82900	SP82399	SP82756	SP82836	SP82417	SP82471	SP82435	SP104056	SP83083	SP82433	SP82780	SP83019	SP83099	SP83146	SP103866	SP83844	SP83027
A[Del(C):R1]A	4	6	2	9	0	3	6	3	3	8	7	1	4	25	4	17	5	7	9	5	1	2	4	10	11	0	8	0	4	2	41	24	17	10	4	4	5	0	5	4	1	3	0	2	1	15	30	6	22	2	8	13	3	4	8	10	5	0	5	3	32	0	5	5	3	1	8	5	9	4	22	4	16	6	6	0	5	7	21	6	0	15	5	6	4	10	4	13	1	6	9	9	2	2	6	8	1	28	5	3	6	8	3	16	4	5	3
A[Del(C):R1]G	1	3	1	1	0	0	3	1	0	2	4	0	1	1	0	3	3	0	1	0	1	0	2	1	1	0	0	0	0	0	10	3	1	0	0	0	1	0	3	0	0	1	0	0	1	1	3	1	5	0	1	1	0	1	3	1	1	0	1	0	6	1	0	0	1	0	2	1	0	0	4	1	4	2	0	1	1	0	4	1	1	4	0	0	0	2	0	0	0	2	1	1	0	2	3	0	1	11	0	2	0	0	1	0	2	1	1
A[Del(C):R1]T	3	4	7	5	1	7	7	4	4	11	4	4	7	13	7	9	6	3	9	4	3	2	5	5	5	1	10	1	2	2	45	24	11	9	3	2	7	2	6	3	5	5	2	1	4	10	28	14	15	1	10	12	2	3	2	6	5	2	3	4	35	4	10	3	6	1	11	3	5	6	28	7	12	2	5	0	4	3	17	10	5	12	4	3	7	13	4	4	2	8	13	6	0	0	5	1	1	18	7	2	3	9	3	26	11	5	0
A[Del(C):R2]A	3	7	2	0	0	3	1	0	1	3	2	1	2	2	1	5	3	0	7	5	0	0	4	0	3	1	4	1	0	1	16	6	9	4	2	0	1	2	5	1	2	1	0	1	2	3	2	2	10	1	0	0	0	1	2	1	3	1	3	3	7	2	1	0	0	0	8	6	2	2	7	1	8	1	2	0	1	2	4	3	0	2	0	2	0	2	3	2	0	1	1	5	0	1	5	1	1	8	3	1	0	2	0	7	4	6	0
A[Del(C):R2]G	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	2	3	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	1	0	1	0	0	0	0	0
A[Del(C):R2]T	3	2	1	1	0	0	1	1	2	3	5	0	2	2	4	5	0	1	6	1	0	2	1	1	3	1	3	0	3	1	8	2	4	3	1	3	2	1	4	2	1	1	0	0	0	4	9	6	5	0	4	1	1	0	3	2	4	1	1	1	11	2	5	1	4	0	0	3	3	1	4	1	4	2	6	0	0	2	9	0	0	4	3	1	2	2	2	2	2	3	5	3	1	5	3	1	0	5	3	4	4	1	0	5	1	2	1
A[Del(C):R3]A	0	0	0	0	0	1	1	1	0	2	0	0	2	1	0	5	1	3	1	1	0	0	1	1	1	0	1	1	1	0	3	5	3	1	0	0	0	0	0	0	1	0	0	0	1	1	6	1	7	0	2	2	1	0	1	0	1	1	0	0	4	0	0	0	1	0	0	0	2	1	2	1	1	2	2	0	0	0	2	0	1	0	2	0	2	2	0	2	1	1	1	1	0	0	4	1	1	2	0	0	0	1	0	2	3	0	0
A[Del(C):R3]G	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0
A[Del(C):R3]T	1	0	1	0	0	1	1	0	0	4	0	0	1	1	0	3	0	4	1	2	0	0	0	0	4	0	1	0	0	0	7	3	3	2	2	1	1	1	0	1	0	0	0	1	1	2	3	0	7	0	0	0	0	0	1	1	0	0	2	0	6	0	1	0	1	1	1	0	0	2	2	1	3	1	1	0	1	0	5	3	0	0	2	0	0	3	2	1	0	2	3	0	0	0	2	0	2	5	2	0	1	2	1	2	0	1	0
A[Del(C):R4]A	1	1	1	3	0	0	1	1	0	0	1	3	2	1	3	4	1	3	1	0	1	0	1	2	0	0	2	0	1	0	3	4	4	2	0	2	3	0	0	0	1	1	0	0	0	0	7	1	31	1	2	0	0	0	0	1	0	0	0	1	2	1	2	0	1	0	0	0	2	0	3	0	1	2	2	0	1	0	3	1	1	1	1	0	1	4	1	4	0	2	3	2	0	0	2	0	0	2	2	1	0	1	0	1	0	0	1
