MutationType	SP18310	SP17172	SP96133	SP110242	SP114330	SP21017	SP22383	SP81312	SP22031	SP96112	SP19215	SP96120	SP16886	SP96124	SP19295	SP19670	SP17905	SP16934	SP20993	SP19983	SP18121	SP96122	SP119755	SP96126	SP19606	SP96118	SP21528	SP21400	SP23078	SP17430	SP96110	SP18946	SP21057	SP22750	SP19750	SP17016	SP16958	SP17329	SP96116	SP96129	SP21193	SP18787	SP96114	SP19582	SP17294	SP80367	SP82087	SP80615	SP80271	SP81172	SP81840	SP80657	SP81494	SP81711	SP80423	SP80754	SP81440	SP80950	SP82103	SP81137
A[Del(C):R1]A	82	21	72	81	6	69	65	12	3	7	36	5	14	6	5	3	39	0	4	3	54	4	10	3	6	12	2	13	1	8	5	25	8	3	1	5	5	5	3	6	2	8	11	2	8	6	4	28	5	4	5	2	4	3	4	4	1	0	5	6
A[Del(C):R1]G	20	2	5	5	1	12	12	2	2	0	15	0	1	0	0	1	2	2	0	0	10	0	1	0	1	3	0	2	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	4	0	1	1	0	2	2	1	0	0	0	0	1
A[Del(C):R1]T	5	15	15	25	9	14	16	7	2	4	4	14	20	6	12	2	139	4	5	8	8	7	15	2	11	2	3	10	9	6	5	29	9	4	2	6	10	1	3	1	4	2	5	6	5	4	5	73	5	14	2	2	12	9	9	3	3	1	4	7
A[Del(C):R2]A	4	4	12	27	1	11	14	21	6	1	7	2	20	1	13	0	92	2	3	2	21	3	1	1	1	2	4	22	1	1	3	37	4	1	2	1	3	2	4	2	0	3	3	1	0	1	0	39	3	1	3	3	1	1	3	2	0	0	1	1
A[Del(C):R2]G	0	1	2	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0
A[Del(C):R2]T	12	6	7	12	1	15	12	2	2	0	8	3	4	3	2	2	33	3	1	0	11	2	3	5	5	0	0	6	4	0	3	8	3	1	0	0	1	0	0	1	2	0	2	1	1	3	4	17	1	4	0	1	4	2	4	1	2	2	1	1
A[Del(C):R3]A	37	0	26	55	2	31	33	6	0	3	23	3	10	1	3	0	49	0	0	1	42	2	1	1	0	6	1	2	4	1	3	7	2	2	1	3	1	0	0	1	1	3	1	0	2	0	1	14	0	0	1	0	4	1	0	1	0	1	2	0
A[Del(C):R3]G	3	2	10	13	0	9	4	0	0	0	2	1	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
A[Del(C):R3]T	27	9	7	33	2	14	15	4	0	2	22	2	2	1	1	0	14	2	3	3	17	2	2	0	1	0	1	5	0	0	1	2	1	1	0	1	2	1	1	1	1	1	1	0	2	1	1	10	0	0	1	0	3	3	2	0	0	0	0	0
A[Del(C):R4]A	101	18	62	110	1	81	87	3	4	2	71	1	1	2	1	0	22	1	1	2	89	1	3	2	2	4	2	3	1	0	1	12	2	1	0	1	4	0	0	0	1	1	1	2	2	1	1	9	1	1	2	1	4	3	0	0	1	1	1	1
A[Del(C):R4]G	31	1	18	24	1	26	20	1	0	1	15	0	0	1	0	0	0	0	0	0	19	2	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1
A[Del(C):R4]T	61	13	33	72	1	42	47	1	1	0	45	0	4	0	0	1	10	2	1	0	45	2	1	2	1	4	3	2	0	1	0	4	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	6	0	0	1	0	2	1	0	0	0	0	0	0
A[Del(C):R5]A	248	34	152	233	1	201	138	6	1	3	176	1	4	0	2	0	22	0	0	1	196	2	2	6	0	30	1	1	0	0	0	7	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	14	1	1	1	0	5	1	2	3	0	0	0	0
A[Del(C):R5]G	65	14	39	63	0	38	34	2	0	0	44	1	0	0	0	0	1	0	0	0	39	1	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
A[Del(C):R5]T	290	44	143	222	1	198	130	3	0	0	155	1	0	0	2	0	3	2	0	1	134	0	0	1	0	22	1	0	1	2	0	3	1	0	0	0	0	2	1	0	2	1	0	0	3	0	0	7	0	2	0	0	3	2	0	1	0	0	0	0
A[Del(C):R6]A	572	112	245	407	3	380	236	3	1	1	260	1	3	2	3	1	13	3	2	3	285	2	2	2	1	51	0	6	0	0	0	12	2	1	0	0	1	0	1	0	0	1	0	0	2	2	1	12	1	0	4	1	0	0	0	1	0	0	1	1
A[Del(C):R6]G	131	13	56	91	0	80	38	1	0	0	72	0	0	0	0	0	2	0	0	0	64	0	0	1	1	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
A[Del(C):R6]T	269	50	108	164	0	156	126	2	0	1	129	2	1	0	0	0	3	1	0	1	157	2	3	1	0	23	0	1	0	0	0	6	2	1	2	0	1	0	0	1	1	0	0	1	2	2	1	7	1	1	1	0	0	0	1	0	0	0	0	0
A[Del(C):R7]A	602	111	221	427	0	321	199	8	1	0	223	0	1	1	0	0	7	1	1	0	283	0	1	2	0	44	0	1	0	0	0	5	0	1	0	0	1	1	1	1	0	1	0	0	1	1	0	7	2	1	2	0	0	2	2	0	1	0	2	0
A[Del(C):R7]G	105	16	48	104	0	80	34	0	0	0	44	0	0	0	0	0	0	0	1	0	57	0	1	1	0	10	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
A[Del(C):R7]T	111	16	37	74	0	67	50	2	1	0	53	0	1	2	0	0	2	0	0	0	41	0	0	1	0	4	0	1	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0
A[Del(C):R8]A	186	55	96	184	0	135	79	4	1	1	79	0	1	0	2	2	5	2	0	1	111	3	1	1	0	15	0	3	0	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	4	2	2	1	0	1	2	0	0	1	0	0	0	0	0	0
A[Del(C):R8]G	20	1	2	13	0	6	7	0	0	0	4	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]T	37	13	18	34	0	24	24	1	0	0	16	0	0	1	0	0	1	0	0	0	19	0	0	1	0	3	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
