MutationType	CPCT02020315T	CPCT02020321T	CPCT02020330T	CPCT02010372T	CPCT02020326T	CPCT02020403T	CPCT02040063T	CPCT02060054T	CPCT02060053T	CPCT02020886T	CPCT02130167T	CPCT02080186T	CPCT02130172T	CPCT02020413TII	CPCT02130180T	CPCT02130057T	CPCT02130186T	CPCT02130184T	CPCT02020690T	CPCT02080215T	CPCT02050360T	CPCT02130096T	CPCT02020759T	CPCT02130127T	CPCT02060242T	CPCT02050386T	CPCT02290055T	CPCT02130048T	CPCT02130155T	CPCT02130156T	CPCT02130157T	CPCT02130158T	CPCT02020852T	CPCT02020839T	CPCT02130159T	CPCT02020861T	CPCT02060276T	CPCT02350014T	CPCT02030315T	CPCT02090015T	CPCT02020533T	CPCT02020546T	CPCT02050224T	CPCT02180031T	CPCT02080057T	CPCT02020421T	CPCT02080054T	CPCT02020413T	CPCT02020448T	CPCT02190014T	CPCT02080101T	CPCT02030336T	CPCT02050295T
A[Del(C):R1]A	8	0	4	8	3	3	8	7	1	6	3	7	2	10	5	11	5	6	11	7	6	9	8	7	8	5	5	6	3	2	6	3	7	6	6	10	7	6	6	9	3	0	10	10	3	11	8	19	0	8	2	12	7
A[Del(C):R1]G	0	0	2	1	1	3	1	0	0	1	0	2	0	1	2	1	3	1	2	0	0	3	0	0	1	1	0	1	0	1	0	1	0	0	0	1	2	4	0	0	0	1	1	1	0	3	2	1	0	0	0	1	1
A[Del(C):R1]T	9	0	4	5	3	2	10	6	3	7	6	3	6	9	8	8	7	2	4	5	3	11	7	2	8	0	4	6	3	10	7	2	8	1	4	6	8	3	2	5	5	2	1	4	2	3	4	11	1	1	3	10	3
A[Del(C):R2]A	6	0	2	2	5	4	14	21	0	3	1	6	3	6	7	5	8	7	10	2	2	9	3	4	8	3	1	0	5	4	3	1	8	3	3	10	6	3	4	14	1	1	11	15	0	8	1	11	2	9	2	4	8
A[Del(C):R2]G	1	0	2	0	1	1	2	7	0	1	0	1	0	2	0	0	0	2	1	0	0	2	1	1	0	0	0	1	0	2	0	1	4	0	1	0	1	2	1	4	0	0	4	2	0	2	0	4	0	1	0	1	0
A[Del(C):R2]T	3	0	2	0	2	4	8	7	0	3	2	4	3	11	3	6	1	2	6	0	4	5	4	3	7	4	1	6	5	3	3	4	1	0	2	4	4	3	2	4	1	2	7	3	0	4	4	10	1	1	0	5	5
A[Del(C):R3]A	1	0	2	2	7	7	10	6	3	3	3	3	0	2	1	7	1	4	4	2	2	4	3	1	7	1	0	0	1	5	2	1	5	0	0	4	1	2	3	7	1	0	9	11	1	2	5	12	1	2	2	4	2
A[Del(C):R3]G	0	0	0	0	1	0	4	1	0	0	0	3	0	1	1	0	3	0	0	1	0	0	1	1	0	0	1	2	0	0	1	0	1	0	1	2	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2
A[Del(C):R3]T	1	0	2	0	3	5	2	3	1	5	2	2	0	2	2	3	1	2	3	2	1	3	4	2	1	3	1	0	0	3	2	0	2	1	4	4	0	0	0	3	1	0	6	6	0	4	4	5	0	2	1	1	1
A[Del(C):R4]A	1	0	3	0	2	3	2	7	0	2	1	2	1	2	1	2	4	2	7	2	0	5	6	0	2	1	1	1	1	2	1	1	3	1	0	3	4	3	2	6	0	1	3	5	1	4	1	3	0	2	2	0	1
