MutationType	CPCT02020340T	CPCT02140010T	CPCT02110007T	CPCT02140015T	CPCT02020376T	CPCT02050051T	CPCT02140017T	CPCT02040048T	CPCT02060029T	CPCT02060039T	CPCT02050077T	CPCT02060050T	CPCT02020866T	CPCT02120177T	CPCT02140095T	CPCT02120176T	CPCT02120085T	CPCT02100138T	CPCT02080177T	CPCT02230079T	CPCT02340107T	CPCT02120096T	CPCT02120102T	CPCT02440023T	CPCT02160060T	CPCT02180055T	CPCT02140104T	CPCT02140105T	CPCT02190055T	CPCT02030551TII	CPCT02050317T	CPCT02180078T	CPCT02220075T	CPCT02230085T	CPCT02120195T	CPCT02080302T	CPCT02070470T	CPCT02300034T	CPCT02020955T	CPCT02020965T	CPCT02140094TII	CPCT02210083T	CPCT02100200T	CPCT02140106T	CPCT02140059T	WIDE01010156T	CPCT02100174T	CPCT02120200T	CPCT02140070T	CPCT02040248T	CPCT02060149T	CPCT02020718T	CPCT02230096T	CPCT02180064T	CPCT02020764T	CPCT02440012T	CPCT02020752T	CPCT02140071T	CPCT02140074T	CPCT02140017TII	CPCT02120143T	CPCT02030431T	CPCT02180067T	CPCT02160052T	CPCT02140080T	CPCT02170036T	CPCT02290045T	CPCT02060269T	CPCT02230113T	CPCT02050407T	CPCT02030543T	CPCT02190050T	CPCT02140087T	CPCT02100190T	CPCT02140094T	CPCT02130164T	CPCT02140093T	CPCT02020592T	CPCT02180076T	CPCT02020865T	CPCT02230059T	CPCT02180022T	CPCT02120014T	CPCT02180033T	CPCT02140046T	CPCT02080111T	CPCT02120027T	CPCT02140042TII	CPCT02070169T	CPCT02160024T	CPCT02020566T	CPCT02230033T	CPCT02030356T	CPCT02090021T	CPCT02330047T	CPCT02100107T	CPCT02020580T	CPCT02180003T	CPCT02020414T	CPCT02050087T	CPCT02010458T	CPCT02020447T	CPCT02060067T	CPCT02020480T	CPCT02140042T	CPCT02120002T	CPCT02030332T	CPCT02230015T	CPCT02060138T	CPCT02360007T	CPCT02040181T	CPCT02300027T	CPCT02120090T	WIDE01010520T	WIDE01010600T	WIDE01010710T	WIDE01010727T
A[Del(C):R1]A	11	10	10	3	4	12	9	16	6	4	8	8	12	9	14	7	7	6	5	9	11	15	2	10	7	6	7	8	9	3	3	9	9	8	10	16	5	13	7	9	16	2	12	6	14	1	9	4	3	8	7	8	13	3	7	9	7	5	9	11	7	11	6	8	3	2	5	4	6	1	11	6	4	6	3	5	18	4	5	13	3	5	12	32	6	9	10	1	3	12	1	5	8	8	10	9	4	0	8	6	3	5	9	9	9	8	8	8	15	62	3	9	7	15	3	15	6
A[Del(C):R1]G	0	1	1	0	1	0	0	0	0	0	2	1	2	1	0	0	2	1	1	2	1	1	0	2	1	2	0	1	6	0	1	0	2	0	0	0	0	3	1	1	1	0	3	0	0	0	3	1	0	0	1	1	1	2	1	2	0	2	1	0	2	0	0	0	0	0	1	0	0	1	3	3	1	1	0	0	2	0	0	2	1	0	3	2	1	1	1	0	0	2	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	5	3	0	0	1	0	0	0
A[Del(C):R1]T	8	5	8	4	8	4	9	18	4	9	10	16	8	12	13	6	3	6	5	13	7	13	3	17	6	4	2	8	11	5	3	6	5	9	11	11	3	11	1	5	18	2	11	5	15	0	5	1	2	4	9	3	9	6	5	6	6	5	7	9	7	5	1	16	3	3	3	9	2	6	13	11	10	5	5	7	7	0	4	13	5	6	11	10	5	6	9	3	3	13	1	4	9	15	5	11	6	0	8	3	0	5	10	6	8	9	11	8	8	14	2	10	5	10	2	14	6
A[Del(C):R2]A	3	5	12	6	0	3	8	7	4	5	4	14	4	4	7	3	5	2	4	8	9	8	0	12	6	8	2	2	8	4	0	4	6	3	8	6	0	5	4	3	5	0	8	3	4	0	4	1	4	1	0	3	10	0	2	3	1	7	3	7	3	2	4	6	0	1	4	3	0	6	2	5	6	4	2	3	3	0	4	15	5	3	4	11	1	0	4	2	1	5	0	1	3	6	2	3	2	0	6	3	1	0	3	7	2	3	4	4	4	13	4	4	4	7	1	3	2
A[Del(C):R2]G	0	0	0	2	0	1	2	1	1	0	0	0	0	0	0	0	2	2	0	1	2	2	0	2	1	0	0	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	2	2	1	0	1	1	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	3	0	1	4	0	2	0	0	0	0	0
A[Del(C):R2]T	6	6	15	5	7	6	12	15	4	5	6	8	3	9	12	4	9	3	4	9	4	9	2	4	4	1	3	11	7	3	0	9	4	6	8	8	1	9	5	5	7	1	7	4	6	4	4	3	1	7	0	10	5	5	4	6	3	3	6	12	5	2	4	9	1	0	1	9	0	4	5	5	6	7	3	3	6	0	4	11	4	4	10	6	2	3	7	1	2	11	0	2	5	9	6	6	2	0	5	5	0	3	7	4	5	3	7	7	8	19	11	3	6	11	2	6	0
A[Del(C):R3]A	8	3	8	3	1	8	10	4	1	3	4	4	0	2	4	5	6	2	4	3	3	3	0	1	2	0	2	4	5	3	0	3	7	3	2	8	1	4	3	4	3	1	10	1	4	0	5	2	1	2	1	2	5	2	2	5	3	1	2	11	3	3	2	6	2	1	1	1	0	1	5	4	3	2	2	3	8	3	4	6	2	2	5	9	0	1	1	1	0	8	1	1	2	4	3	6	1	1	3	0	0	2	0	1	1	3	3	2	9	28	3	5	2	4	1	6	2
A[Del(C):R3]G	0	2	1	1	0	1	3	2	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	4	2	0	0	1	1	2	0	1	0	1	0	4	1	4	1	0	1	1	1	1	3	0	0	0	0	0	0	0	2	0	1	2	0	1	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	1	0	0	1	1	0	0	2	2	0	0	3	2	0	0
A[Del(C):R3]T	4	1	5	3	1	3	15	8	0	2	1	4	2	7	9	5	1	0	3	4	5	5	1	7	4	1	0	6	4	3	0	5	2	5	2	9	0	1	4	2	6	0	5	4	6	0	4	1	2	2	2	7	6	4	2	6	0	4	1	15	2	1	1	4	3	0	3	4	0	3	1	5	9	8	2	4	2	0	1	4	3	1	4	8	6	0	7	2	0	4	0	4	4	4	2	5	1	0	6	2	1	2	3	3	5	3	3	3	5	16	1	4	3	5	4	3	2
A[Del(C):R4]A	3	4	4	2	2	1	3	3	1	2	3	3	2	5	6	1	0	3	0	2	5	0	0	3	3	3	2	1	6	2	3	1	2	3	1	5	1	3	1	1	2	0	5	2	4	1	3	1	0	0	1	1	4	0	1	1	1	4	3	3	2	2	1	5	0	0	0	0	0	0	1	1	2	1	1	6	2	1	1	6	2	4	1	8	1	0	3	0	1	1	0	1	0	3	2	1	2	0	1	3	0	0	2	3	2	1	2	1	5	37	2	4	2	4	0	3	0
A[Del(C):R4]G	0	0	0	0	0	0	1	1	0	0	2	0	1	0	1	3	1	1	0	1	0	2	0	1	1	2	0	2	1	1	1	1	0	2	0	0	0	1	0	0	1	0	3	0	1	0	0	0	0	1	1	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	3	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	2	1	2	13	0	1	1	0	1	1	0
A[Del(C):R4]T	2	2	0	1	1	1	4	4	2	2	2	2	1	2	4	3	1	0	1	1	5	2	1	3	1	0	1	2	3	2	2	2	3	6	3	4	0	2	1	2	0	0	2	3	3	0	5	0	1	1	0	1	3	3	0	2	1	2	2	4	0	2	4	2	0	0	0	1	0	0	1	4	3	0	0	0	4	0	2	2	2	1	0	4	1	1	2	0	1	2	0	3	0	4	1	1	0	0	2	1	0	0	0	1	1	3	0	0	4	14	4	3	1	3	0	2	0
A[Del(C):R5]A	0	0	0	2	0	0	2	3	1	1	3	3	2	0	1	0	0	0	0	3	0	2	0	1	0	2	0	0	2	3	0	0	0	0	1	1	1	2	1	2	1	0	2	0	2	1	1	0	1	1	0	0	0	1	1	1	2	1	0	2	1	0	0	2	2	0	1	2	0	1	1	0	0	4	0	0	2	0	0	0	0	1	1	13	1	1	0	1	1	3	0	1	0	1	0	0	0	0	1	0	0	2	0	0	1	1	0	0	1	83	2	1	0	2	0	1	0
A[Del(C):R5]G	0	0	1	0	0	2	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	7	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	24	0	0	0	0	0	0	0
A[Del(C):R5]T	0	0	1	0	1	0	3	6	0	0	0	3	0	1	1	0	1	1	1	2	0	1	0	2	1	1	0	1	0	0	0	2	2	1	0	3	0	1	0	0	2	0	3	0	0	2	0	0	0	0	0	1	0	1	1	1	0	1	0	3	1	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	3	16	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	1	1	2	0	0	0	72	0	0	0	2	0	1	0
A[Del(C):R6]A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	43	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	116	0	4	0	0	0	0	0
A[Del(C):R6]G	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
A[Del(C):R6]T	0	1	1	0	0	1	1	1	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	57	1	2	0	2	0	0	1
A[Del(C):R7]A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	175	0	0	0	0	0	1	0
A[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0
A[Del(C):R7]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
A[Del(C):R8]A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	43	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	121	0	0	0	0	0	0	0
A[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
A[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	5	6	6	2	1	1	2	5	1	0	1	8	6	3	9	7	1	4	6	4	5	9	1	5	3	6	2	8	2	0	0	4	4	4	4	7	0	3	4	3	9	0	7	1	5	1	4	0	1	3	4	10	9	3	5	3	3	2	6	1	4	2	2	2	3	0	3	1	1	1	6	7	4	1	0	5	4	1	1	7	8	3	3	9	2	1	2	3	3	6	1	1	4	2	3	6	3	0	5	6	1	2	2	4	4	3	2	5	4	5	7	4	5	5	1	4	3
G[Del(C):R1]G	0	0	1	0	2	0	3	2	1	0	0	0	1	1	2	0	1	0	0	3	0	0	0	3	0	0	0	1	2	0	1	0	0	0	0	1	0	1	0	2	3	0	2	1	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	5	0	1	1	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	1	0	2	0	2	1	1	10	1	2	1	0	0	0	0
G[Del(C):R1]T	3	4	11	6	3	7	14	8	2	6	7	17	3	5	11	3	1	6	5	9	8	4	3	6	3	3	0	7	8	6	2	6	7	11	12	4	3	7	4	7	10	0	7	1	11	1	6	3	2	3	1	6	7	7	4	4	5	3	7	14	7	3	3	3	3	3	6	4	0	4	2	5	9	3	4	6	8	0	1	7	4	1	8	4	3	2	8	2	5	6	1	3	6	3	3	6	6	1	5	3	8	2	10	7	8	3	4	2	5	13	15	9	5	11	1	6	3
G[Del(C):R2]A	5	4	8	3	1	1	3	11	1	3	4	10	4	0	9	4	1	7	1	4	9	12	1	8	2	4	1	1	4	3	3	2	4	8	6	5	0	6	4	7	14	2	3	2	3	1	8	1	1	1	3	3	4	0	2	3	3	4	6	3	1	0	4	8	1	0	1	2	3	2	5	7	4	1	8	2	6	0	2	7	5	6	4	7	2	1	2	0	2	7	0	1	2	6	4	7	5	2	8	2	2	3	2	3	4	3	3	2	7	7	3	5	5	5	0	9	0
G[Del(C):R2]G	1	1	0	0	0	0	0	0	0	1	0	1	1	0	4	1	0	1	1	0	0	4	0	2	1	1	1	1	0	1	0	2	0	3	1	2	0	3	0	1	1	0	1	0	1	0	0	0	1	1	0	2	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	3	1	0	2	0	2	1	2	1	0	0	0	1	1	1	0	1	1	0	2	1	1	1	2	0	1	0	4	2	4	2	0	0	0	3	0	0	3
G[Del(C):R2]T	3	6	10	5	1	5	10	7	2	5	4	13	4	4	10	8	3	3	3	8	7	9	1	9	4	1	4	4	7	2	1	7	3	7	2	6	0	7	4	7	9	2	3	6	6	3	2	2	2	4	3	4	5	0	3	7	2	4	4	10	7	4	4	9	3	0	2	1	0	2	7	2	8	6	2	4	3	1	3	14	1	2	8	3	2	2	3	1	2	7	0	2	7	6	6	5	0	0	4	1	1	6	4	5	3	8	5	5	3	5	3	4	4	4	0	6	2
G[Del(C):R3]A	3	3	2	5	0	1	4	6	1	0	3	3	3	2	2	5	3	3	3	3	6	2	0	4	0	1	1	4	5	0	2	4	6	4	2	0	0	1	1	0	3	0	1	1	1	1	4	2	2	1	1	2	3	3	2	2	2	2	2	4	2	1	4	1	2	1	1	3	0	3	4	3	1	0	1	5	3	1	0	2	0	5	2	2	1	3	2	0	2	0	0	0	4	4	1	4	2	0	2	1	0	3	4	4	2	0	3	2	3	8	2	1	6	2	0	4	1
G[Del(C):R3]G	0	0	1	0	1	0	0	0	2	1	0	2	0	0	3	4	1	0	0	1	0	0	1	0	1	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	1	0	3	0	0	2	0	2	1	0	1	2	0	1	2	1	0	1	0	0	0	0	0	1	0	0	3	0	0	3	2	1	1	2	0	1	2	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	2	0	1
G[Del(C):R3]T	1	6	5	4	0	3	11	5	1	2	2	3	1	3	9	7	1	1	1	1	4	4	0	6	7	2	1	5	5	0	0	2	2	2	4	3	2	4	1	5	11	0	2	1	4	1	2	0	0	2	0	3	4	3	5	1	2	5	1	11	1	2	2	7	0	0	2	1	0	1	3	2	3	3	4	2	6	0	1	3	1	2	2	1	0	1	1	2	0	4	0	0	3	2	2	6	2	0	1	1	0	2	1	1	3	2	0	1	1	13	3	5	2	1	0	4	2
G[Del(C):R4]A	1	1	2	1	2	2	0	3	1	1	2	1	1	1	4	1	2	0	1	5	1	4	0	1	1	0	1	1	2	0	1	1	0	1	1	1	1	0	0	1	2	0	1	0	2	1	1	1	1	1	0	0	3	0	5	0	1	2	1	0	0	0	0	1	1	0	0	2	0	2	1	0	1	1	0	1	2	0	0	0	0	2	5	4	2	1	0	0	1	0	0	1	0	0	0	2	0	1	1	1	0	0	2	1	0	1	1	1	1	16	2	3	1	1	0	1	0
G[Del(C):R4]G	0	0	0	0	0	1	0	0	0	1	1	1	0	2	2	1	0	0	0	0	1	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	1	0
G[Del(C):R4]T	1	2	4	1	0	1	4	5	4	2	2	3	2	3	2	3	0	0	1	3	0	0	0	2	2	0	2	1	3	1	0	3	1	2	0	3	0	1	1	1	3	1	1	1	3	0	0	0	1	0	2	1	0	3	4	2	0	0	1	4	1	0	0	2	1	0	0	0	1	0	1	0	1	0	2	0	1	0	3	4	1	0	3	3	1	1	1	2	1	1	0	1	2	1	1	2	1	0	2	2	0	3	2	1	5	4	1	0	1	23	0	5	0	2	0	3	2
G[Del(C):R5]A	2	1	1	0	0	1	1	0	1	0	1	1	0	1	0	0	1	2	0	0	2	0	0	1	0	2	2	1	1	0	0	0	0	2	1	0	1	0	0	1	2	0	1	1	0	0	0	0	0	3	0	0	1	2	1	2	1	0	0	1	0	1	0	1	0	0	1	1	0	2	4	0	2	1	0	0	2	0	0	1	1	3	1	11	1	1	1	1	0	1	0	0	2	0	2	1	0	0	1	0	0	0	1	1	0	0	1	0	0	36	0	1	0	1	1	0	0
G[Del(C):R5]G	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	1	0
G[Del(C):R5]T	1	0	0	0	0	0	0	1	0	1	1	2	1	0	4	2	0	1	0	1	0	1	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	1	13	0	2	1	0	1	1	0	1	2	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	49	0	0	0	1	1	0	0
G[Del(C):R6]A	2	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	2	2	1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	2	22	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	56	0	0	0	0	0	2	0
G[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	1	0	0	0	0	0	0
