MutationType	SP109953	SP107650	SP13206	SP13078	SP107607	SP109941	SP109801	SP13072	SP107595	SP107640	SP13084	SP107603	SP109957	SP114020	SP96540	SP114032	SP107624	SP107575	SP13242	SP114016
[Del(C):R1]A	3	5	2	14	6	1	2	4	6	11	7	4	10	9	4	3	2	6	6	6
[Del(C):R1]T	0	7	5	10	14	2	1	7	5	9	5	14	22	10	3	4	3	6	5	10
[Del(C):R2]A	2	2	2	2	8	1	5	4	2	2	6	2	4	3	2	3	2	1	3	3
[Del(C):R2]T	3	2	4	5	3	2	4	3	3	4	0	3	12	5	3	4	2	2	2	4
[Del(C):R3]A	1	0	2	4	1	1	2	3	1	4	0	1	2	1	1	2	1	0	0	0
[Del(C):R3]T	0	1	2	5	0	0	2	1	4	2	0	1	1	1	0	0	0	0	1	1
[Del(C):R(4,5)]A	0	1	1	0	3	1	3	3	2	4	2	2	2	2	0	6	2	3	2	2
[Del(C):R(4,5)]T	1	1	1	1	3	1	0	0	4	0	1	0	1	3	1	0	0	1	1	2
[Del(C):R(1,5)]G	5	3	4	1	5	2	3	5	2	1	3	3	5	1	0	1	2	1	1	4
Del(C):R(6,9)	5	1	2	6	1	2	2	1	3	0	1	0	4	4	1	4	0	3	6	1
A[Del(T):R(1,4)]A	2	6	3	6	5	3	3	5	4	2	5	3	3	15	2	4	6	5	2	5
A[Del(T):R(1,4)]C	3	3	5	1	0	2	1	1	3	1	2	2	5	1	0	1	2	4	0	1
A[Del(T):R(1,4)]G	1	1	2	2	2	1	3	4	2	3	0	3	1	3	3	0	1	3	1	2
C[Del(T):R(1,4)]A	4	3	2	2	1	3	3	2	0	2	2	1	1	9	3	3	0	2	2	1
C[Del(T):R(1,4)]C	3	3	2	3	1	3	3	2	5	1	3	1	2	1	2	3	1	3	2	1
C[Del(T):R(1,4)]G	3	0	3	2	0	3	1	5	3	0	1	4	3	6	6	1	4	3	5	2
G[Del(T):R(1,4)]A	3	0	1	3	0	0	3	4	4	2	0	0	2	4	1	1	1	2	1	1
G[Del(T):R(1,4)]C	2	1	2	1	2	2	2	3	2	0	2	2	2	1	0	1	2	1	1	1
G[Del(T):R(1,4)]G	2	2	1	4	2	1	2	2	2	4	6	1	5	2	3	1	0	3	0	2
A[Del(T):R(5,7)]A	7	4	8	1	2	3	13	1	14	3	5	1	2	16	5	4	2	7	4	2
A[Del(T):R(5,7)]C	3	6	5	7	6	0	2	0	9	7	0	4	4	8	2	3	1	5	5	0
A[Del(T):R(5,7)]G	7	6	8	0	5	2	4	0	10	3	3	4	4	3	3	2	1	2	4	3
C[Del(T):R(5,7)]A	2	3	4	6	1	3	5	1	1	2	3	0	4	6	5	0	0	6	2	3
C[Del(T):R(5,7)]C	1	2	8	2	2	0	5	2	4	1	1	5	1	6	2	2	1	2	0	3
C[Del(T):R(5,7)]G	0	2	0	1	3	2	3	0	2	0	2	1	4	4	3	3	0	2	0	0
G[Del(T):R(5,7)]A	0	0	4	5	3	2	2	1	2	1	1	1	2	6	1	1	0	4	0	0
G[Del(T):R(5,7)]C	1	1	5	2	2	2	7	1	2	1	0	0	1	0	0	1	0	0	2	1
G[Del(T):R(5,7)]G	2	1	6	3	3	2	3	1	7	1	0	1	1	4	2	0	1	3	0	1
A[Del(T):R(8,)]A	9	3	9	7	4	5	15	2	14	7	14	0	4	10	5	3	2	4	6	1
A[Del(T):R(8,)]C	2	2	13	11	2	0	13	2	6	4	5	6	7	10	0	1	1	11	4	4
