MutationType	SP29914	SP31046	SP31334	SP30011	SP31174	SP32662	SP31126	SP32958	SP31422	SP33496	SP34005	SP30113	SP31030	SP33544	SP33688	SP30907	SP30185	SP33837	SP31790	SP30143	SP30071	SP30493	SP32014	SP30332	SP31814	SP29987	SP30083	SP32742	SP115162	SP29940	SP30843	SP32222	SP31190	SP30077	SP32694	SP33774	SP30093	SP33094	SP30803	SP30675	SP31854	SP31606	SP30213	SP32894	SP117260	SP117124	SP117932	SP117189	SP117217	SP117779	SP117376	SP117681	SP117408	SP118015	SP117509	SP117482	SP117003
A[Del(T):R(1,4)]A	36	3	12	10	8	15	30	6	21	14	2	65	5	34	11	16	1	1	10	8	20	6	4	50	3	37	3	6	6	5	2	0	20	28	22	6	6	12	16	48	38	1	7	1	12	7	8	1	0	1	11	1	0	9	9	9	4
A[Del(T):R(1,4)]C	8	2	4	12	6	10	38	2	18	8	5	20	2	21	9	13	0	4	2	2	13	2	2	18	1	25	2	3	3	0	2	0	17	17	17	3	1	6	14	13	29	3	4	1	9	5	7	2	0	5	11	1	1	6	3	5	7
A[Del(T):R(1,4)]G	14	3	11	11	4	5	12	2	9	9	3	51	1	25	2	6	0	0	5	2	15	2	1	22	4	14	3	5	2	1	0	0	8	7	15	4	2	6	9	37	22	0	2	4	8	3	3	0	1	2	6	0	0	3	4	7	3
C[Del(T):R(1,4)]A	13	0	3	3	6	6	17	4	12	9	1	77	2	14	5	10	1	3	6	2	6	2	3	52	1	7	4	8	5	3	0	0	12	11	10	1	3	6	7	43	20	4	1	1	6	3	7	2	0	2	5	2	1	5	6	7	1
C[Del(T):R(1,4)]C	17	1	6	8	1	6	33	1	12	12	5	41	1	18	3	9	0	1	4	1	3	2	3	30	1	10	5	7	4	1	1	0	6	6	4	1	3	3	7	22	20	4	4	3	2	3	5	1	1	3	7	3	1	1	7	6	3
C[Del(T):R(1,4)]G	21	2	5	15	8	8	24	3	9	10	0	99	2	22	1	6	0	1	4	5	13	1	2	41	1	15	5	4	2	3	4	0	14	25	14	3	3	13	13	48	14	5	3	2	5	7	4	0	0	4	5	2	2	4	6	6	2
G[Del(T):R(1,4)]A	12	0	1	6	1	5	12	5	8	6	1	23	7	13	5	8	0	1	1	2	5	0	2	8	1	3	2	2	2	2	1	0	5	12	7	4	2	4	6	16	10	0	0	1	3	4	5	0	0	0	5	1	2	5	6	2	1
G[Del(T):R(1,4)]C	10	0	4	5	2	7	20	3	5	1	2	9	8	13	6	2	1	5	2	3	7	0	4	9	4	3	2	0	2	2	1	0	3	5	1	0	1	3	1	13	6	3	3	0	2	0	1	0	0	1	3	1	0	4	4	3	2
G[Del(T):R(1,4)]G	12	0	6	6	8	8	11	2	11	10	1	40	6	18	6	4	2	4	0	0	4	2	3	33	2	1	1	2	2	4	0	0	5	5	1	2	2	2	2	23	6	1	1	0	2	0	3	0	0	1	5	2	3	4	7	1	2
A[Del(T):R(5,7)]A	47	4	9	2	13	11	18	4	14	17	3	23	19	17	7	8	1	4	11	5	15	3	8	24	7	20	13	7	0	7	0	0	9	23	14	4	16	17	5	20	17	3	3	2	9	13	15	2	1	13	31	1	2	1	14	11	6
A[Del(T):R(5,7)]C	24	1	4	2	5	8	9	3	5	18	4	12	15	8	11	1	1	1	2	4	11	1	6	10	4	16	2	2	0	11	2	0	8	20	15	3	8	13	4	9	20	2	1	1	5	20	9	0	1	8	38	4	2	3	9	10	4
A[Del(T):R(5,7)]G	21	2	2	4	8	6	4	3	9	12	2	20	18	4	9	5	0	6	5	2	5	1	4	20	6	11	3	4	2	3	1	0	6	10	9	2	4	10	2	20	11	1	1	2	5	8	12	1	0	4	28	2	1	3	8	8	6
C[Del(T):R(5,7)]A	9	0	5	1	5	6	8	1	11	14	0	19	6	5	0	6	0	1	4	2	6	0	4	21	5	13	1	5	1	4	1	0	5	5	5	2	7	8	5	19	9	0	0	1	3	4	9	0	0	2	16	2	1	1	10	5	7
C[Del(T):R(5,7)]C	13	1	2	2	5	8	8	0	9	8	1	20	21	8	3	9	1	0	5	4	11	1	7	15	2	10	5	5	0	1	0	0	8	12	10	1	4	4	4	16	4	1	1	2	2	3	2	0	1	7	26	3	2	3	5	8	4
C[Del(T):R(5,7)]G	8	1	1	1	6	5	6	1	1	9	0	25	4	4	2	4	0	1	1	1	6	0	4	11	1	7	2	2	2	5	1	0	4	7	10	1	4	2	4	22	11	1	3	1	2	5	7	2	0	2	23	0	0	2	4	7	4
G[Del(T):R(5,7)]A	8	1	4	1	4	4	11	3	3	8	2	9	9	5	4	0	0	2	3	0	2	0	3	10	0	4	2	3	1	4	0	0	2	3	5	1	3	6	8	8	8	1	1	2	0	1	0	0	0	2	17	0	1	3	3	8	2
G[Del(T):R(5,7)]C	10	1	2	1	4	1	5	3	3	8	1	7	6	5	5	8	0	1	2	0	7	3	3	8	1	4	4	5	0	4	2	0	6	4	5	0	1	6	1	8	6	0	1	0	1	1	4	0	0	3	12	0	2	3	6	5	2
G[Del(T):R(5,7)]G	11	0	3	2	2	4	3	1	6	4	2	15	4	5	7	1	0	0	2	2	5	0	1	7	0	5	0	6	0	3	1	0	8	4	3	1	2	3	0	7	5	0	4	0	3	4	7	1	0	2	10	0	0	2	7	3	4
A[Del(T):R(8,)]A	33	0	3	2	2	8	6	1	14	23	0	9	30	6	6	5	0	0	8	0	9	1	12	21	7	10	1	0	0	6	1	0	7	20	4	3	5	8	0	6	15	0	1	2	5	16	9	0	0	5	58	3	1	8	22	8	6
A[Del(T):R(8,)]C	35	1	2	4	4	11	8	5	7	16	0	11	17	12	3	0	1	2	7	0	13	1	9	6	5	6	7	2	1	1	0	0	8	20	11	0	14	9	1	8	13	0	3	0	2	15	17	0	0	6	52	0	1	8	20	7	10
A[Del(T):R(8,)]G	16	0	1	1	2	5	6	3	5	13	0	6	6	2	5	4	0	0	2	1	3	1	9	9	0	4	1	3	0	2	0	0	3	3	7	0	2	1	0	5	2	1	1	0	2	5	5	1	0	3	31	0	1	5	12	6	1
C[Del(T):R(8,)]A	9	0	0	2	6	6	5	3	5	14	0	5	11	3	2	4	1	1	7	0	4	0	9	10	0	5	3	0	0	0	0	0	7	3	4	0	6	4	3	3	4	2	0	0	3	8	12	0	0	3	36	4	0	4	12	6	3
C[Del(T):R(8,)]C	12	2	2	1	4	6	14	4	7	22	1	4	19	9	5	7	0	1	9	1	8	1	11	10	1	9	3	0	3	3	0	0	3	8	9	1	8	3	4	5	10	0	0	0	4	14	6	0	0	6	59	3	1	2	21	13	4
C[Del(T):R(8,)]G	9	0	3	1	2	7	4	2	4	11	0	9	10	3	1	2	0	2	8	3	4	0	3	6	1	4	1	0	0	3	0	0	2	3	4	0	10	3	1	1	3	0	2	0	0	8	8	1	0	6	28	1	1	1	11	1	5
G[Del(T):R(8,)]A	10	0	0	0	1	1	3	0	5	9	0	3	6	1	3	2	0	0	3	0	6	0	4	6	1	6	0	0	0	1	0	0	1	3	2	0	8	2	0	3	6	0	4	0	0	3	2	1	0	2	22	2	0	2	7	8	3
G[Del(T):R(8,)]C	11	0	0	0	4	5	4	0	2	7	1	1	8	2	1	1	0	0	3	0	4	0	1	2	1	4	1	1	0	2	1	0	1	5	3	0	6	1	0	0	3	0	0	1	1	4	1	0	0	2	18	0	0	4	7	12	4
G[Del(T):R(8,)]G	4	1	1	2	0	2	1	0	2	3	0	1	2	2	0	0	0	0	2	0	1	0	1	2	0	1	4	1	2	0	1	0	1	4	2	0	2	1	0	1	4	0	0	0	0	5	1	1	0	1	15	1	0	1	8	2	1
A[Ins(C):R0]A	1	1	1	1	0	2	2	3	6	2	0	6	0	4	5	3	0	0	2	0	0	0	0	6	1	1	3	1	0	0	0	0	1	2	2	0	0	3	1	12	1	3	0	0	0	0	2	0	0	1	3	0	0	1	2	2	1
A[Ins(C):R0]T	0	0	0	0	2	1	0	0	0	3	0	5	0	1	3	0	0	0	0	0	1	0	0	2	0	2	0	2	1	0	0	0	0	0	0	0	0	1	0	11	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Ins(C):R(0,3)	29	3	5	7	4	11	25	6	8	7	5	90	9	16	13	18	2	2	5	5	8	1	6	47	4	12	3	9	2	3	1	0	6	5	11	2	4	7	6	68	13	2	3	1	2	3	5	2	1	5	8	0	2	3	7	5	5
Ins(C):R(4,6)	22	1	2	1	3	7	6	3	2	13	1	69	17	5	4	6	2	1	5	1	13	1	5	43	4	9	1	8	2	10	1	0	3	2	8	1	3	4	5	58	5	2	2	2	2	8	3	3	0	5	18	3	3	2	11	9	5
Ins(C):R(7,)	15	6	3	3	3	7	7	10	5	12	2	10	17	4	9	3	1	2	2	1	5	4	5	5	2	10	8	7	2	4	1	0	4	2	13	5	2	3	2	3	5	6	2	2	1	5	8	1	0	1	20	5	3	0	9	6	6
A[Ins(T):R(0,4)]A	13	0	12	3	5	7	15	4	20	29	2	19	5	29	5	33	1	2	6	4	23	1	2	14	2	39	2	5	1	3	2	0	21	39	28	1	3	22	10	24	45	6	3	2	7	2	6	1	0	1	10	1	2	1	7	7	3
A[Ins(T):R(0,4)]C	6	0	6	2	2	4	8	3	7	12	1	8	6	7	3	15	2	1	3	1	7	0	1	11	2	20	2	3	1	4	1	0	14	18	11	1	3	7	5	14	20	0	2	0	4	1	4	2	1	0	6	0	0	0	2	2	3
A[Ins(T):R(0,4)]G	12	0	22	3	8	4	9	3	16	26	3	110	1	35	4	30	1	1	0	1	34	1	3	60	1	57	1	6	0	0	1	0	24	35	22	2	3	8	9	85	39	3	6	1	11	2	5	1	2	2	5	0	1	0	3	2	8
C[Ins(T):R(0,4)]A	5	2	2	1	0	4	8	2	5	3	0	15	1	3	2	3	0	2	0	1	8	1	2	15	1	12	4	3	2	3	1	0	0	4	7	1	2	5	3	15	7	4	0	0	3	5	3	0	0	2	3	0	0	3	8	1	4
C[Ins(T):R(0,4)]C	4	0	1	4	2	3	10	6	1	10	2	16	1	8	6	3	2	1	2	2	5	1	0	8	0	5	3	2	1	1	0	0	6	3	7	2	2	2	4	11	8	0	0	0	0	4	2	0	0	2	3	1	1	0	1	2	1
C[Ins(T):R(0,4)]G	7	0	7	3	0	0	7	4	3	10	2	105	3	9	2	9	0	2	2	2	8	0	2	71	1	9	4	3	2	2	0	0	4	7	5	2	1	9	5	89	10	2	0	3	3	2	0	1	0	1	2	1	1	1	4	0	0
G[Ins(T):R(0,4)]A	2	0	1	4	1	2	7	3	4	2	0	21	3	3	1	4	2	2	1	4	3	0	1	8	3	2	2	1	1	2	2	0	8	3	1	1	1	7	3	7	7	1	1	1	0	0	3	1	0	1	0	2	0	0	1	1	0
G[Ins(T):R(0,4)]C	2	0	3	4	1	0	11	2	1	1	0	4	3	0	2	2	1	1	0	1	2	2	0	8	0	5	0	1	1	1	0	0	2	0	0	1	0	0	6	9	4	1	1	2	1	2	2	0	0	0	1	0	0	0	0	0	0
G[Ins(T):R(0,4)]G	12	0	0	16	1	2	19	0	3	4	0	99	0	7	5	8	0	0	1	0	8	2	0	59	2	4	0	2	1	0	0	0	2	3	3	1	2	1	2	85	8	0	2	0	4	4	3	2	1	0	2	1	0	1	0	0	1
A[Ins(T):R(5,7)]A	51	6	12	11	21	18	22	23	20	35	6	25	32	24	15	5	2	2	5	7	15	6	9	23	10	26	7	13	9	28	8	0	10	19	24	12	16	19	9	17	34	10	14	12	1	13	18	4	1	6	27	3	1	12	24	16	11
A[Ins(T):R(5,7)]C	42	8	9	13	12	18	32	25	17	36	7	26	37	21	20	10	4	12	9	13	21	7	15	27	14	25	8	26	5	17	10	0	20	21	22	13	5	22	12	19	35	16	13	13	4	11	16	3	0	13	25	5	1	15	20	17	18
A[Ins(T):R(5,7)]G	40	9	9	17	19	18	18	30	19	38	6	54	19	18	22	8	6	4	16	13	26	4	9	34	12	35	8	19	4	11	2	0	17	18	18	10	10	16	7	24	38	9	7	8	7	7	10	4	1	6	20	2	1	14	25	9	5
C[Ins(T):R(5,7)]A	16	4	6	4	11	8	12	9	8	20	0	16	22	13	6	6	1	5	4	3	11	2	5	9	5	5	3	8	2	9	1	0	9	6	5	2	8	8	5	16	10	2	6	4	2	8	8	0	0	5	19	2	1	9	10	7	8
C[Ins(T):R(5,7)]C	21	6	6	12	10	13	9	21	6	26	7	15	17	11	9	7	0	3	5	11	11	3	13	13	9	14	11	13	3	10	6	0	5	15	11	9	8	14	8	13	11	3	4	3	4	11	14	2	2	3	9	1	3	5	7	13	6
C[Ins(T):R(5,7)]G	11	3	8	4	10	13	11	12	7	23	8	25	15	8	13	5	1	3	6	4	16	1	5	18	7	7	4	11	4	13	4	0	10	16	9	4	15	13	5	16	22	11	3	2	6	5	12	1	0	3	21	2	2	6	10	10	12
G[Ins(T):R(5,7)]A	6	1	4	3	11	12	8	13	3	8	3	11	16	14	7	7	1	2	4	6	14	2	3	7	2	8	8	6	1	11	1	0	12	11	6	6	7	7	10	7	12	6	6	3	3	10	6	2	0	3	13	0	0	4	13	8	4
G[Ins(T):R(5,7)]C	24	8	5	7	10	9	9	21	5	18	6	11	17	9	14	6	2	8	6	8	9	3	13	9	6	12	8	16	3	8	2	0	11	19	17	6	7	3	8	9	8	6	3	7	4	8	14	1	0	4	10	0	2	3	10	7	8
G[Ins(T):R(5,7)]G	23	4	2	11	5	9	9	14	13	21	3	21	21	11	5	11	2	4	7	4	13	3	7	16	4	13	7	17	2	9	3	0	6	13	12	5	5	16	7	15	9	5	7	4	5	7	10	4	0	4	21	2	0	4	13	10	5
A[Ins(T):R(8,)]A	30	7	8	13	8	13	12	18	5	26	10	14	19	19	18	5	1	3	7	8	9	3	8	12	7	16	11	12	4	1	6	0	16	9	20	2	13	12	8	15	17	18	14	3	3	12	10	0	0	2	19	1	0	7	12	3	4
A[Ins(T):R(8,)]C	29	4	6	7	5	15	13	16	10	26	10	21	28	15	13	3	2	2	10	10	8	1	13	18	4	17	6	12	3	3	0	0	17	15	4	9	9	9	3	11	27	8	8	11	3	12	21	2	0	2	22	3	0	7	18	7	9
A[Ins(T):R(8,)]G	10	3	4	23	7	10	8	16	10	20	4	20	19	21	15	8	1	7	6	4	7	2	7	15	6	15	5	6	6	2	2	0	16	15	12	7	2	15	5	10	32	11	6	3	1	14	14	2	0	1	20	1	0	4	18	6	5
C[Ins(T):R(8,)]A	14	2	3	8	2	12	12	10	6	9	4	14	17	10	2	1	0	1	8	1	6	1	3	7	5	8	5	5	0	2	0	0	4	9	8	2	3	5	6	8	13	7	6	5	2	6	5	0	0	2	14	0	0	5	6	5	2
C[Ins(T):R(8,)]C	18	0	7	3	5	13	4	12	6	11	1	16	28	13	11	5	0	1	8	3	6	0	1	10	3	8	2	4	0	1	4	0	9	11	9	6	2	6	3	7	15	7	3	4	1	1	14	1	0	1	11	2	0	5	6	7	2
C[Ins(T):R(8,)]G	14	3	4	15	4	7	11	8	10	26	6	12	12	17	17	7	1	2	10	3	5	0	4	5	6	11	5	8	2	1	6	0	13	9	13	2	10	8	3	6	17	11	4	3	3	9	10	2	0	4	13	2	0	7	8	3	5
G[Ins(T):R(8,)]A	13	0	1	3	4	10	10	6	4	11	1	9	11	7	6	1	0	2	8	1	4	3	6	8	6	9	1	4	1	1	1	0	7	4	6	1	3	1	3	3	11	7	4	4	0	1	4	0	0	1	15	0	0	1	4	3	1
G[Ins(T):R(8,)]C	13	2	3	3	4	10	6	11	4	15	1	8	12	11	7	3	1	3	2	3	1	0	3	7	5	9	1	7	2	0	1	0	4	5	6	3	2	3	1	9	16	5	2	3	2	5	11	0	0	2	8	0	0	3	11	8	4
G[Ins(T):R(8,)]G	23	1	1	3	2	5	6	8	6	12	3	7	12	6	9	6	0	1	5	5	1	1	3	7	4	7	1	5	3	1	4	0	8	9	7	4	7	6	2	6	13	6	2	2	0	7	3	0	0	5	17	1	0	1	7	3	3
Del(2,4):R1	22	3	11	19	6	10	74	8	15	10	9	36	11	23	17	14	6	11	5	9	8	10	7	25	10	19	6	9	6	9	6	0	13	16	16	9	5	11	18	19	25	7	7	2	8	15	9	0	2	3	13	4	1	7	6	10	8
Del(5,):R1	32	3	17	53	9	20	113	8	35	13	6	31	12	46	93	20	2	6	21	11	10	5	15	18	16	32	9	6	7	6	7	0	18	30	17	6	7	13	32	17	43	7	6	12	18	10	9	4	1	12	15	4	3	8	14	9	21
Del(2,8):U(1,2):R(2,4)	24	8	13	22	20	24	53	20	23	23	11	107	34	29	26	21	7	8	20	13	33	12	11	91	14	36	10	19	10	15	8	0	13	42	31	8	16	19	15	64	28	3	10	7	16	21	24	4	0	17	41	7	3	16	18	8	11
Del(2,):U(1,2):R(5,)	6	4	5	4	7	4	10	5	4	9	3	27	4	3	6	7	4	3	5	4	7	3	3	19	1	4	0	7	0	2	2	2	4	10	4	2	2	3	8	24	12	2	2	1	3	4	2	0	1	3	5	0	2	2	1	4	0
Del(3,):U(3,):R2	12	8	14	7	9	15	22	10	16	12	4	11	39	17	15	11	1	4	16	8	19	10	7	9	6	36	12	10	6	17	7	0	12	31	20	8	18	14	9	11	44	11	7	8	10	15	13	4	0	10	26	5	3	14	20	8	13
Del(3,):U(3,):R(3,)	6	1	6	2	3	5	6	2	3	8	1	4	18	6	4	2	2	6	5	6	2	3	5	7	4	10	1	6	1	2	4	0	7	5	2	1	7	4	2	2	7	4	4	3	4	4	6	0	0	5	9	1	1	5	10	2	7
Ins(2,4):R0	6	1	3	2	2	6	8	2	5	2	1	13	4	4	7	3	0	1	1	0	2	2	2	13	0	4	1	7	1	2	1	0	3	4	5	0	1	2	4	18	6	2	2	0	1	3	5	1	0	5	0	1	2	0	1	5	2
Ins(5,):R0	5	0	4	0	1	2	4	4	2	5	1	1	2	3	5	2	0	0	1	0	0	1	0	4	2	7	1	3	0	1	1	0	0	3	2	0	3	4	3	7	2	1	1	0	2	1	0	1	1	1	4	1	0	1	0	0	0
Ins(2,4):R1	8	1	5	3	8	7	26	5	10	10	4	10	14	9	6	8	2	2	6	5	7	1	5	9	13	18	6	7	4	3	2	0	10	9	9	5	6	8	11	5	11	6	5	5	8	6	5	1	0	2	8	2	2	3	10	6	10
Ins(5,):R1	5	4	14	5	3	9	21	11	14	15	3	8	12	11	12	6	0	1	4	4	11	2	2	8	5	26	3	7	2	5	2	1	5	10	9	6	5	8	9	8	12	5	3	3	4	5	15	0	0	2	8	4	4	3	17	8	12
Ins(2,):R(2,4)	15	3	7	1	7	12	17	3	6	15	4	28	6	10	4	2	1	3	7	6	7	2	4	12	4	25	5	6	4	5	3	0	12	14	5	5	8	3	6	13	9	4	3	3	2	6	8	2	1	3	8	6	4	4	9	2	7
Ins(2,):R(5,)	33	2	8	11	5	17	15	12	16	27	3	13	30	10	5	12	0	6	8	4	17	2	2	19	6	20	5	7	4	10	4	1	13	14	16	1	6	5	12	10	25	8	12	5	5	9	10	2	1	4	21	3	0	9	9	6	2
Del(2,5):M1	21	6	16	33	6	17	55	7	16	9	8	27	18	19	28	18	6	3	13	16	10	3	7	25	6	19	7	11	3	3	2	0	11	17	19	6	4	30	13	20	32	6	9	4	12	14	5	7	0	7	11	4	2	11	10	6	8
Del(3,5):M2	13	3	6	13	6	10	39	6	14	13	8	10	16	27	16	10	1	7	6	6	13	5	13	6	6	18	4	16	3	13	3	0	12	12	10	3	9	5	10	5	15	4	9	2	6	12	12	4	1	9	19	3	3	14	15	6	23
Del(4,5):M(3,4)	2	3	6	8	3	5	13	4	6	8	2	3	9	10	15	3	0	7	3	0	6	2	7	2	1	3	4	7	5	6	1	0	4	12	4	1	6	2	5	2	13	0	4	3	3	7	6	0	0	1	5	0	4	3	2	5	7
Del(6,):M1	13	7	21	55	18	21	83	8	26	15	9	17	3	41	116	25	1	4	11	7	9	7	5	15	6	26	8	10	6	2	6	0	12	26	11	8	5	18	25	10	31	7	12	8	8	10	9	5	3	7	10	0	4	3	15	7	31
Del(6,):M2	14	4	25	46	12	19	53	5	22	14	6	23	10	49	171	22	4	7	10	5	6	2	10	15	15	17	7	5	3	5	3	0	10	24	14	15	4	10	23	16	49	4	9	3	14	9	5	3	0	15	13	2	2	3	13	10	39
Del(6,):M3	14	3	11	19	3	11	28	4	17	15	2	19	6	33	133	13	4	0	10	3	8	0	9	12	9	7	4	7	4	3	1	0	8	17	8	5	6	4	13	7	35	2	2	1	3	4	3	1	0	4	6	0	2	3	7	0	39
Del(6,):M(4,)	11	2	23	11	12	16	25	2	14	11	0	20	7	41	165	26	2	2	9	5	8	3	11	17	20	19	8	10	4	4	2	0	14	44	13	7	5	12	13	15	52	7	2	1	9	10	6	1	0	13	14	1	2	9	6	10	30
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
