MutationType	SP99325	SP18310	SP17172	SP96133	SP110242	SP21017	SP22383	SP81312	SP19215	SP16886	SP17905	SP18121	SP96118	SP21400	SP18946	SP80615	SP102897	SP98845	SP107012	SP55142	SP53810	SP116697	SP102133	SP125732	SP125746	SP125770	SP77956	SP124384	SP135287	SP85122	SP84384	SP84982	SP84392	SP84439	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94933	SP92364	SP94917	SP92460	SP89909
A[Del(C):R1]A	93	82	21	72	81	69	65	12	36	14	39	54	12	13	25	28	19	13	22	136	210	21	8	3	25	12	3	22	33	60	109	30	61	89	17	35	30	34	48	25	32	31	29	16	10	11
A[Del(C):R1]G	24	20	2	5	5	12	12	2	15	1	2	10	3	2	1	4	1	2	1	9	24	2	2	2	4	2	0	5	5	8	31	6	9	29	3	9	4	13	9	5	11	1	11	2	3	3
A[Del(C):R1]T	20	5	15	15	25	14	16	7	4	20	139	8	2	10	29	73	16	5	6	49	48	24	11	5	9	10	1	15	5	12	8	13	9	9	1	4	11	7	5	38	3	9	8	9	3	5
A[Del(C):R2]A	30	4	4	12	27	11	14	21	7	20	92	21	2	22	37	39	10	6	15	113	154	12	3	2	4	4	0	10	8	10	23	7	9	19	1	5	14	4	5	36	5	4	8	11	3	1
A[Del(C):R2]G	3	0	1	2	1	0	1	1	0	0	2	2	2	0	1	3	2	0	1	15	30	1	0	1	0	0	0	0	0	0	2	0	1	0	1	1	3	1	3	3	0	1	2	1	1	1
A[Del(C):R2]T	24	12	6	7	12	15	12	2	8	4	33	11	0	6	8	17	13	5	5	56	68	10	1	1	5	4	2	5	1	15	24	5	15	21	3	11	13	4	12	22	6	11	5	2	3	5
A[Del(C):R3]A	51	37	0	26	55	31	33	6	23	10	49	42	6	2	7	14	9	10	22	57	86	13	1	2	16	9	2	7	12	38	31	19	32	54	6	12	17	9	19	41	11	7	5	15	3	5
A[Del(C):R3]G	17	3	2	10	13	9	4	0	2	0	2	9	0	0	0	1	3	2	8	15	9	0	0	1	6	1	0	2	4	9	10	3	5	13	1	7	3	3	9	9	9	2	3	1	2	2
A[Del(C):R3]T	31	27	9	7	33	14	15	4	22	2	14	17	0	5	2	10	12	8	11	43	37	8	2	1	4	3	0	7	13	18	22	11	29	22	8	6	9	11	13	27	8	3	15	6	3	2
A[Del(C):R4]A	118	101	18	62	110	81	87	3	71	1	22	89	4	3	12	9	8	13	21	47	29	6	3	5	37	7	0	31	43	71	96	49	82	105	27	36	48	26	76	91	53	22	45	15	9	15
A[Del(C):R4]G	34	31	1	18	24	26	20	1	15	0	0	19	2	0	1	1	3	8	9	7	8	3	0	1	9	2	0	6	7	24	31	14	26	29	10	11	11	12	29	25	15	5	15	2	7	7
A[Del(C):R4]T	74	61	13	33	72	42	47	1	45	4	10	45	4	2	4	6	12	8	24	18	17	5	0	3	19	7	0	9	21	41	59	25	47	80	13	29	26	17	35	50	27	16	22	13	14	8
A[Del(C):R5]A	266	248	34	152	233	201	138	6	176	4	22	196	30	1	7	14	31	17	48	33	30	6	5	7	89	16	0	48	86	169	248	92	239	273	62	99	134	84	179	169	112	61	75	45	33	37
A[Del(C):R5]G	69	65	14	39	63	38	34	2	44	0	1	39	4	1	1	1	7	3	12	2	5	1	1	4	23	3	0	17	23	58	74	15	58	68	10	25	24	15	52	33	25	12	21	3	6	17
A[Del(C):R5]T	266	290	44	143	222	198	130	3	155	0	3	134	22	0	3	7	32	33	58	18	13	2	7	14	94	8	0	36	85	177	353	83	271	282	65	116	126	77	206	142	129	45	88	32	45	33
A[Del(C):R6]A	447	572	112	245	407	380	236	3	260	3	13	285	51	6	12	12	41	44	105	14	13	3	12	27	157	26	0	80	143	340	483	184	491	473	110	211	240	154	391	270	209	116	174	66	59	72
A[Del(C):R6]G	109	131	13	56	91	80	38	1	72	0	2	64	7	0	3	1	10	9	25	1	0	0	2	5	39	4	0	18	39	118	126	51	114	135	23	51	41	50	86	45	42	17	42	19	15	11
A[Del(C):R6]T	253	269	50	108	164	156	126	2	129	1	3	157	23	1	6	7	20	24	47	4	4	3	5	10	69	15	0	32	95	170	281	75	200	216	66	87	126	73	212	129	120	36	108	28	30	30
A[Del(C):R7]A	458	602	111	221	427	321	199	8	223	1	7	283	44	1	5	7	60	33	105	5	6	2	10	13	232	24	1	119	166	463	455	169	495	477	127	197	360	141	440	225	238	71	163	79	66	54
A[Del(C):R7]G	104	105	16	48	104	80	34	0	44	0	0	57	10	2	2	0	7	9	19	0	0	0	2	5	52	4	0	17	39	103	130	31	118	97	32	55	58	44	92	32	56	11	39	16	3	18
A[Del(C):R7]T	76	111	16	37	74	67	50	2	53	1	2	41	4	1	3	3	9	10	16	1	0	1	5	3	29	5	0	20	24	79	100	26	80	81	21	23	80	28	74	72	42	21	37	10	15	11
A[Del(C):R8]A	162	186	55	96	184	135	79	4	79	1	5	111	15	3	5	1	20	8	29	0	1	0	6	6	106	7	1	62	56	177	128	60	146	132	63	104	150	73	173	103	114	61	76	41	31	27
