MutationType	SP117655	SP117556	SP117627	SP117775	SP117332	SP117712	SP117017	SP117031	SP117759	SP117621	SP117425	SP117930	SP99287	SP99293	SP99289	SP99297	SP99301	SP99305	SP99309	SP99313	SP99317	SP99321	SP99325	SP99329	SP99333	SP99337	SP99341	SP99345	SP99113	SP99185	SP99209	SP99213	SP99221	SP99225	SP99241
A[Del(C):R1]A	15	7	5	8	3	6	2	4	5	5	5	7	2	5	7	0	2	3	14	1	1	1	93	3	1	4	1	1	2	10	6	1	1	3	4
A[Del(C):R1]G	1	1	1	8	0	2	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	1	24	0	0	0	0	0	0	0	0	0	0	0	1
A[Del(C):R1]T	30	3	8	14	1	0	3	7	19	12	11	4	0	2	7	0	0	1	1	2	0	4	20	11	1	2	1	0	1	2	4	3	1	2	3
A[Del(C):R2]A	9	1	0	1	0	4	3	4	3	1	3	4	4	3	11	0	0	0	2	2	0	0	30	0	1	1	1	0	1	5	5	0	0	2	13
A[Del(C):R2]G	5	0	0	1	0	0	0	0	2	0	0	1	0	0	3	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	2	0	0	0	1
A[Del(C):R2]T	7	3	1	2	0	2	2	1	3	5	4	3	1	3	2	0	1	1	1	0	0	0	24	2	0	1	0	0	1	4	1	4	1	4	2
A[Del(C):R3]A	5	0	4	3	0	2	2	0	0	4	3	2	1	3	7	0	0	3	1	2	0	0	51	1	1	1	1	1	0	4	1	0	0	1	11
A[Del(C):R3]G	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0
A[Del(C):R3]T	2	2	1	2	0	4	1	0	3	1	2	2	0	0	6	0	0	1	0	1	0	0	31	0	1	0	0	0	0	4	1	1	0	0	4
A[Del(C):R4]A	4	1	0	3	0	1	1	0	1	1	2	3	0	1	3	0	0	0	2	1	0	0	118	0	0	1	2	1	0	0	0	1	1	0	6
A[Del(C):R4]G	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	34	0	0	1	0	0	0	0	0	0	0	0	0
A[Del(C):R4]T	2	0	0	1	0	0	0	0	1	1	0	1	0	0	5	0	1	0	1	1	0	1	74	2	1	0	0	0	0	0	0	1	0	0	2
A[Del(C):R5]A	3	2	0	0	0	0	0	0	1	0	0	2	0	1	1	0	4	0	1	0	0	1	266	0	0	1	0	0	0	1	3	0	0	0	4
A[Del(C):R5]G	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R5]T	4	0	0	1	1	0	0	0	1	0	0	2	0	0	2	0	4	0	0	1	0	0	266	0	0	0	0	0	0	0	0	0	0	0	2
A[Del(C):R6]A	2	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	447	0	0	1	0	0	0	0	0	0	1	0	1
A[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R6]T	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R7]A	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	0	0	0	0	458	0	0	0	0	0	0	0	0	1	0	0	1
A[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R7]T	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	1	0	0	0	0	0	0	0	0
A[Del(C):R8]A	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]T	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	6	1	0	2	1	2	0	1	7	2	3	2	2	1	3	0	0	3	1	3	0	1	0	0	2	1	2	2	0	1	9	1	0	2	6
