MutationType	SP116536	SP116539	SP116542	SP116545	SP116548	SP116550	SP116553	SP116557	SP116559	SP116562	SP116564	SP116571	SP116393	SP116442	SP116446	SP116419	SP116383	SP116385	SP116440	SP116450	SP116493	SP116391	SP116401	SP116409	SP116416	SP116424	SP116515	SP116499	SP116505	SP116509	SP116437	SP116512	SP116465	SP116496	SP116525	SP116481	SP116586	SP116528	SP116589	SP116406	SP116484	SP116453	SP116469	SP116578	SP116531	SP116593	SP116487	SP116456	SP116472	SP116518	SP116412	SP116534	SP116596	SP116490	SP116459	SP116475	SP116520	SP116431	SP116582	SP116599	SP116478	SP116462	SP116523	SP116434	SP122725	SP122476	SP122372	SP122489	SP122560	SP122590	SP122714	SP121870	SP123010	SP121865	SP122676	SP122412	SP122392	SP122634	SP122702	SP121828	SP121783	SP121774	SP121790	SP121859	SP121808	SP121781	SP121763	SP121811	SP121852	SP122361	SP121837	SP121824	SP121841	SP121831	SP121761	SP121816	SP121861	SP121847
[Del(C):R1]A	3	1	2	2	1	0	1	0	0	1	1	0	0	0	0	8	19	4	2	14	5	2	2	3	3	2	5	3	5	3	4	4	2	18	9	4	1	6	9	2	5	1	20	20	0	3	1	0	4	7	5	3	24	3	3	4	6	15	8	3	8	3	4	0	9	8	12	4	7	7	11	7	5	2	8	5	13	5	13	8	16	18	8	9	3	10	4	7	7	14	7	7	3	16	16	11	0	5
[Del(C):R1]T	6	1	1	4	1	1	2	0	4	2	0	2	0	1	0	9	12	4	4	10	3	2	1	6	2	1	7	20	5	11	2	31	1	19	15	1	7	6	23	10	2	8	16	17	7	7	1	5	9	40	11	6	23	10	16	7	29	26	16	10	19	1	5	0	10	26	10	17	8	18	5	8	8	14	26	4	47	13	13	16	12	40	21	18	4	56	15	10	13	41	6	5	8	9	34	21	0	18
[Del(C):R2]A	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	2	6	5	5	6	1	0	1	1	0	1	3	0	1	2	2	4	2	11	8	0	1	4	5	2	1	5	9	12	1	2	0	0	2	5	1	1	7	2	1	3	7	9	3	0	1	1	1	0	4	5	9	2	3	5	7	4	5	5	3	5	9	2	7	3	11	5	5	4	1	7	3	3	5	6	2	3	0	2	7	7	0	7
[Del(C):R2]T	2	0	2	0	2	0	0	0	2	0	1	0	0	1	1	4	11	3	6	12	0	2	2	1	0	1	1	2	5	5	2	14	1	10	6	1	5	4	8	3	7	3	14	10	2	6	0	0	6	11	2	1	15	3	5	4	12	7	8	3	4	6	3	0	5	8	8	8	5	11	1	6	7	10	12	7	21	5	9	3	7	12	3	9	7	24	3	2	5	19	4	5	9	6	23	7	0	8
[Del(C):R3]A	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	2	3	3	1	3	1	2	0	0	1	0	0	0	0	2	0	6	5	0	1	2	5	0	1	1	5	5	0	0	0	0	2	4	0	0	6	0	2	0	1	6	1	0	0	1	0	0	2	2	5	1	2	1	3	0	2	3	1	2	10	1	4	1	5	6	6	0	1	4	2	4	1	5	3	2	2	1	6	9	0	4
[Del(C):R3]T	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	4	1	0	4	1	1	0	0	0	0	0	1	3	2	3	3	1	3	4	0	2	1	2	2	1	2	3	7	2	0	0	1	1	4	1	0	4	0	1	0	6	1	1	1	3	2	1	1	2	4	7	1	1	3	1	1	3	2	4	2	5	1	1	3	3	5	2	3	4	2	5	1	2	4	1	1	0	0	3	7	1	2
[Del(C):R(4,5)]A	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	3	1	2	4	1	0	0	2	0	0	0	2	0	1	0	2	3	9	3	1	3	2	3	1	0	0	5	4	1	0	0	0	1	5	0	2	4	1	1	1	3	2	2	1	1	2	2	0	0	3	1	5	2	2	1	1	0	3	7	2	5	1	4	1	6	4	5	4	0	6	1	3	3	6	2	2	1	3	3	5	0	7
[Del(C):R(4,5)]T	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	2	1	0	4	1	0	0	0	0	0	0	0	3	2	0	2	1	7	1	0	1	2	9	0	0	0	1	7	2	1	0	0	1	2	1	0	2	0	1	0	2	0	3	1	2	0	0	1	2	4	0	0	1	3	0	2	2	2	4	3	3	2	1	2	4	2	2	3	1	3	2	2	3	8	2	1	2	0	5	5	0	1
[Del(C):R(1,5)]G	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	3	4	5	1	3	1	2	1	0	1	0	1	1	2	1	3	2	3	8	3	0	1	2	2	2	2	2	9	1	1	2	0	0	2	5	0	0	6	1	4	1	5	2	5	3	2	1	3	0	3	7	1	2	1	1	2	0	3	6	3	0	1	1	3	3	2	7	3	3	0	3	0	6	5	6	3	1	6	2	4	5	0	2
Del(C):R(6,9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	2	3	1	0	0	2	1	0	0	1	3	4	1	0	0	0	1	6	1	1	1	1	1	0	1	2	1	2	1	0	1	0	4	2	2	5	1	1	1	1	0	2	1	1	2	0	3	0	1	4	3	1	1	6	0	2	1	4	0	2	1	3	2	4	0	2
A[Del(T):R(1,4)]A	3	2	0	2	1	0	0	0	3	0	0	0	0	0	0	4	6	2	1	13	0	2	1	3	0	1	6	6	4	2	2	6	2	20	7	0	6	3	9	2	1	2	7	19	1	3	1	0	2	13	3	3	12	4	3	2	4	6	6	3	5	1	1	0	3	7	7	4	1	5	0	8	6	7	6	8	15	7	15	7	6	10	7	8	1	16	2	3	8	19	4	4	3	4	11	6	1	10
