MutationType	CPCT02011098T	WIDE01010618T	WIDE01010310T	CPCT02080230T	CPCT02010914T	DRUP01010057T	CPCT02010635T	WIDE01010556T	WIDE01010540T
A[Del(C):R1]A	0	3	5	1	0	3	3	13	2
A[Del(C):R1]G	0	0	1	1	0	0	0	1	0
A[Del(C):R1]T	0	3	3	2	0	3	2	10	3
A[Del(C):R2]A	0	2	2	0	0	2	3	4	2
A[Del(C):R2]G	0	0	0	0	0	1	0	0	1
A[Del(C):R2]T	0	2	0	1	0	5	5	4	2
A[Del(C):R3]A	0	1	0	0	0	1	1	4	0
A[Del(C):R3]G	0	1	0	1	0	0	0	0	0
A[Del(C):R3]T	0	0	0	0	0	2	2	1	1
A[Del(C):R4]A	0	1	1	0	0	0	0	2	1
A[Del(C):R4]G	0	0	1	0	1	0	0	0	0
A[Del(C):R4]T	0	1	0	1	0	0	0	0	1
A[Del(C):R5]A	0	0	0	0	0	0	0	4	2
A[Del(C):R5]G	0	0	0	0	0	0	0	0	1
A[Del(C):R5]T	0	0	0	0	0	0	1	0	0
A[Del(C):R6]A	0	0	1	0	0	0	0	2	0
A[Del(C):R6]G	0	0	0	0	0	0	0	0	0
A[Del(C):R6]T	0	0	0	0	0	0	0	2	0
A[Del(C):R7]A	0	0	0	1	0	0	0	0	0
A[Del(C):R7]G	0	0	0	0	0	0	0	0	0
A[Del(C):R7]T	0	0	1	0	0	1	0	3	0
A[Del(C):R8]A	0	0	1	0	0	0	0	3	0
A[Del(C):R8]G	0	1	0	0	0	0	0	1	1
A[Del(C):R8]T	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	1	2	2	1	0	1	1	6	0
G[Del(C):R1]G	0	1	0	0	0	1	1	1	0
G[Del(C):R1]T	1	1	2	0	1	0	0	9	2
