MutationType	SP29914	SP31046	SP31334	SP30011	SP31174	SP32662	SP31126	SP32958	SP31422	SP33496	SP34005	SP30113	SP31030	SP33544	SP33688	SP30907	SP30185	SP33837	SP31790	SP30143	SP30071	SP30493	SP32014	SP30332	SP31814	SP29987	SP30083	SP32742	SP115162	SP29940	SP30843	SP32222	SP31190	SP30077	SP32694	SP33774	SP30093	SP33094	SP30803	SP30675	SP31854	SP31606	SP30213	SP32894	SP117260	SP117124	SP117932	SP117189	SP117217	SP117779	SP117376	SP117681	SP117408	SP118015	SP117509	SP117482	SP117003	CPCT02060034T	CPCT02020356T	CPCT02050063T	CPCT02030275T	CPCT02070033T	CPCT02030294T	CPCT02070038T	CPCT02080179T	CPCT02010866TII	CPCT02330133T	CPCT02050427T	DRUP01030028T	CPCT02080193T	CPCT02030556T	CPCT02120111T	CPCT02050341T	WIDE01010210T	WIDE01010208T	CPCT02290033T	CPCT02070323T	WIDE01010450T	CPCT02090049T	CPCT02010866T	CPCT02070363T	CPCT02060222T	CPCT02080251T	CPCT02070384T	CPCT02070386T	DRUP01070051T	CPCT02080137T	CPCT02080157T	CPCT02330128T	CPCT02070030T	DRUP01050009T	CPCT02070225T	CPCT02070230T	DRUP01070022T	DRUP01050010T	CPCT02050161T	CPCT02050174T	CPCT02050172T	CPCT02050186T	DRUP01070016T	CPCT02080120T	CPCT02030351T	CPCT02060119T	CPCT02080136T	DRUP01010035T	CPCT02070039T	CPCT02030302T	CPCT02070053T	CPCT02070065T	DRUP01070003T	CPCT02070099T	CPCT02020473T	DRUP01070009T	CPCT02030324T	CPCT02030330T	CPCT02050151T	CPCT02070128T	CPCT02080099T	DRUP01030004T	CPCT02070265T	CPCT02080040T	WIDE01010705T
A[Del(C):R1]A	12	0	3	9	3	5	16	3	7	7	1	58	3	7	4	6	1	2	3	1	3	0	2	40	3	8	4	3	0	1	0	0	4	10	5	2	0	2	8	46	11	0	2	3	1	4	2	1	0	2	6	3	1	3	2	4	5	4	1	11	6	5	10	1	6	22	8	5	3	6	11	1	2	1	3	6	0	4	1	21	10	1	13	1	11	8	10	67	12	1	7	1	2	6	5	2	3	13	9	6	4	7	5	4	1	2	1	2	0	0	2	2	1	9	6	0	6	5	11	5	8	1
A[Del(C):R1]G	3	0	0	0	0	0	4	0	1	1	2	9	0	1	0	1	0	0	1	0	4	0	0	6	1	0	1	0	1	0	0	0	1	0	1	0	0	0	2	13	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	3	0	3	2	0	1	1	2	0	0	0	0	0	1	5	0	0	0	1	1	1	0	9	1	0	2	0	2	5	1	1	0	0	1	2	1	2	0	0	0	0	0	1	1	0	0	0	0	0	4	0	2	1	1	2	1	1
A[Del(C):R1]T	7	0	1	2	0	6	16	2	4	2	0	27	3	9	1	4	1	2	2	2	6	0	1	18	1	9	0	5	1	0	2	0	5	13	4	2	0	3	10	13	11	0	0	0	4	1	2	0	0	2	4	0	0	2	2	0	1	4	1	11	6	1	6	1	10	15	8	4	0	2	5	1	2	1	4	6	0	3	1	10	2	0	8	1	7	4	7	10	3	3	4	2	5	4	6	6	1	12	4	4	1	9	3	3	0	3	1	2	1	1	1	0	2	4	6	0	4	4	4	5	5	1
A[Del(C):R2]A	10	1	2	7	1	0	9	0	2	3	1	85	2	2	1	5	0	0	0	0	7	0	1	52	1	4	1	2	0	1	1	0	2	3	1	2	0	1	5	51	9	1	1	1	0	3	1	1	0	0	2	0	0	0	1	3	1	0	0	5	7	0	5	0	0	19	9	2	2	2	6	0	1	0	1	1	4	2	1	19	3	2	11	2	6	4	1	12	1	0	4	0	2	0	3	1	0	9	4	7	2	3	1	1	0	3	0	0	2	0	0	0	0	3	4	0	7	3	5	2	2	2
A[Del(C):R2]G	3	0	0	2	0	1	2	0	1	1	1	12	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	17	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	6	2	0	0	0	0	0	0	1	0	1	0	1	1	7	3	0	0	0	3	0	3	3	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	4	1	0
A[Del(C):R2]T	5	0	1	2	0	1	8	3	4	3	0	46	0	3	1	5	0	1	2	1	3	0	0	33	1	3	2	3	2	0	0	0	4	7	1	1	1	2	1	32	8	0	1	0	2	0	1	0	0	1	1	1	0	0	2	3	0	3	2	0	10	2	3	2	3	14	9	1	1	1	3	0	1	1	0	1	0	3	1	15	4	2	9	2	5	8	5	5	3	0	3	1	9	2	2	5	1	5	2	5	1	7	1	3	0	5	0	0	1	0	2	2	2	3	4	3	5	2	5	2	6	0
A[Del(C):R3]A	7	1	1	0	0	0	7	2	1	4	0	40	1	2	2	7	0	0	0	0	0	0	0	32	1	1	0	0	0	0	0	0	0	2	0	1	1	0	1	39	3	1	0	1	2	1	1	0	0	1	1	0	1	0	2	1	0	1	0	4	3	0	3	0	0	14	4	1	1	2	1	0	1	1	1	3	2	0	3	12	0	0	10	2	3	3	4	8	4	0	3	0	1	0	2	2	2	3	2	7	0	2	0	0	0	0	0	0	1	1	1	0	0	4	4	0	7	3	3	0	1	0
A[Del(C):R3]G	3	0	1	0	0	1	1	1	1	0	0	7	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2	0	0	0	3	0	0	0	0	2	0	0	1	2	1	0	0	0	1	2	0	5	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0
A[Del(C):R3]T	5	1	1	3	1	1	3	1	2	0	1	26	0	4	2	1	0	2	2	2	2	0	0	21	0	2	0	0	0	1	0	0	0	1	1	2	1	0	2	13	0	2	2	1	0	1	0	1	0	1	0	0	0	1	0	0	0	3	0	3	3	0	2	0	0	7	3	0	2	0	2	0	0	2	1	1	0	0	1	9	1	1	5	1	3	2	0	7	2	0	2	0	1	0	3	0	2	5	3	3	1	1	1	0	0	0	0	0	0	1	0	0	0	3	1	0	3	2	2	0	0	0
A[Del(C):R4]A	1	0	1	2	1	0	1	0	0	1	1	20	1	1	0	1	0	0	0	0	0	0	1	15	0	3	1	0	0	0	0	0	0	3	0	0	0	0	1	18	4	0	0	0	1	1	0	1	0	0	2	0	0	2	2	0	0	2	1	2	1	0	3	1	0	3	5	0	0	0	3	0	1	0	0	6	0	0	0	4	1	0	3	0	2	2	0	17	2	3	2	0	0	1	1	1	3	2	2	2	1	1	1	0	0	1	0	0	0	0	0	0	0	4	4	0	2	1	2	1	3	0
