MutationType	SP53460	SP50827	SP50263	SP50317	SP54113	SP50406	SP51824	SP55387	SP52779	SP55235	SP50713	SP50611	SP50485	SP51037	SP55142	SP53387	SP54745	SP52284	SP53618	SP52232	SP50412	SP50321	SP53548	SP55004	SP56079	SP56168	SP54363	SP53810	SP50518	SP56303	SP55711	SP55509	SP55309	SP52607	SP52667	SP51446	SP50592	SP53073	SP56638	SP56537	SP57586	SP56541	SP56553	SP56771	SP57941	SP57818	SP56460	SP56474	SP56704	SP56533	SP56730	SP59245	SP57024	SP57933	SP56754	SP56827	SP57084	SP57538	SP57735	SP57669	SP56566	SP56569	SP58342	SP58349	SP56644	SP57629	SP56941	SP57619	SP58245	SP57251	SP56502	SP58668	SP58101	SP58991	SP56607	SP58326	SP57267	SP57066	SP57901	SP57651	SP57450	SP57846	SP58612	SP56821	SP58882	SP57189
A[Del(C):R6]G	0	0	0	0	2	0	0	1	0	5	0	1	0	0	1	1	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	2	0	0	0	3	0	1	0	1	2	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	2
A[Del(C):R6]T	1	2	0	0	6	0	1	0	2	7	1	2	0	0	4	1	2	1	2	1	0	0	0	0	2	0	2	4	0	0	0	2	0	0	1	1	1	2	1	4	1	0	4	0	4	0	2	0	3	0	1	0	0	2	2	1	4	2	1	4	0	2	4	3	1	0	1	3	6	1	4	4	2	2	1	5	3	4	2	1	1	2	1	1	4	9
A[Del(C):R7]A	0	0	0	0	0	0	1	1	0	0	1	7	0	0	5	1	0	0	0	1	0	2	0	0	0	0	1	6	0	1	0	0	0	0	0	0	0	1	0	1	0	1	2	1	1	1	1	0	6	0	2	0	0	1	0	0	1	0	1	0	0	1	1	0	4	3	0	1	1	0	3	2	2	2	1	2	2	1	0	0	1	0	0	0	0	7
A[Del(C):R7]G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
A[Del(C):R7]T	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	1	0	0	0	0
A[Del(C):R8]A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	1	1	0	0	3	0	1	0	0	1	0	0	0	0	2
A[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	22	24	2	2	61	1	3	1	25	46	5	38	0	0	82	25	12	0	38	16	0	3	0	0	22	3	14	111	0	5	2	38	2	1	20	1	2	4	15	30	13	19	26	3	49	40	9	2	18	12	14	17	11	25	14	16	17	10	21	27	5	13	23	15	28	15	1	11	30	20	17	29	20	7	12	33	22	20	14	3	9	15	15	16	7	60
G[Del(C):R1]G	6	7	0	0	12	0	0	3	9	13	3	9	0	0	12	6	2	0	12	4	0	1	0	0	6	1	4	18	0	0	0	6	0	0	7	1	0	5	7	2	5	10	7	3	8	3	1	0	7	5	2	2	2	6	3	6	11	9	6	5	2	4	9	6	2	4	0	6	5	9	4	5	7	10	1	7	9	12	4	1	0	4	5	5	1	15
G[Del(C):R1]T	12	9	8	3	47	0	9	3	14	35	0	32	2	1	74	13	10	0	32	11	2	5	3	0	17	3	17	70	3	8	2	36	1	1	22	4	0	8	13	20	13	17	30	3	36	24	11	9	14	15	10	16	9	33	8	12	19	15	15	20	5	14	22	29	24	16	0	22	24	26	33	18	22	13	7	29	34	14	13	8	3	14	9	7	8	44
G[Del(C):R2]A	31	54	3	4	128	0	20	8	39	82	9	46	0	0	162	36	12	2	77	29	0	15	1	0	55	8	35	153	4	7	0	64	1	0	31	4	1	16	44	62	33	39	51	7	76	49	12	3	59	24	41	41	31	55	23	36	43	48	50	53	7	42	65	44	46	20	1	37	45	42	56	49	33	26	18	90	44	44	25	8	13	39	48	46	14	143
G[Del(C):R2]G	4	6	1	0	46	0	4	1	11	22	2	15	0	0	24	4	3	0	12	9	0	0	0	0	7	1	7	44	0	1	0	10	0	0	10	1	0	5	9	8	4	7	9	1	6	14	3	1	9	2	9	6	3	7	3	7	4	7	12	12	4	6	10	7	8	5	2	7	8	5	13	7	7	6	4	16	13	8	5	1	1	10	6	2	3	21
G[Del(C):R2]T	21	29	0	3	95	0	14	4	24	58	10	32	1	1	93	27	10	0	36	18	1	9	2	0	32	4	19	117	0	1	2	37	1	1	29	3	1	9	30	32	16	27	45	5	36	38	10	4	44	18	23	27	8	32	11	31	18	16	24	42	10	12	43	27	32	19	1	23	46	33	29	43	19	17	12	62	35	29	19	9	6	19	20	15	10	85
G[Del(C):R3]A	28	35	3	0	85	1	17	5	29	62	7	43	0	1	95	20	12	0	47	23	1	3	0	0	39	4	21	136	1	2	1	30	1	1	20	3	2	15	32	25	13	25	41	5	40	45	6	1	39	12	23	28	7	39	6	25	27	26	24	33	7	19	33	20	27	13	1	17	17	25	28	36	33	13	12	62	27	40	13	9	4	28	14	24	11	89
G[Del(C):R3]G	7	8	0	0	30	0	4	2	5	19	0	7	0	0	18	4	0	2	8	5	0	3	0	0	10	2	10	28	0	0	0	10	0	0	5	0	0	0	5	4	4	9	15	2	10	11	2	0	10	1	7	3	3	14	4	4	9	6	8	12	2	4	9	6	7	1	0	8	6	2	5	11	5	3	7	15	8	6	1	1	2	4	9	6	2	34
G[Del(C):R3]T	13	11	1	0	48	0	13	1	11	33	2	12	1	0	39	7	5	1	14	7	0	4	0	0	11	0	10	53	0	1	1	16	0	1	11	3	0	7	10	10	6	14	29	2	21	7	7	1	26	5	6	8	7	19	4	9	8	10	13	22	2	13	20	12	22	2	0	8	11	13	12	21	8	5	6	22	15	18	4	3	2	10	9	13	4	35
G[Del(C):R4]A	3	8	2	0	20	0	6	1	12	21	1	13	0	0	42	8	4	0	17	11	0	5	0	0	15	1	9	36	1	0	0	12	0	0	3	1	0	1	7	10	5	7	16	2	14	13	4	0	15	9	7	7	5	15	4	11	8	10	10	9	2	4	15	14	9	5	0	10	16	7	6	7	10	6	2	21	13	14	2	1	2	7	10	10	4	38
G[Del(C):R4]G	3	2	0	0	7	0	0	1	2	7	0	5	0	1	4	2	2	0	3	1	0	0	0	0	0	1	0	8	0	0	0	1	0	0	3	1	0	0	0	2	1	4	6	0	3	2	0	1	5	1	4	2	1	2	0	5	6	3	2	4	0	1	5	0	2	2	0	1	2	1	2	3	2	2	0	3	1	4	1	0	2	2	1	2	2	13
G[Del(C):R4]T	4	3	1	0	11	0	4	0	8	15	5	6	0	1	23	4	6	1	8	4	0	0	0	0	7	0	6	25	2	0	0	8	0	0	2	0	0	2	2	3	5	6	14	1	7	16	0	0	10	3	4	5	8	5	3	3	6	3	11	10	3	5	3	7	3	3	0	2	5	6	7	6	10	4	3	9	6	5	2	1	2	8	1	2	0	16
G[Del(C):R5]A	3	7	3	2	18	0	4	1	8	25	3	5	0	0	28	7	2	1	7	2	0	1	0	0	4	1	6	33	1	0	1	11	0	0	5	0	0	2	6	8	5	7	17	3	11	6	5	1	18	3	12	7	3	9	4	5	6	9	8	9	2	12	10	6	10	5	0	5	17	4	8	8	9	3	8	8	10	3	9	4	1	4	7	5	5	22
G[Del(C):R5]G	3	0	0	0	6	0	1	2	1	6	0	0	1	0	5	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	2	2	3	0	0	5	1	1	2	0	0	3	2	2	1	0	2	1	1	1	3	2	2	0	1	1	1	0	1	0	1	4	1	1	2	0	0	0	2	3	2	1	0	0	0	2	1	3	5
G[Del(C):R5]T	4	9	0	0	12	0	2	0	3	7	1	3	0	1	11	3	1	0	5	2	1	0	0	0	1	2	3	11	1	0	0	4	0	0	3	0	0	1	3	0	6	5	2	6	7	4	4	0	9	3	5	4	2	2	1	3	6	5	9	4	1	4	9	2	7	0	1	8	7	3	3	4	7	6	3	6	8	2	3	0	1	2	3	4	1	6
G[Del(C):R6]A	1	2	0	0	12	0	2	0	2	9	0	6	0	1	10	1	1	1	6	3	0	1	0	0	5	0	4	14	0	0	0	5	0	0	3	2	0	2	3	1	3	4	7	2	3	5	1	3	6	1	4	6	3	0	3	0	3	4	5	7	0	4	7	7	2	5	0	2	12	4	5	5	5	0	1	12	2	5	0	2	0	3	7	2	2	15
G[Del(C):R6]G	1	0	0	0	2	0	0	0	2	3	1	0	0	0	4	2	1	0	1	1	0	0	0	0	0	0	0	5	0	0	0	1	0	0	1	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	2	1	0	0	0	1	0	3	1	1	1	0	2	2	2	0	0	0	0	0	0	0	1
G[Del(C):R6]T	4	1	1	1	7	0	1	1	5	2	0	2	0	0	7	2	0	0	3	0	0	1	0	0	1	0	2	7	0	0	0	3	0	0	2	0	0	0	3	1	2	1	4	1	1	1	1	0	3	1	3	0	2	0	0	1	2	0	2	1	0	1	1	0	3	2	1	1	7	1	3	2	2	0	1	1	3	1	0	1	0	0	3	2	1	5
G[Del(C):R7]A	0	3	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	3	0	1	0	0	0	1	1	0	0	1	1	0	0	1	2	2	0	0	0	0	1	2	2	0	1	6	2	1	2	2	0	1	1	0	2	0	0	0	0	0	1	0	3
G[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
G[Del(C):R7]T	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1
G[Del(C):R8]A	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	2	1	1	0	0	1	0	1	0	0	0	1	0	0	0
G[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	23	47	3	7	62	0	16	4	36	50	6	30	0	1	148	18	17	2	32	20	1	7	0	1	32	17	31	138	2	2	9	41	0	2	19	6	3	8	12	28	16	22	62	7	40	49	16	5	30	6	27	25	13	24	18	25	24	10	19	37	14	18	37	19	36	7	2	30	26	19	18	36	20	17	9	43	28	35	23	12	8	36	16	26	10	64
T[Del(C):R1]G	5	6	0	2	21	0	2	0	6	4	3	6	0	0	10	2	6	1	1	1	0	0	2	0	6	1	2	12	0	3	3	3	0	0	3	0	3	1	3	5	5	4	8	4	7	4	0	3	5	6	9	7	6	6	3	6	8	5	2	5	0	6	4	3	3	5	0	3	3	3	10	11	3	4	2	9	6	17	4	0	1	6	6	3	2	11
T[Del(C):R1]T	37	35	6	9	76	0	10	3	28	57	6	48	3	0	135	30	20	7	52	25	1	17	2	0	19	12	36	123	5	11	7	65	1	2	25	8	2	16	26	17	12	30	87	7	76	39	12	16	27	20	30	38	13	48	30	21	31	19	40	39	18	19	50	39	37	18	2	36	37	34	29	33	29	17	15	52	32	25	18	13	14	29	11	17	14	75
T[Del(C):R2]A	36	55	3	9	130	0	27	9	42	91	10	63	1	0	147	36	17	5	57	38	1	6	0	0	50	6	34	155	1	6	5	82	0	0	34	3	2	29	30	43	28	44	81	6	85	52	13	7	70	19	44	51	19	46	31	28	47	36	50	51	13	32	54	23	51	21	3	37	45	35	57	47	46	18	22	78	46	54	23	12	9	50	26	44	6	126
T[Del(C):R2]G	8	0	0	3	16	0	2	0	8	8	2	12	0	0	22	3	2	0	11	8	0	2	0	0	8	0	6	21	1	0	0	10	0	2	3	1	0	2	4	6	4	3	9	2	3	6	2	0	16	4	11	5	0	10	2	3	7	5	5	10	0	8	14	7	6	1	0	7	8	9	3	8	7	4	1	12	6	8	2	2	3	12	7	7	3	23
T[Del(C):R2]T	31	32	2	8	93	0	11	8	30	74	11	49	1	4	109	29	19	4	44	21	3	8	1	0	37	8	25	130	1	5	5	42	0	1	27	5	4	20	20	30	18	34	55	6	58	39	9	8	38	21	28	28	20	54	24	31	37	27	39	44	17	23	43	35	34	15	2	25	48	29	31	45	28	14	13	64	41	34	30	12	9	29	19	28	16	86
T[Del(C):R3]A	63	89	5	3	203	0	22	15	61	164	14	95	0	2	214	42	22	3	110	50	1	20	0	0	84	6	72	319	3	5	2	121	0	0	49	6	0	44	59	58	39	69	98	14	114	78	21	0	108	35	73	71	34	66	29	62	74	49	59	77	14	45	106	47	69	15	1	75	69	45	71	99	43	36	26	136	96	69	37	17	13	78	45	63	13	218
T[Del(C):R3]G	5	9	0	0	31	0	3	2	10	27	5	13	0	1	19	8	0	1	9	6	0	3	0	0	10	0	6	43	1	0	0	10	2	0	8	0	0	1	4	7	6	12	14	1	12	9	1	0	23	6	15	12	2	9	6	6	11	6	7	15	0	3	11	9	9	1	0	8	13	5	8	21	6	4	6	13	12	10	4	2	0	12	5	3	3	34
T[Del(C):R3]T	28	37	1	4	85	0	17	10	29	63	9	54	0	0	103	13	11	0	44	19	0	6	2	0	36	1	15	133	1	1	2	50	0	0	31	1	0	16	20	31	20	22	67	4	51	42	12	1	52	11	16	17	16	37	16	19	20	21	24	42	4	16	49	27	43	11	2	26	24	25	31	30	23	24	16	56	48	30	13	9	7	31	18	35	6	93
T[Del(C):R4]A	16	25	2	2	54	0	7	6	23	37	2	21	0	0	81	11	7	1	28	19	0	4	0	0	27	2	20	91	0	2	0	33	0	0	20	3	1	14	12	15	11	19	33	2	21	27	9	2	27	6	12	20	6	21	12	22	21	18	15	23	2	15	13	13	20	8	0	23	24	26	22	36	22	20	11	46	28	20	9	1	4	12	18	19	6	63
T[Del(C):R4]G	0	3	0	0	9	0	1	0	2	9	1	3	0	0	9	2	2	1	4	1	0	0	0	0	3	0	2	10	0	0	0	3	0	0	0	0	0	2	0	0	4	2	6	0	5	3	1	0	3	1	4	0	3	2	1	2	1	1	0	3	1	1	0	3	3	3	0	4	2	3	2	5	2	1	1	4	5	2	2	0	0	3	1	2	0	3
T[Del(C):R4]T	8	12	0	2	38	0	6	2	12	25	1	9	0	0	40	5	3	1	26	5	0	5	0	0	8	2	6	44	0	0	0	20	1	1	6	1	2	4	7	10	4	7	15	4	22	14	6	2	15	6	12	6	7	10	6	6	14	8	18	8	4	5	18	6	7	8	1	12	12	15	5	13	11	7	7	20	18	15	3	4	2	11	7	11	2	29
T[Del(C):R5]A	12	10	2	0	32	0	6	3	12	32	3	10	0	1	37	12	5	1	22	13	0	3	0	0	14	0	12	46	1	2	0	11	0	0	8	0	0	4	8	13	7	6	23	1	20	11	5	1	17	7	9	13	9	13	6	11	8	10	17	13	5	5	13	6	16	8	0	8	12	14	10	16	12	5	11	23	16	11	4	5	0	13	13	5	2	38
T[Del(C):R5]G	0	2	1	1	3	0	1	0	1	2	0	1	0	0	6	0	0	0	0	1	0	0	0	0	2	1	2	5	0	0	0	1	0	0	2	1	0	3	0	2	2	3	3	0	1	1	0	0	3	1	1	0	0	0	0	0	1	2	2	1	0	1	2	2	3	0	0	2	1	0	4	3	3	0	0	4	0	1	0	0	0	1	2	2	1	4
T[Del(C):R5]T	9	4	0	2	25	0	4	2	7	14	2	12	0	0	26	5	1	0	11	1	0	1	0	0	4	1	3	26	1	1	0	4	0	0	8	1	0	4	5	11	6	6	7	1	9	7	2	0	22	1	2	15	1	10	3	7	5	6	9	9	0	8	13	3	12	2	0	4	10	12	4	6	6	7	4	23	9	6	3	3	0	8	1	9	2	13
T[Del(C):R6]A	1	7	1	0	8	0	1	0	4	12	0	5	0	0	23	2	1	0	4	4	0	1	0	0	12	0	5	12	0	2	0	6	0	0	1	0	0	2	3	7	2	7	11	1	2	12	6	2	8	4	4	4	3	6	5	1	5	3	7	8	2	1	9	6	3	2	0	5	13	6	5	10	8	3	1	12	5	8	0	2	2	4	5	1	2	13
T[Del(C):R6]G	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	1	0	0	1	1	3	0	0	0	0	0	2	0	1	1	1	2	0	0	0	0	1	0	1	0	1	0	1	0	3	0	0	0	1	2	0	0	1
