hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16	hdp.17	hdp.18	hdp.19	hdp.20	hdp.21	hdp.22	hdp.23	hdp.24	hdp.25	hdp.26	hdp.27	hdp.28	hdp.29	hdp.30	hdp.31	hdp.32	hdp.33	hdp.34	hdp.35
A[Del(C):R1]A	0.00228745774806103	0.000320381874098823	0.0119784296983533	0.00289885184290856	0.00194267417616421	0.00372599490487691	0.00803394753693194	0.00459533357465173	0.00980436604570497	0.00139156481798764	0.00767807015171509	0.00312257022980555	0.00379357058543418	0.0031337946942274	0.00626305047233044	0.0323560750874383	0.0211745105192994	0.000469848158643244	0.00860747020214956	0.0230267299834071	0.000802757503330802	0.0039036267241366	0.00233825744862014	0.00609234441931565	0.00376419745366801	0.00158488972295858	0.000937130630002589	0.00125148204996869	0.00864472752319326	0.00130193008275204	0.00536714953000071	0.00217661467620021	0.00047473887693342	0.0149236444115964	0.00578990611721454
A[Del(C):R1]G	0.000106744780306596	4.91860114477789e-05	0.00198115626738723	0.000170522466354686	0.000181540054455554	0.000567686925646523	0.00190005064853768	0.000540262821978356	0.000850555034306445	0.00034958982543489	0.00244792637694584	0.000475211266872256	0.00106609498046381	0.000784031848572365	0.000784095306467391	0.00260556133308155	0.00117258415773403	0.000160224184196686	0.00124594572121259	0.00226290142694484	0.000143044456188547	0.000141758923339658	0.000134034774701193	0.00320444172496079	0.000192938651208707	0.000619297883817283	0.00100046949291919	0.000353450200744125	0.00110446504638466	7.34043837881929e-06	9.55280127007273e-05	0.00278403038518813	1.53971942212566e-05	0.00100563784885518	0.00267902788194405
A[Del(C):R1]T	9.14250129870325e-05	0.000474697869959448	0.00810780077115639	0.00188475198270867	0.000306108119729841	0.00311236849994355	0.00711294879624716	0.00313348895558707	0.0095636139682732	0.000160779066653269	0.00423660556567908	0.00310445371080335	0.0105939613867514	0.00151628561880102	0.00449269650406095	0.00719221555778204	0.0157819737402936	3.36887554922222e-05	0.00775446218940077	0.0364238469040866	0.00105339217088939	0.00250264883121866	0.000425829127464955	0.0012218854064376	0.0045916984449922	0.0021256382102928	0.00306895855088876	0.00196776950191707	0.00604207696237447	0.00166734850787239	0.00328174779683415	0.00136139986965959	0.000300269121980482	0.0090548225179943	0.00214632306914217
A[Del(C):R2]A	0.000294230268930906	0.00018913677415935	0.00384876835640712	0.000609691901828692	0.000443665488345138	0.000591676575469351	0.00165678113205998	0.00216405501220781	0.00569751451061872	0.000681321897762632	0.00305246687343175	0.00197712869739031	0.00200223630799394	0.00101047412032658	0.00127075130903097	0.0270944987361506	0.0101695297834134	0.000110964509069742	0.00588540773937374	0.00499986608510304	0.000572159226619119	0.00103477539826882	0.000683783129254641	0.025834394837894	0.000990759148227079	0.00133659061731866	0.000714949508170599	0.000993362293550346	0.00396083365085885	0.00378887773213522	0.000528819751130354	0.0021199667013114	0.000777200788183802	0.00397728129262291	0.00247928348786843
A[Del(C):R2]G	6.69152677735579e-06	1.92850516071165e-05	0.000361003037070883	6.36845603935123e-05	3.61675627024153e-05	0.000357736806823203	0.000400605840639101	0.000160813971692699	0.000692390371688053	2.05613173225731e-05	0.000626720561252235	0.00043660406107606	0.000113521616997647	0.000228569659263987	0.000568405118928433	0.00440539060586001	0.000404351564075041	3.45570223863517e-05	0.000606814819583438	0.000606854133531697	0.000261712956680926	1.7432412766512e-05	2.75822038761297e-05	0.00590718679509891	0.000109376707499396	0.000375604280251283	0.000313166004159992	0.000263114922087361	0.000531472479166834	0.000106258190512811	1.58938435148843e-05	0.000404969479218723	2.5121737939945e-05	0.000161112547377609	0.000727617537589657
A[Del(C):R2]T	0.000157606483107461	0.000127282277001803	0.00381451312224319	0.00106442474650808	0.000235573833063498	0.00133350133783264	0.00184384413215938	0.00209826223988865	0.00786518560718497	0.000765511836049985	0.00277331513694568	0.000816416949405095	0.00193316359056369	0.00117877799296863	0.0021514736577659	0.011374746108341	0.0124107712412256	0.000243288383735069	0.00675319798481918	0.0122927508522573	0.000341182787827714	0.000811567883027197	0.000233520657835468	0.00994004193513572	0.00196515275307539	0.00126881582136656	0.00183626932390174	0.00110089107722726	0.00338509541706532	0.000367734582861238	0.000904438228736216	0.0017955983175667	0.000218563887010717	0.00545309205029332	0.000889637744533238
A[Del(C):R3]A	0.000332826745386983	0.000237502503732507	0.00163392585702015	0.000295657766900561	0.000462910336777739	0.000377415964273701	0.00052474227619652	0.000816238765920534	0.00472047057196511	0.000394637371287517	0.00142981023729688	0.000756037545790918	0.000488210814005252	0.000295077821145613	0.0015464380043901	0.0146099316692158	0.00422643029854817	0.000119328813483189	0.0040070149189732	0.00423298122042662	0.000193773969276476	0.00056759068098609	0.000442901940686088	0.0166856874360471	0.0015393295686621	0.000600620014295251	0.00176266421581878	0.00235245758651886	0.00245953564288984	0.000780830224247898	0.000617375108065403	0.000633640910143103	6.40199128146986e-05	0.00102805664180124	0.000776863397638869
A[Del(C):R3]G	8.30554276463123e-05	5.10016810309884e-05	0.000617519085253384	7.88098550229792e-05	0.000156078434971185	0.000310090539072863	0.00010185714924062	9.61705141802801e-05	0.00108527836811102	0.000159071552411948	0.000448253604612297	9.73813482329629e-05	0.000662952671083184	0.00018501718806794	0.000227341383785397	0.00220419339515416	0.000384490008980054	9.52199360561952e-06	0.000581098050504949	0.000410413227608667	8.17759998952553e-05	4.71577047934309e-05	4.02398293072948e-05	0.00264968522642021	0.000213926397927764	0.000348710422461568	0.00066967331829059	0.000594509173935457	0.000465462078575941	3.34952042528647e-06	2.56719910302021e-05	0.00112868490551746	9.81988238259711e-06	0.000302338327861349	0.000150525081659857
A[Del(C):R3]T	0.000232696309446818	0.000152201616325356	0.00185121432539646	0.000193486815348927	0.000185628561543653	0.000441074254172705	0.000555852368163209	0.000856241626404791	0.00560397594036248	0.000126925225271524	0.00140801082306534	0.000445345315218595	0.000489955808971911	0.000467562206820228	0.00124536664272052	0.00625376272053778	0.00304229594394756	0.000112122198261915	0.0030344737102941	0.00374290505395227	0.000458908982809967	0.000464816641155265	0.000187876322091285	0.00706952887112877	0.00094709780106565	0.000725992015196565	0.00134412692812206	0.00115607921193757	0.00203615016650416	0.000665948800299775	0.000470744954710659	0.00104588874915379	6.29711875117028e-05	0.00263839817868573	0.000425797492899902
A[Del(C):R4]A	0.000954686559702924	0.000435517237313419	0.00110901758517798	0.000514701892617926	0.000710314560214177	0.000450645136709688	0.000507701106024766	0.00106566208045322	0.00288360798194746	0.000221265387104506	0.00121775765444908	0.000464878241142037	0.00180810561795313	0.000530951365248095	0.0026400052962873	0.00644543375891624	0.00203123017768468	7.96779586512782e-05	0.00190441786188407	0.00305321324056347	0.000103461425384877	0.000719654196901311	0.000488717758329071	0.0107137901863602	0.00068026873694005	0.000135236872627562	0.00373613928859018	0.000637209394473228	0.00176160196099404	0.00062568328880431	0.000633343212664314	0.000672689888074615	9.24308346594941e-05	0.000674429017537578	0.000977510411251779
