hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11
A[Del(C):R1]A	0.00313176774737381	0.00454506866555261	0.00767974271257641	0.0040871797813534	0.00193521173229737	0.00190818593966457	0.00459738778263785	0.00254152911424063	0.0272643352181195	0.00364740171984804	0.013537640593725
A[Del(C):R1]G	0.000759743831452084	0.00010439103120207	0.00134937271859733	0.000824294742774283	0.000453935100263027	0.000167627200206002	0.000761503310921636	0.000510290651905884	0.00257809989548499	0.00150785770366345	0.00126810861060481
A[Del(C):R1]T	0.005840026994159	0.00132487846903877	0.00743926529730629	0.00221906512706824	0.0024475674741623	6.73802718438146e-05	0.00376515362465034	0.000213282069802956	0.00698143388026139	0.00226396397789294	0.0116111010483162
A[Del(C):R2]A	0.00138288617985611	0.000402353077020477	0.00546100236743189	0.00128046359782892	0.0010874968859112	0.000302651104629871	0.00364684755233806	0.000804842379327181	0.0266239828652272	0.000955026231802192	0.00307926435163011
A[Del(C):R2]G	0.000428243767792531	9.90045753769628e-06	0.000193038885082508	9.87776016703485e-05	0.000230772726021292	2.52883559124929e-05	0.000216114793402271	1.55149405879338e-05	0.00447160470715784	0.000142540792401129	0.000733901896524695
A[Del(C):R2]T	0.00276363992150119	0.00152284968700519	0.00497994469896596	0.00127068104590281	0.00131771002724282	0.000166892461920113	0.00272484463874318	0.00101054108664825	0.0113363553280395	0.000440453094419728	0.00542616569402442
A[Del(C):R3]A	0.000608591593552259	0.00109432298660919	0.00382998681684335	0.000597668784116911	0.000643858143938165	0.00035718204432073	0.000494164685570958	0.000579179309553804	0.0146539896605098	0.0011906847122472	0.00279800814287475
A[Del(C):R3]G	7.00255077241302e-05	0.000154196781190557	0.000310806457856356	0.000145133773476859	0.000227135425538416	2.13398532800163e-05	0.000370281457299906	0.0002562093181379	0.00207948341724984	0.000337719675250163	0.000618747288120432
A[Del(C):R3]T	0.00126281109294357	0.000553515235210973	0.00283838119240006	0.00054028969804236	0.000650852952559081	0.000272412330240508	0.00142625339054922	4.94272733194152e-05	0.00612819622532415	0.000834551934841468	0.00312302441251504
A[Del(C):R4]A	0.000461735591459961	0.000419195234670811	0.0021042151916745	0.000663074190422422	4.75646986222353e-06	0.00103678251577843	0.00107267733964918	0.000110655187235638	0.00706376409280451	0.0010263112415759	0.00201363401750298
A[Del(C):R4]G	0.000279161249332829	0.000104163434477065	0.000522005310756158	5.30397144562991e-05	1.06880675727611e-05	0.000304307605492602	0.000137500349712437	1.63080983985389e-05	0.0018497312308518	0.000611636490173965	0.000349572981696933
A[Del(C):R4]T	0.000277342404976358	0.000338208733356705	0.00129881275490081	0.00021243575828685	0.000218070153565707	0.000531053565751219	0.000942070250455871	0.000360828767887958	0.00323374278839827	0.0011480423058266	0.00160663107187625
A[Del(C):R5]A	0.0015515369548406	0.000238862762892235	0.00117798424151552	0.000471918042955842	0.000233011064779986	0.00245789613264396	0.000302352218951637	6.04541014180714e-05	0.00711558078291986	0.00209865523854072	0.00134348134547732
A[Del(C):R5]G	8.94056079361824e-05	0.000108525705039652	0.000108566603070282	6.73437095370903e-05	4.58859445532153e-06	0.000697766637024907	0.000217300590580421	4.65254764513477e-05	0.000955730062127596	0.000440803820175072	0.000183831546455995
A[Del(C):R5]T	0.00071784769248234	0.00013014739391508	0.000569474087392504	0.000294356570209377	0.000230213141331619	0.00295089025518615	0.000328544002776694	0.000411803666203675	0.00279680641195622	0.000645949159905137	0.000385769575268418
A[Del(C):R6]A	0.000896815705281987	0.000129768066040073	0.00010816734994705	0.000278751522274512	2.2998930745575e-05	0.00392927539031993	0.00031585206374903	0.000240907175986958	0.00272754484456605	0.00368285424828408	0.000406839234213014
A[Del(C):R6]G	0.000253289756331303	7.78001471640424e-05	2.3271617652609e-05	4.38033771394795e-05	1.06321091037938e-06	0.00096509305159816	2.03670438400814e-05	9.49854841480737e-06	0.000422798069063766	0.000508406209517662	9.84233019230067e-05
A[Del(C):R6]T	0.000113332819039412	0.000318976810093824	0.000189500050581136	0.000116245089696613	3.9170928277135e-06	0.00238661888526824	8.33446016642103e-05	0.000324440235162392	0.00114731970288657	0.00239098515562009	0.000224186409935737
