hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15
A[Del(C):R1]A	0.00173765878838137	0.00216875189342819	0.000199896348435354	0.00564888707244964	0.00164544162356295	0.000451324546682637	0.00440922734216854	0.0275895789124205	0.00226204268304345	0.00721413028818598	0.00942284495303952	0.00177889514091859	0.000786689383242465	0.00659010640727987	0.00694447946126276
A[Del(C):R1]G	6.38356271356105e-05	0.00020422746440355	1.67777409737606e-05	0.00128206353872641	8.81392127356862e-05	0.000152431405282361	0.000543012364813063	0.00254254049268261	0.000402631968853369	0.00017865473879939	0.0011928056624226	1.37154361803265e-05	0.000634670524961471	0.00157295226232483	0.000471354947445556
A[Del(C):R1]T	7.67737630075773e-05	0.000344923022172302	0.00019727623810558	0.00685430962163092	0.000403317674084698	2.44054121722959e-05	0.00363847802383266	0.00736204038367942	0.00132350739788587	0.00905919490162263	0.00081402160385152	0.00191371757173817	0.000569472680774313	0.0013379714524243	0.0043262181068707
A[Del(C):R2]A	0.000209013568081046	0.000545490327983996	6.15725927496921e-05	0.00219737365191128	0.000336487618878207	0.000104439947293674	0.00180843543910041	0.0249902005560216	0.00198378200418583	0.00213789571926653	0.00193613256058062	0.00429532482203071	0.000925246528371147	0.00139542030316072	0.001272438246679
A[Del(C):R2]G	3.66973073330214e-06	3.43538731422818e-05	1.64434510351342e-05	0.000177580837521899	1.70584016675597e-05	3.64618028377466e-05	5.17626920491513e-05	0.00437966070994458	0.000251981282847651	9.78281273798652e-05	0.000118389842727616	0.000116320399462232	1.1694961019663e-05	0.000696072654647257	1.7170129708713e-05
A[Del(C):R2]T	0.000120097161059711	0.000234846098777732	0.000125638807744273	0.00231998330150581	0.000211319472219354	0.000223804067498464	0.00177787844844731	0.0112247666944847	0.000822541269872439	0.00351658637519742	0.000908194901024758	0.000426099020662627	0.000577227628188421	0.002431955861816	0.00216334283190855
A[Del(C):R3]A	0.000266341322799785	0.000588051402891863	2.48187692272053e-05	0.00104736046679302	0.000296579017462073	0.000112955504778252	0.000627032281925691	0.0142167781506319	0.00134281210703632	0.00264908443161874	0.00135908484062503	0.000942437633733174	0.00101175484297248	0.00289536749388463	0.000593502401397653
A[Del(C):R3]G	5.24943407736839e-05	0.000157687140154793	1.40401774223069e-05	0.000157424735281863	2.93829202349424e-05	5.91114299616759e-06	6.72301023101888e-05	0.00206503216080819	0.0003681410585152	0.00031759027796809	0.000505194296899302	5.00137829394456e-06	0.00042291042863752	0.000724455934821072	7.03709170256971e-05
A[Del(C):R3]T	0.000196930033218409	0.000184645615937119	2.53608610195724e-05	0.000306324953015568	0.000155694913596904	0.000114535711321782	0.00115412856350831	0.00619060179434717	0.000389243630274782	0.00127401945920677	0.000555498166320063	0.000812984780836535	0.000628588519832262	0.000423020041052048	0.00069028668930328
A[Del(C):R4]A	0.000827334544496685	0.000745105054059604	6.87282044089374e-05	0.000990317900769836	0.000399368634047923	8.50385225092228e-05	0.000815120713573269	0.00628492988365283	0.00244848486084926	0.000791150274880706	0.00147827089695949	0.000651529243519134	0.00129967290069587	0.00212533456109214	0.00090970037447499
A[Del(C):R4]G	0.000216175702094289	0.000120165822077251	1.73288676293337e-05	0.000454109813313066	4.45069033545073e-05	0.00011831064917577	0.000171865361648596	0.00167426591951312	0.000329302125838652	0.000354516721374747	0.00103657949016669	1.04630061241417e-05	0.00102688949840969	0.000459863722046904	4.66046377807923e-05
