hdp.1	hdp.2
A[Del(C):R1]A	0.0247240925667772	0
A[Del(C):R1]G	0.00106155483958098	0
A[Del(C):R1]T	0.0192571228669878	3.99760143913652e-05
A[Del(C):R2]A	0.00701625462360659	0
A[Del(C):R2]G	0.00133761107323337	0
A[Del(C):R2]T	0.0155553035029968	0.0291425144913052
A[Del(C):R3]A	0.00465137568302541	0.0294223465920448
A[Del(C):R3]G	0.000406916780488516	0
A[Del(C):R3]T	0.0069783629085714	0
A[Del(C):R4]A	0.00197850081094138	0
A[Del(C):R4]G	0	0
A[Del(C):R4]T	0.00301993615581341	0
A[Del(C):R5]A	0.00110942247074269	0
A[Del(C):R5]G	0.000203458390244258	0
A[Del(C):R5]T	0.000589249701288377	0
A[Del(C):R6]A	0.000460736428834958	0
A[Del(C):R6]G	0	0
A[Del(C):R6]T	0.000329624388314966	0
A[Del(C):R7]A	0.000145111855588303	0
A[Del(C):R7]G	0	0
A[Del(C):R7]T	0	0
A[Del(C):R8]A	0.000164393038017713	0.0295822506496102
A[Del(C):R8]G	0	0
A[Del(C):R8]T	8.63461647925776e-05	0
A[Del(C):R(9,)]A	0	0
A[Del(C):R(9,)]G	0	0
A[Del(C):R(9,)]T	0	0
G[Del(C):R1]A	0.0106219195691343	0
G[Del(C):R1]G	0.00200348251687166	0
G[Del(C):R1]T	0.0132406394679601	0.0088346991804917
G[Del(C):R2]A	0.00430775147964213	0
G[Del(C):R2]G	0.00100144784913799	0
G[Del(C):R2]T	0.00736759129996163	0
G[Del(C):R3]A	0.00358127005819312	0
G[Del(C):R3]G	0.00112107501142829	0
G[Del(C):R3]T	0.00445789320890767	0
G[Del(C):R4]A	0.00133417399288726	0
G[Del(C):R4]G	0.000770660478580744	0
G[Del(C):R4]T	0.00166421753734199	0
G[Del(C):R5]A	0.000914598696977691	0
G[Del(C):R5]G	0	0
G[Del(C):R5]T	0.000669392355212362	0
G[Del(C):R6]A	0.000414210097320511	0
G[Del(C):R6]G	9.07053886461835e-05	0
G[Del(C):R6]T	0.000665955274866249	3.99760143913652e-05
G[Del(C):R7]A	5.23106862432703e-05	0
G[Del(C):R7]G	0	0
