Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
SP117956	2.80E-01	5.58E-01	3.17E-01	3.46E-01	5.19E-01	6.31E-01	5.20E-01	1.86E-01	4.41E-01	8.30E-01	2.02E-01	2.94E-01	5.70E-01	7.23E-01	4.97E-01	3.85E-01	6.12E-01	8.91E-01	2.37E-01
SP117975	2.44E-01	5.49E-01	3.47E-01	1.54E-01	4.13E-01	4.52E-01	4.77E-01	0.00E+00	3.61E-01	6.70E-01	2.57E-01	1.92E-01	2.92E-01	1.68E-01	2.76E-01	4.01E-01	6.15E-01	7.24E-01	1.71E-02
SP2149	7.13E-01	8.87E-01	8.01E-01	3.07E+00	2.66E+00	8.70E-01	1.14E+00	1.59E-01	2.12E+00	1.20E+00	3.62E-01	9.66E-01	3.67E+00	9.88E-01	3.81E-01	9.72E-01	1.51E+00	6.81E-01	4.37E-01
SP117113	3.63E-01	1.59E+00	1.39E-01	3.49E-01	4.39E-01	1.56E+00	4.82E-01	0.00E+00	8.21E-01	6.56E-01	3.66E-01	4.09E-01	5.57E-01	6.81E-01	1.82E-01	3.94E-01	1.25E+00	6.09E-01	2.06E-01
SP117245	2.44E-01	6.65E-01	1.00E-01	3.86E-01	6.22E-01	6.11E-01	4.57E-01	0.00E+00	1.08E+00	9.76E-01	2.42E-01	4.07E-01	5.76E-01	7.94E-01	5.25E-01	5.45E-01	7.37E-01	7.06E-01	2.19E-01
SP117402	3.71E-01	6.55E-01	2.13E-01	1.79E-01	3.09E-01	6.65E-01	5.53E-01	1.69E-01	5.48E-01	7.36E-01	6.67E-02	3.65E-01	5.86E-01	7.42E-01	5.70E-01	4.42E-01	8.18E-01	3.71E-01	0.00E+00
SP117136	3.50E-01	9.32E-01	2.52E-01	3.30E-01	1.19E-01	8.53E-01	1.01E-01	0.00E+00	5.60E-01	5.88E-01	1.20E-01	2.42E-01	5.10E-01	7.57E-01	5.18E-01	5.60E-01	8.29E-01	5.02E-01	2.12E-01
SP117378	2.66E-01	6.60E-01	2.73E-01	4.29E-01	4.24E-01	6.27E-01	4.82E-01	0.00E+00	5.35E-01	3.10E-01	1.48E-01	4.90E-01	3.60E-01	8.01E-01	4.93E-01	5.11E-01	5.72E-01	4.43E-01	5.63E-02
SP116947	3.54E-01	7.82E-01	1.03E-01	3.39E-01	4.04E-01	8.45E-01	4.75E-01	1.53E-01	8.00E-01	7.82E-01	3.05E-01	3.46E-01	5.35E-01	5.92E-01	6.30E-01	5.37E-01	4.99E-01	4.25E-01	2.51E-01
SP117369	1.13E-01	9.60E-01	1.06E-01	2.06E-01	3.49E-01	9.47E-01	3.04E-01	0.00E+00	5.04E-01	6.69E-01	2.79E-01	7.99E-01	4.86E-01	3.43E-01	4.45E-01	3.22E-01	8.02E-01	7.80E-01	2.42E-01
